,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
101,9,43,55,83,35,62,84,78,90,77,22,14,43,16,45,53,90,70,91,71,0,0,0,0,[]
102,14,35,53,84,35,62,86,77,89,76,14,17,95,4,45,53,91,69,90,70,0,0,0,0,[]
103,13,35,47,74,8,93,85,80,86,80,14,18,89,15,46,54,91,74,88,71,0,0,0,0,[]
104,10,25,45,66,17,86,81,84,84,85,14,16,81,24,45,56,88,78,87,76,0,0,0,0,[]
105,10,21,43,69,24,78,82,83,83,83,14,16,72,31,42,56,88,78,88,78,0,0,0,0,[]
106,12,17,45,65,32,67,84,82,84,83,14,15,66,41,42,56,88,77,88,76,0,0,0,0,[]
107,10,22,41,64,37,62,80,77,86,79,13,16,66,55,46,54,91,74,90,73,0,0,0,0,[]
108,9,28,31,59,44,56,81,77,85,78,19,24,55,57,51,49,91,71,88,66,0,0,0,0,[]
109,9,26,27,60,43,56,87,78,87,79,28,34,46,57,47,53,88,70,80,66,0,0,0,0,[]
110,8,25,30,59,41,57,84,80,82,81,30,40,42,55,44,56,88,72,80,65,0,0,0,0,['9:8 BLGKuro(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷É±ÁË VGJay(Äº¹âÐÇÁé)']
111,9,25,36,58,41,57,87,79,83,78,24,33,50,46,43,55,90,72,87,67,0,0,0,0,[]
112,8,25,45,57,41,57,89,75,89,77,17,23,41,39,49,52,93,70,91,71,0,0,0,0,[]
113,9,26,53,62,41,57,90,74,88,76,12,22,29,36,45,52,93,69,93,69,0,0,0,0,[]
114,8,29,65,62,4,95,92,76,90,77,10,25,28,35,44,52,91,70,93,68,0,0,0,0,[]
115,10,24,74,59,14,89,90,79,87,78,7,22,37,38,41,53,91,72,86,65,0,0,0,0,[]
116,8,23,74,58,21,81,87,82,84,81,8,20,48,35,44,49,89,72,85,64,0,0,0,0,[]
117,9,26,75,58,28,72,84,80,88,82,10,20,53,33,44,49,89,74,88,73,0,0,0,0,[]
118,10,28,79,64,36,64,87,78,86,77,10,21,59,35,92,5,92,72,89,70,0,0,0,0,[]
119,6,27,90,63,43,57,89,70,91,69,14,21,70,41,90,15,94,62,91,61,0,0,0,0,[]
