, , , , , , , , , , , , , , , , , , , , ,blue_economics,blue_towers,red_economics,red_towers,captions
221,55,83,61,89,46,54,45,55,67,93,52,48,48,42,42,39,79,84,51,45,31147,0,34813,1,[]
222,3,94,54,83,71,85,43,59,41,58,46,49,50,44,44,50,80,82,48,52,31248,0,34996,1,[]
223,11,83,50,82,71,81,42,60,35,62,41,56,43,56,43,58,82,85,42,59,31349,0,35538,1,[]
224,50,78,75,87,42,60,36,62,17,74,40,51,45,50,44,48,82,87,42,52,31516,0,35661,1,['18:36 RNGMing(正义巨像) 击杀了 LGDRD(深海泰坦)']
225,62,77,82,85,42,60,36,64,25,72,42,46,52,37,34,38,88,84,33,47,31733,0,35783,1,[]
226,70,78,83,85,42,60,40,67,37,75,42,46,52,33,24,26,88,83,35,39,31874,0,35878,1,[]
227,42,60,80,76,87,76,47,74,50,76,90,6,47,23,15,20,90,71,35,39,31925,0,36103,1,[]
228,80,75,86,77,42,60,45,71,62,77,80,16,92,11,42,17,11,24,93,70,32075,0,36286,1,[]
229,80,75,87,75,42,60,45,69,73,77,70,25,43,17,12,23,91,67,82,21,32237,0,36441,1,[]
230,80,75,88,72,7,94,43,69,82,66,58,27,43,16,19,14,92,59,73,29,32398,0,36492,1,[]
231,69,78,90,70,17,87,39,63,87,66,53,30,43,16,10,25,89,48,62,35,32975,1,36642,1,['19:15 LGD 击破了防御塔']
