,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
76,7,28,58,69,54,57,84,79,75,71,13,22,41,36,51,46,90,73,68,50,9506,0,9887,0,['6:17 DMO 击杀了土龙']
77,7,31,62,63,59,57,84,78,74,69,11,26,42,24,42,41,93,68,78,51,9612,0,10012,0,[]
78,7,33,66,56,56,53,76,71,67,59,10,28,41,17,49,42,92,68,83,61,9723,0,10155,0,[]
79,8,29,73,49,54,50,75,65,67,53,9,26,42,16,52,43,91,71,88,70,9818,0,10338,0,[]
80,9,30,77,50,53,49,79,75,68,61,10,20,42,16,52,42,89,76,89,81,9911,0,10489,0,[]
81,6,27,74,55,55,52,83,78,76,69,12,23,47,16,54,45,88,76,88,81,9961,0,10621,0,[]
82,7,28,74,59,64,57,85,79,75,59,11,23,48,19,54,43,91,74,91,78,10158,0,10731,0,[]
83,9,30,70,64,64,59,81,79,75,64,10,24,53,28,53,43,88,75,90,80,10272,0,10894,0,[]
84,8,28,57,69,56,55,80,81,78,74,12,24,47,35,51,45,89,77,87,79,10323,0,10994,0,[]
85,9,26,49,73,49,55,84,81,82,80,12,22,43,42,52,44,90,76,90,78,10415,0,11093,0,[]
86,9,24,47,73,43,56,82,81,84,85,14,19,45,43,54,45,89,78,90,79,10480,0,11228,0,[]
87,7,26,46,71,48,56,81,81,86,82,12,19,35,37,53,46,89,79,88,71,10775,0,11330,0,[]
88,7,28,47,69,42,55,83,80,87,82,9,22,34,41,51,46,87,76,88,76,10991,0,11567,0,[]
89,10,26,38,64,42,51,83,80,88,84,12,20,32,44,52,46,90,74,90,75,11056,0,11791,0,[]
90,9,28,27,59,41,54,85,81,80,77,8,24,32,43,50,47,89,73,90,74,11144,0,11903,0,[]
91,8,31,26,59,41,54,81,85,74,72,7,26,33,43,47,49,88,77,87,79,11347,0,12148,0,[]
92,7,32,31,54,39,53,81,82,80,80,9,26,30,37,47,48,86,82,87,83,11451,0,12245,0,[]
93,8,29,33,43,43,56,80,83,81,84,10,24,25,33,48,48,85,80,86,81,11628,0,12436,0,[]
94,8,27,29,50,42,56,80,81,81,79,15,21,29,35,48,49,88,78,89,78,11714,0,12536,0,[]
95,10,26,18,49,41,56,83,78,76,71,12,22,41,26,45,52,89,75,90,73,11910,0,12649,0,[]
96,8,30,16,49,41,55,84,80,73,66,21,27,50,27,47,50,89,74,89,76,11989,0,12784,0,[]
97,8,30,18,46,40,56,85,80,63,62,25,16,51,27,47,52,88,73,90,74,12065,0,12874,0,[]
98,3,90,18,45,43,54,82,85,55,57,22,12,50,31,50,45,87,79,89,81,12285,0,13058,0,[]
99,5,78,21,47,49,50,82,82,65,64,22,12,44,39,42,39,88,79,90,80,12385,0,13131,0,[]
100,6,66,21,47,54,57,80,82,73,71,23,12,42,45,44,44,86,82,86,83,12457,0,13265,0,[]
101,7,53,8,93,54,57,80,84,80,79,24,11,42,45,44,44,89,77,89,81,12516,0,13335,0,[]
102,8,41,21,86,6,95,86,82,84,79,25,10,42,45,95,4,90,75,92,76,12575,0,13411,0,[]
103,11,27,23,76,12,90,86,78,84,80,25,11,42,45,50,46,90,72,90,77,12632,0,13539,0,[]
104,18,22,18,63,23,78,82,82,83,81,21,10,42,43,50,48,89,78,90,81,12704,0,13681,0,[]
105,16,18,19,51,31,68,80,82,83,84,17,14,49,35,48,48,88,79,89,82,12796,0,13894,0,[]
106,16,16,23,47,39,58,78,87,80,85,21,11,49,35,40,40,85,78,88,83,12986,0,14065,0,[]
107,17,15,23,48,39,53,78,90,79,85,19,10,50,35,41,45,87,79,83,81,13058,0,14429,0,[]
108,12,18,27,47,30,50,77,88,77,86,17,14,41,39,45,47,84,80,85,84,13208,0,14526,0,[]
109,10,23,31,52,32,51,76,88,75,87,14,19,41,45,52,49,81,78,85,87,13273,0,14612,0,[]
110,10,23,36,62,44,51,74,88,76,87,14,18,42,46,46,51,84,82,84,84,13338,0,15347,0,[]
111,10,26,44,56,43,56,75,88,71,83,10,19,45,56,45,52,82,82,82,86,13935,0,15513,0,"['9:14 IGNing(德玛西亚皇子) 击杀了 DMOTwila(未来守护者),获得一血']"
112,9,27,38,59,43,56,78,88,77,87,12,21,45,57,44,56,82,80,79,75,14111,0,15621,0,['9:16 DMOXiaopeng(虚空遁地兽) 击杀了 IGNing(德玛西亚皇子)']
113,8,31,37,57,43,56,82,86,81,88,9,25,45,57,43,54,77,71,75,74,14246,0,15693,0,[]
114,8,32,37,58,43,56,81,89,84,88,8,26,45,57,44,56,79,74,78,73,14297,0,15807,0,[]
115,8,30,38,58,43,56,85,81,87,81,10,26,45,57,43,53,79,74,78,73,14382,0,15878,0,[]
116,8,29,38,56,43,56,86,83,88,84,9,24,84,6,42,55,82,78,81,78,14528,0,15964,0,[]
117,9,26,36,59,10,91,82,85,85,87,12,22,72,7,42,54,87,78,85,78,14600,0,16120,0,[]
118,8,25,44,67,18,82,74,86,85,87,13,18,59,8,42,54,86,79,88,83,14701,0,16374,0,[]
119,7,29,47,66,27,73,73,85,2,96,8,23,48,11,49,47,88,78,84,80,14904,0,16457,0,[]
120,8,27,44,68,37,65,2,96,14,90,10,21,42,17,50,47,88,73,88,73,14950,0,16539,0,[]
121,8,22,34,60,45,55,13,95,27,82,11,19,43,16,50,48,88,73,88,73,15056,0,16863,0,[]
122,10,20,32,49,47,51,23,94,32,70,14,15,41,17,47,39,94,8,94,8,15275,0,16973,0,[]
123,11,18,34,42,44,49,34,93,31,55,15,17,39,16,47,39,93,18,88,17,15321,0,17045,0,[]
124,17,15,31,36,41,45,45,92,32,41,20,14,29,19,93,5,92,29,79,24,15439,0,17117,0,[]
125,14,15,27,35,44,48,55,90,33,37,21,12,18,21,84,9,91,41,71,32,15716,0,17202,0,[]
126,11,16,19,25,50,48,66,89,22,26,18,13,10,15,77,18,90,52,66,41,15827,0,17749,0,[]
127,12,17,11,20,46,48,77,87,14,20,12,21,11,18,70,27,89,63,66,47,16348,0,17850,0,"['10:33 IGNing(德玛西亚皇子) 击杀了 DMOChanghong(猩红收割者)', '10:35 DMOXiaopeng(虚空遁地兽) 击杀了 IGTheShy(狂暴之心)']"
128,12,17,14,10,38,40,82,83,14,13,12,21,13,11,61,34,87,74,66,56,16489,0,17921,0,[]
129,12,17,22,10,41,28,78,86,21,12,12,21,27,6,58,41,85,81,58,63,16617,0,18098,0,[]
130,12,17,20,13,48,18,72,90,22,21,12,21,39,6,52,49,84,81,50,68,16668,0,18198,0,[]
131,12,17,28,16,46,7,62,88,27,32,12,21,54,6,47,55,80,87,47,74,17342,0,18329,0,['10:55 DMOTwila(未来守护者) 击杀了 IGNing(德玛西亚皇子)']
132,12,17,25,26,36,14,60,86,28,34,12,21,54,7,47,56,75,88,53,68,17393,0,18427,0,[]
133,4,86,33,30,29,22,61,88,2,96,95,4,54,7,56,64,77,88,58,73,17514,0,18583,0,[]
134,6,74,31,32,29,32,55,91,18,94,80,5,54,7,59,75,74,87,59,77,17565,0,18634,0,[]
135,7,62,29,33,36,40,53,88,32,93,69,7,54,7,60,84,68,89,62,86,17615,0,18704,0,[]
136,9,50,29,33,43,44,57,85,46,91,53,8,54,7,65,83,71,89,69,91,17700,0,18929,0,[]
137,10,37,29,33,51,46,61,88,59,89,41,8,93,8,72,76,73,89,71,91,17898,0,18980,0,[]
138,12,25,29,33,53,45,67,91,51,83,26,11,86,20,70,65,75,89,72,92,18076,0,19128,0,[]
139,14,19,29,32,46,45,61,85,50,79,25,16,81,33,66,55,77,88,76,89,18346,0,19207,0,[]
140,14,19,31,28,48,45,67,90,50,78,17,14,74,44,59,47,76,88,75,88,18442,0,19583,0,[]
141,18,16,26,24,43,44,66,91,50,80,19,12,76,45,59,46,74,91,72,87,18517,0,19934,0,[]
142,17,17,2,96,43,52,67,90,61,86,20,10,77,52,62,51,73,92,73,88,18759,0,20011,0,[]
143,16,17,13,91,43,52,69,91,70,90,19,10,73,64,65,60,77,85,75,88,18880,0,20060,0,[]
