,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
73,49,50,30,60,14,18,52,92,73,91,86,10,66,52,20,12,95,8,92,9,0,0,0,0,[]
74,52,56,39,65,15,19,64,90,74,91,55,45,62,60,17,9,94,8,86,17,0,0,0,0,[]
75,62,62,51,66,17,18,74,87,70,94,56,41,66,55,22,11,93,19,77,25,0,0,0,0,[]
76,61,62,57,70,22,24,74,87,70,94,53,43,66,56,22,9,92,30,69,34,0,0,0,0,[]
77,55,61,57,59,30,34,77,86,4,94,47,40,68,62,20,10,91,41,67,45,0,0,0,0,[]
78,50,52,60,58,37,42,78,84,4,91,44,37,77,56,26,14,86,50,66,55,0,0,0,0,[]
79,51,52,63,62,46,49,78,86,15,82,53,42,82,55,19,20,81,55,70,50,0,0,0,0,[]
80,59,60,66,68,42,52,79,83,27,74,58,42,82,55,15,15,84,63,76,54,0,0,0,0,[]
81,66,68,65,70,31,50,81,83,40,72,56,42,77,55,14,15,87,66,79,64,0,0,0,0,[]
82,67,69,66,71,42,51,81,84,52,65,55,44,75,44,15,15,87,75,87,69,0,0,0,0,[]
83,66,69,65,70,37,50,82,83,66,65,52,47,65,38,11,24,87,75,87,73,0,0,0,0,[]
84,60,60,66,68,24,46,83,79,66,59,52,47,55,31,7,26,89,75,88,73,0,0,0,0,['6:59 FPX 击杀了水龙']
85,51,54,59,59,24,38,84,81,63,52,51,47,47,33,8,26,90,74,88,74,0,0,0,0,[]
86,53,47,54,49,28,37,81,83,54,47,53,47,40,38,14,20,90,75,88,74,0,0,0,0,[]
87,49,43,50,45,35,38,85,84,51,48,54,46,41,34,13,17,89,77,87,77,0,0,0,0,['7:11 FPXGimGoon(解脱者) 击杀了 LGDLies(机械先驱)']
88,48,39,48,34,31,38,77,87,56,55,54,46,44,23,12,17,83,84,82,81,0,0,0,0,[]
89,51,29,48,26,21,38,81,83,58,68,54,46,52,21,11,14,86,77,88,80,0,0,0,0,[]
90,52,19,51,19,12,34,78,84,68,78,93,8,50,17,11,14,86,78,87,83,0,0,0,0,[]
91,47,17,46,15,14,34,76,87,78,83,85,15,46,13,90,4,86,80,84,84,0,0,0,0,['7:34 FPXGimGoon(解脱者) 击杀了 LGDRD(巨魔之王)']
92,44,23,48,20,20,24,82,88,81,85,77,24,46,13,79,6,85,83,86,84,0,0,0,0,[]
93,44,23,45,23,15,19,75,89,73,85,68,26,46,13,74,14,83,83,84,88,0,0,0,0,[]
94,43,24,44,24,15,20,75,89,71,88,64,16,93,8,69,26,82,86,80,83,0,0,0,0,[]
