,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
43,5,28,59,56,45,53,83,80,82,78,16,15,44,39,80,17,89,72,92,74,0,0,0,0,[]
44,5,28,49,48,47,52,85,83,84,83,23,11,37,39,72,25,88,78,88,78,0,0,0,0,[]
45,3,93,41,40,43,43,84,80,86,81,27,10,41,34,63,32,90,79,90,79,0,0,0,0,[]
46,4,91,30,38,43,43,83,82,86,81,27,10,40,24,57,41,88,77,90,78,0,0,0,0,[]
47,16,14,27,35,4,94,85,85,84,85,95,4,43,17,55,46,88,77,89,78,0,0,0,0,[]
48,16,15,23,31,12,82,82,90,86,85,95,4,41,17,52,48,88,74,89,77,0,0,0,0,[]
49,20,14,20,26,21,74,82,90,84,88,27,10,42,16,52,50,86,77,86,77,0,0,0,0,[]
50,18,16,12,19,30,66,2,96,82,90,25,10,38,16,51,49,84,79,83,80,0,0,0,0,[]
51,17,16,14,9,40,59,81,86,82,85,26,13,33,18,52,49,86,79,83,81,0,0,0,0,[]
52,18,19,17,9,48,52,81,83,82,84,23,12,33,18,51,52,88,82,89,83,0,0,0,0,[]
53,19,16,17,9,47,51,82,84,83,84,25,11,90,6,52,49,87,79,89,81,0,0,0,0,[]
54,16,16,17,9,47,53,80,83,79,85,24,11,80,13,47,52,85,80,85,80,0,0,0,0,[]
55,17,15,17,9,43,54,80,84,81,86,23,12,70,18,49,52,87,81,87,81,0,0,0,0,[]
56,16,17,17,9,45,55,81,84,81,86,23,12,60,25,46,55,86,79,86,79,0,0,0,0,[]
57,16,18,15,10,44,56,82,84,81,85,25,12,52,34,48,53,85,80,85,80,0,0,0,0,[]
58,15,17,15,10,42,57,81,85,81,87,25,13,50,34,53,64,84,80,86,82,0,0,0,0,[]
59,15,17,11,92,42,54,80,84,81,85,23,13,50,34,49,57,86,79,87,81,0,0,0,0,[]
60,14,17,21,86,45,53,81,85,82,85,23,14,47,36,49,53,85,80,87,82,0,0,0,0,[]
61,16,17,32,79,45,55,83,82,83,85,23,13,54,44,49,51,88,79,88,79,0,0,0,0,[]
62,15,18,43,76,44,54,85,82,84,82,27,20,61,51,45,53,87,77,87,77,0,0,0,0,[]
63,15,19,51,75,45,57,86,81,87,82,21,21,72,44,51,56,89,78,87,78,0,0,0,0,[]
64,11,19,53,76,43,53,82,83,85,84,19,20,74,44,54,57,90,77,87,76,0,0,0,0,[]
65,9,23,57,75,42,56,83,78,79,77,17,19,76,45,56,57,89,70,89,72,0,0,0,0,[]
66,10,23,57,68,43,54,86,78,81,77,17,19,75,47,51,52,90,70,91,72,0,0,0,0,[]
67,8,25,52,66,43,53,84,79,82,78,12,21,65,50,49,50,88,73,91,74,0,0,0,0,[]
68,10,22,46,64,43,54,85,83,85,84,14,19,58,50,46,53,89,79,89,79,0,0,0,0,[]
69,7,25,47,64,41,56,86,80,86,83,11,19,49,46,45,53,90,77,91,79,0,0,0,0,[]
70,11,26,50,61,46,54,86,82,88,83,15,20,48,50,48,49,89,75,88,78,0,0,0,0,[]
71,9,25,56,61,44,56,85,81,86,80,14,19,55,42,54,44,90,75,89,74,0,0,0,0,[]
72,8,25,65,57,2,96,85,81,87,83,13,21,55,44,51,46,89,75,88,74,0,0,0,0,[]
73,9,23,57,55,2,96,87,77,87,79,22,28,53,49,50,49,87,72,87,72,0,0,0,0,[]
74,9,24,66,56,52,46,89,78,87,78,19,24,59,47,55,42,89,69,89,69,0,0,0,0,[]
75,10,22,72,48,50,49,89,78,87,79,15,17,61,44,60,39,89,69,91,71,0,0,0,0,[]
76,14,20,77,48,48,49,90,75,88,76,13,14,71,41,60,39,91,68,90,68,0,0,0,0,[]
77,12,23,81,55,53,45,92,73,92,74,13,15,79,48,93,4,93,67,90,67,0,0,0,0,[]
78,11,24,78,55,54,45,85,77,82,78,14,15,80,50,85,12,90,69,90,68,0,0,0,0,[]
79,14,21,79,55,53,50,78,72,76,69,12,13,80,54,79,21,88,69,83,61,0,0,0,0,[]
80,16,18,82,58,62,57,76,62,78,62,95,4,84,62,71,31,83,66,84,62,0,0,0,0,[]
81,17,17,78,60,68,62,76,69,74,63,84,5,84,65,62,38,84,67,88,62,0,0,0,0,[]
82,17,18,71,63,58,56,82,77,75,67,67,6,89,60,57,45,84,67,88,62,0,0,0,0,[]
83,18,16,66,68,55,49,85,80,80,75,55,8,89,60,59,48,93,13,94,8,0,0,0,0,[]
84,19,17,67,70,52,52,88,78,80,75,43,9,87,7,57,46,92,24,93,16,0,0,0,0,[]
85,2,96,64,69,52,52,88,75,4,96,31,8,77,13,51,49,91,35,92,27,0,0,0,0,[]
86,4,91,64,70,48,54,87,77,14,91,24,11,67,19,52,51,90,45,91,39,0,0,0,0,[]
87,8,79,63,70,44,55,87,77,25,85,23,12,59,27,50,51,89,56,87,49,0,0,0,0,[]
88,9,68,63,70,46,54,84,79,34,77,21,14,59,38,54,57,89,69,78,53,0,0,0,0,[]
89,10,57,60,79,44,54,76,86,43,70,17,18,55,49,57,68,90,68,72,63,0,0,0,0,['7:22 LNG 击杀了火龙']
90,15,49,54,84,45,54,76,86,53,76,13,21,49,41,56,61,90,69,72,67,0,0,0,0,[]
91,22,42,54,86,45,55,3,96,63,76,10,24,38,39,52,50,88,71,79,75,0,0,0,0,[]
92,23,40,56,83,46,54,7,95,58,69,11,23,28,36,51,50,86,76,82,78,0,0,0,0,[]
93,20,37,54,83,45,53,17,95,58,68,8,25,30,35,49,49,87,77,81,79,0,0,0,0,[]
94,11,34,54,84,46,54,28,93,60,72,11,27,42,36,52,50,88,84,81,78,0,0,0,0,[]
95,9,31,54,84,45,54,39,92,69,79,11,25,52,34,48,53,88,82,85,80,0,0,0,0,[]
96,5,30,2,96,46,54,50,91,76,87,11,26,52,35,48,48,86,78,86,78,0,0,0,0,[]
97,10,26,8,85,43,56,61,89,83,90,12,21,52,35,50,52,83,80,83,80,0,0,0,0,[]
98,7,26,13,75,43,56,71,87,84,88,14,17,50,27,46,53,84,80,84,80,0,0,0,0,[]
99,7,27,18,64,44,56,76,87,78,89,12,20,49,25,53,58,82,84,82,84,0,0,0,0,[]
100,8,27,22,56,44,55,77,87,75,87,11,20,47,25,53,58,83,80,83,80,0,0,0,0,[]
101,9,25,25,58,49,54,76,88,77,86,15,18,45,23,92,6,81,81,81,81,0,0,0,0,[]
102,9,24,33,61,51,49,74,88,71,90,10,14,43,16,88,15,81,82,81,82,0,0,0,0,[]
103,9,28,45,66,51,49,74,90,71,90,9,22,42,17,77,25,77,85,76,86,0,0,0,0,[]
104,8,26,46,64,49,52,77,87,76,89,12,20,43,16,69,33,84,85,83,85,0,0,0,0,[]
105,8,25,48,65,49,52,78,88,78,89,13,20,44,16,59,40,78,82,78,82,0,0,0,0,[]
106,8,26,36,62,8,87,77,88,78,87,20,21,95,4,58,42,84,81,84,81,0,0,0,0,[]
107,9,28,29,53,16,78,79,87,77,87,21,22,90,14,53,47,83,83,83,83,0,0,0,0,[]
108,11,29,20,47,25,70,78,87,79,88,95,4,84,25,47,51,83,82,83,82,0,0,0,0,[]
109,14,21,15,44,34,62,78,86,78,86,91,4,80,37,53,57,84,84,84,84,0,0,0,0,[]
110,18,24,19,45,40,56,79,86,79,87,79,5,79,49,62,57,85,84,84,85,0,0,0,0,[]
111,17,20,26,47,34,49,79,86,80,88,67,6,75,52,69,50,83,82,83,82,0,0,0,0,[]
112,17,19,31,45,24,48,81,82,79,84,54,7,75,54,73,53,87,77,87,77,0,0,0,0,[]
113,16,20,35,39,27,50,79,87,81,89,41,8,75,65,76,49,82,80,82,80,0,0,0,0,[]
114,17,19,40,36,39,51,73,87,73,87,29,11,71,77,64,51,83,82,82,82,0,0,0,0,[]
115,17,16,45,32,48,50,63,87,62,85,25,13,66,77,54,48,82,83,80,85,0,0,0,0,[]
116,15,15,47,38,45,53,61,82,61,84,22,12,61,73,53,49,82,86,80,84,0,0,0,0,[]
117,16,16,49,47,49,52,68,88,69,88,23,12,55,64,49,53,82,87,81,88,0,0,0,0,[]
118,15,19,46,45,46,51,71,89,72,82,21,14,52,54,48,47,82,83,79,80,0,0,0,0,[]
119,11,29,46,45,42,55,72,90,71,90,18,20,47,50,47,50,76,86,76,86,0,0,0,0,"['9:52 WExiye(刀锋舞者) 击杀了 LNGSofM(暗裔剑魔),获得一血']"
120,11,34,46,45,45,55,69,90,69,91,10,24,48,51,48,51,76,89,76,88,0,0,0,0,[]
121,10,27,46,45,43,54,68,91,70,91,9,22,42,44,46,52,79,88,78,86,0,0,0,0,[]
122,10,25,4,94,44,56,73,87,72,89,14,19,34,37,39,44,80,84,80,84,0,0,0,0,[]
123,9,25,10,83,49,52,75,87,74,87,15,21,33,31,32,35,81,86,81,86,0,0,0,0,[]
124,10,25,15,72,44,47,70,90,68,89,12,19,33,32,32,34,76,88,76,88,0,0,0,0,[]
125,7,29,17,60,36,41,72,89,68,88,14,22,32,32,31,33,79,81,79,80,0,0,0,0,[]
126,10,25,23,51,34,39,72,90,64,88,24,28,32,33,31,33,73,72,73,72,0,0,0,0,[]
127,19,25,32,45,35,42,66,94,64,88,29,33,33,32,33,32,64,64,64,64,0,0,0,0,[]
128,20,25,27,38,29,34,39,43,6,89,24,32,23,32,26,34,64,63,63,63,0,0,0,0,[]
129,24,35,25,37,24,37,28,38,13,76,23,41,26,35,24,41,54,56,54,56,0,0,0,0,['10:43 LNGPlex(解脱者) 击杀了 WEbeishang(盲僧)']
130,30,38,34,35,24,47,24,32,22,66,36,42,26,35,23,42,45,50,47,50,0,0,0,0,['10:46 LNGFlandre(万花通灵) 击杀了 WExiye(刀锋舞者)']
131,33,47,35,31,27,50,17,22,18,54,47,49,26,35,23,42,49,53,49,53,0,0,0,0,[]
132,41,52,47,34,39,51,15,14,23,40,57,45,26,35,23,42,48,54,49,54,0,0,0,0,[]
133,39,63,49,34,44,55,18,11,22,26,57,45,95,4,23,42,49,52,49,52,0,0,0,0,[]
134,46,72,44,37,45,54,18,11,22,13,93,5,89,15,23,42,52,55,52,55,0,0,0,0,[]
135,50,78,34,43,51,49,25,8,25,11,84,7,84,27,23,42,62,62,62,62,0,0,0,0,[]
136,58,85,26,52,52,51,23,7,24,12,30,7,81,39,89,8,67,65,58,63,0,0,0,0,[]
137,53,87,23,56,55,57,12,12,21,20,25,7,78,51,82,17,74,73,66,66,0,0,0,0,[]
138,48,91,27,59,50,53,11,12,21,30,27,12,75,63,75,26,79,83,74,73,0,0,0,0,[]
139,45,91,36,63,49,51,4,96,23,34,27,17,77,75,67,35,78,85,78,82,0,0,0,0,[]
140,2,96,46,66,45,51,14,95,23,34,35,16,78,87,59,44,76,89,77,88,0,0,0,0,[]
141,5,85,50,66,45,51,27,94,12,94,37,17,73,85,50,49,76,88,73,85,0,0,0,0,[]
142,6,71,57,69,50,61,40,93,27,93,33,16,71,89,55,52,74,91,71,88,0,0,0,0,[]
143,7,59,66,77,58,70,53,92,42,92,21,14,73,92,54,54,74,92,71,89,0,0,0,0,[]
144,8,46,70,85,56,68,66,91,56,89,18,18,79,85,48,52,78,87,74,87,0,0,0,0,[]
145,8,34,75,90,46,58,72,89,70,88,12,24,74,73,57,55,86,83,87,83,0,0,0,0,[]
146,11,26,83,90,40,55,79,87,71,82,10,22,63,60,65,63,90,82,90,82,0,0,0,0,[]
147,10,25,80,85,40,56,79,86,74,86,12,16,64,60,78,63,94,4,90,82,0,0,0,0,[]
148,10,26,77,73,2,96,83,82,78,74,15,11,74,61,88,68,85,12,92,9,0,0,0,0,[]
149,17,17,74,63,45,47,78,74,78,63,95,4,82,56,91,74,82,23,84,18,0,0,0,0,[]
150,23,12,77,59,51,49,81,77,79,55,90,8,84,58,88,72,73,29,77,27,0,0,0,0,[]
151,22,12,82,58,57,56,85,77,76,57,81,15,84,61,84,63,65,38,69,34,0,0,0,0,['12:33 LNGSofM(暗裔剑魔) 击杀了 WEbeishang(盲僧)']
152,25,13,86,63,59,57,87,74,84,63,70,14,84,61,88,60,59,45,59,45,0,0,0,0,[]
153,27,12,93,55,70,62,87,71,89,59,58,10,84,61,93,56,66,50,66,50,0,0,0,0,[]
154,26,10,89,60,72,63,90,69,89,64,45,10,84,61,88,48,74,49,76,49,0,0,0,0,[]
155,25,11,80,65,60,61,90,72,88,71,33,10,93,4,89,58,80,55,80,55,0,0,0,0,[]
156,22,13,73,70,50,51,90,74,89,73,30,8,85,13,81,51,87,64,87,64,0,0,0,0,[]
157,16,16,67,69,53,53,85,80,85,80,19,10,75,21,69,47,90,75,90,75,0,0,0,0,[]
158,13,18,67,70,56,49,82,80,81,82,19,12,68,31,58,43,88,80,87,81,0,0,0,0,[]
159,11,21,65,68,56,54,73,77,74,75,16,18,66,43,57,45,81,81,81,78,0,0,0,0,[]
160,7,34,63,71,63,63,62,75,68,80,17,19,66,56,65,53,75,77,74,71,0,0,0,0,[]
161,5,38,59,68,62,64,71,77,66,77,26,29,66,67,66,65,75,74,66,67,0,0,0,0,['13:24 LNG 击杀了风龙']
162,79,67,57,65,62,62,73,74,74,74,36,38,71,64,70,66,75,69,73,67,0,0,0,0,[]
163,79,62,63,64,74,60,75,67,76,70,46,46,78,56,71,69,74,59,78,56,0,0,0,0,['13:35 LNGPlex(解脱者) 击杀了 WEMystic(暗夜猎手)']
164,82,68,72,69,76,68,78,74,77,70,51,51,79,53,80,76,74,59,83,58,0,0,0,0,[]
165,86,65,80,68,84,78,87,77,82,77,55,49,86,53,93,72,74,59,82,60,0,0,0,0,[]
166,90,65,84,66,92,68,88,69,87,69,68,50,92,58,94,68,74,59,92,58,0,0,0,0,[]
167,87,65,92,65,90,75,90,68,89,70,83,58,94,67,93,71,74,59,94,66,0,0,0,0,['13:52 LNGPlex(解脱者) 击杀了 WExiye(刀锋舞者)']
168,93,69,93,70,87,67,89,69,87,70,87,65,93,64,93,71,74,59,93,64,0,0,0,0,['14:0 WEMissing(魔法猫咪) 击杀了 LNGFlandre(万花通灵)']
169,93,69,90,80,76,72,83,78,82,79,81,67,86,66,93,71,91,8,81,67,0,0,0,0,[]
170,93,69,84,88,69,78,76,88,74,87,88,72,81,56,93,71,84,16,87,68,0,0,0,0,[]
171,93,69,84,88,69,78,76,89,74,87,89,76,73,44,93,71,72,18,87,68,0,0,0,0,[]
172,93,69,5,94,3,95,80,86,4,96,90,76,73,42,93,71,61,24,95,4,0,0,0,0,[]
173,93,69,14,89,6,87,81,90,5,94,90,76,73,41,95,4,49,18,93,6,0,0,0,0,[]
174,93,69,27,82,11,75,81,90,15,88,95,7,73,41,89,14,38,15,89,14,0,0,0,0,[]
175,9,94,40,76,17,63,2,96,26,76,93,12,93,4,79,22,27,11,79,22,0,0,0,0,[]
176,23,93,49,74,24,49,11,91,32,61,89,22,86,8,70,31,22,13,70,31,0,0,0,0,[]
177,38,92,47,72,22,45,22,81,32,45,81,32,72,15,61,40,22,10,61,40,0,0,0,0,[]
178,53,90,47,65,23,41,31,71,33,32,80,45,62,24,52,48,21,10,51,44,0,0,0,0,[]
179,67,88,37,63,28,38,40,60,34,41,78,53,52,33,47,47,22,12,44,36,0,0,0,0,[]
180,80,85,31,52,30,37,46,54,33,42,80,54,50,34,51,46,19,20,42,41,0,0,0,0,[]
181,85,80,32,50,26,37,42,54,36,42,82,58,51,34,49,46,14,20,46,44,0,0,0,0,[]
182,84,80,26,59,14,34,45,54,40,44,87,69,51,28,48,50,14,20,49,53,0,0,0,0,[]
183,79,83,22,53,12,24,45,52,39,42,88,74,47,25,50,42,13,19,53,47,0,0,0,0,[]
184,70,84,23,40,9,31,45,46,27,31,89,71,44,23,50,40,10,23,48,39,0,0,0,0,[]
185,59,84,25,28,12,22,45,53,23,25,88,72,41,21,51,43,18,14,44,36,0,0,0,0,[]
186,54,85,32,34,20,23,47,51,25,25,83,82,43,17,56,44,28,11,38,27,0,0,0,0,[]
187,53,86,26,24,24,22,41,51,26,24,80,84,32,21,53,47,25,14,32,21,0,0,0,0,[]
188,61,89,25,27,17,15,43,57,25,26,81,85,34,22,52,47,20,10,34,22,0,0,0,0,[]
189,71,91,28,20,17,15,33,47,27,24,76,87,34,22,47,37,24,11,34,22,0,0,0,0,[]
190,70,94,27,22,23,22,30,36,25,23,71,89,32,21,38,28,27,12,32,21,0,0,0,0,[]
191,68,91,20,23,23,26,27,32,24,28,76,88,28,22,31,22,26,15,28,22,0,0,0,0,[]
192,72,90,28,31,20,26,37,37,33,35,76,87,31,20,40,24,25,13,25,13,0,0,0,0,[]
193,69,90,41,35,18,16,46,44,41,32,76,91,34,22,43,24,33,22,31,21,0,0,0,0,[]
194,70,91,38,36,15,16,53,45,39,39,73,87,41,31,31,20,40,31,40,31,0,0,0,0,[]
195,70,91,46,36,21,23,49,40,42,42,74,88,40,33,30,19,44,34,43,32,0,0,0,0,[]
196,70,91,41,31,33,23,40,30,41,31,78,81,44,23,37,23,41,26,41,26,0,0,0,0,[]
197,69,90,37,24,29,19,45,23,40,24,73,70,50,22,29,17,42,23,50,22,0,0,0,0,['16:23 LNGDuan(光辉女郎) 击杀了 WEMystic(暗夜猎手)']
198,71,89,33,17,25,13,53,21,47,22,81,80,54,21,27,6,42,23,56,19,0,0,0,0,['16:30 LNGAsura(战争女神) 击杀了 WEbeishang(盲僧)']
199,75,88,38,12,35,8,58,14,57,14,81,83,54,21,40,7,42,23,59,10,0,0,0,0,[]
200,77,88,47,9,47,7,57,14,54,17,82,84,54,21,50,9,42,23,58,9,0,0,0,0,['16:36 LNGDuan(光辉女郎) 击杀了 WEMissing(魔法猫咪)']
201,71,91,43,16,41,9,57,21,42,15,79,90,54,21,54,10,42,23,58,9,0,0,0,0,['16:42 LNGAsura(战争女神) 击杀了 WExiye(刀锋舞者)']
202,70,92,43,17,30,8,52,32,37,14,77,91,54,21,54,10,42,23,58,9,0,0,0,0,[]
203,67,90,2,96,30,8,49,43,37,14,82,87,54,21,54,10,90,7,58,9,0,0,0,0,[]
204,67,90,8,94,31,9,48,53,7,94,83,89,93,9,54,10,81,14,58,9,0,1,0,0,"['16:56 LNGPlex(解脱者) 击破了防御塔,获得一塔']"
205,70,89,22,90,26,11,51,56,22,89,82,83,87,21,54,10,73,24,93,7,0,1,0,0,[]
206,77,88,38,89,26,11,62,62,38,88,85,81,81,33,54,10,65,34,87,16,0,1,0,0,[]
207,77,88,52,87,4,95,62,62,52,86,90,73,75,44,54,10,57,41,79,24,0,1,0,0,[]
208,73,87,47,73,16,86,2,96,47,71,90,73,75,43,90,4,55,43,71,31,0,1,0,0,[]
209,70,83,47,65,23,76,3,96,54,61,95,6,71,41,78,6,50,45,62,38,0,1,0,0,[]
210,70,83,56,61,38,73,46,54,47,57,93,17,58,42,65,7,49,48,54,44,0,1,0,0,[]
211,9,95,59,56,49,66,50,52,51,55,92,29,59,47,53,8,52,45,52,45,0,1,0,0,[]
212,19,93,68,61,56,56,48,51,61,57,90,41,58,43,40,9,51,45,51,45,0,1,0,0,[]
213,34,92,80,66,67,60,53,61,75,62,86,52,51,35,28,10,52,42,52,42,0,1,0,0,[]
214,29,83,83,65,76,56,46,58,76,59,84,51,52,35,24,9,51,42,51,42,0,1,0,0,[]
215,20,70,82,64,75,61,45,54,73,63,89,52,47,35,20,14,49,48,49,48,0,1,0,0,[]
216,12,63,74,62,79,74,45,53,59,58,93,55,33,39,13,22,50,46,46,46,0,1,0,0,[]
217,9,49,77,62,86,81,35,58,62,59,88,57,27,36,11,24,49,48,45,52,0,1,0,0,[]
218,6,35,84,64,87,77,23,56,78,63,91,53,22,38,7,28,46,51,43,48,0,1,0,0,[]
219,6,29,89,60,91,65,15,49,75,62,91,49,13,34,10,30,37,43,35,41,0,2,0,0,['18:13 LNGPlex(解脱者) 击破了防御塔']
220,10,26,83,63,93,54,10,45,60,59,91,47,13,22,15,22,33,39,33,39,0,2,0,0,[]
221,12,23,73,67,92,57,19,49,57,54,90,50,17,22,17,21,45,45,45,45,0,2,0,0,[]
222,15,20,65,68,88,60,23,51,62,59,91,53,27,22,24,22,49,48,49,48,0,2,0,0,[]
223,19,22,64,68,86,66,32,59,66,66,93,53,42,18,29,19,47,49,47,49,0,2,0,0,[]
224,14,18,65,70,79,64,41,55,64,64,92,54,44,16,24,14,43,43,43,43,0,2,0,0,[]
225,12,21,64,69,84,63,32,59,64,64,90,55,43,15,12,16,43,43,45,42,0,2,0,0,[]
226,14,18,59,74,84,63,29,59,56,57,91,54,41,16,21,12,44,44,95,5,0,2,0,0,['18:48 LNG 击杀了风龙']
227,10,30,57,83,89,63,38,58,55,56,90,54,41,16,18,15,50,45,88,14,0,2,0,0,[]
228,15,39,55,83,89,69,48,53,55,56,91,59,93,7,25,15,51,46,80,21,0,2,0,0,[]
229,15,40,53,86,85,78,48,56,7,88,91,58,91,11,25,13,52,44,73,28,0,2,0,0,[]
230,11,29,55,84,85,78,55,67,19,76,91,57,82,21,15,17,53,44,64,35,0,2,0,0,[]
231,8,24,55,84,2,96,54,63,31,64,91,60,71,29,15,20,52,44,56,42,0,2,0,0,[]
232,9,20,5,91,5,84,42,57,34,49,91,59,61,37,22,22,49,42,49,42,0,2,0,0,[]
233,8,18,14,80,6,70,40,51,30,40,91,59,47,40,29,21,44,39,44,39,0,2,0,0,[]
234,3,96,26,69,8,54,46,51,25,46,93,63,42,43,30,20,42,45,42,45,0,2,0,0,[]
235,8,95,37,59,9,39,42,59,30,52,92,63,46,52,38,27,45,51,45,51,0,2,0,0,[]
236,24,93,34,47,12,25,46,72,34,47,89,72,54,44,33,22,51,45,51,46,0,2,0,0,[]
237,39,92,33,43,15,16,47,73,34,39,84,81,50,40,35,16,52,45,54,44,0,2,0,0,[]
238,58,90,36,36,26,16,43,68,34,38,82,79,48,33,39,15,49,48,50,49,0,2,0,0,[]
239,70,91,41,32,37,14,41,59,41,42,76,78,53,31,45,12,50,48,50,47,0,2,0,0,[]
240,72,85,45,36,38,13,46,50,47,45,70,79,53,33,52,8,55,48,55,48,0,2,0,0,[]
241,72,82,49,41,48,20,50,48,49,46,72,76,55,32,49,9,56,47,56,47,0,2,0,0,[]
242,77,88,51,34,57,32,50,46,48,45,80,81,60,35,54,10,58,43,58,43,0,2,0,0,[]
243,79,87,44,32,46,33,46,45,41,34,80,81,63,37,62,15,58,40,59,40,0,2,0,0,[]
244,80,82,44,24,44,24,44,43,43,25,87,74,73,42,61,12,61,42,61,42,0,2,0,0,[]
245,73,72,46,24,46,13,44,48,41,28,84,63,69,41,48,8,54,47,54,47,0,2,0,0,[]
246,81,80,42,24,45,9,47,49,49,32,79,55,65,38,54,10,56,46,56,46,0,2,0,0,[]
247,85,82,48,32,46,16,49,58,49,33,79,54,55,32,53,8,56,43,56,43,0,2,0,0,[]
248,85,80,45,36,52,28,49,66,42,35,80,53,53,34,57,15,53,42,53,42,0,2,0,0,[]
249,74,70,40,28,44,24,49,59,37,36,86,51,46,23,48,23,47,37,49,41,0,2,0,0,[]
