,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,V5Aliez, ,V5Ben4, ,V5y4, ,V5Max, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
156,61,91,47,71,8,87,47,51,36,48,55,56,37,41,34,37,36,42,48,46,21184,0,23244,0,[]
157,72,89,51,74,17,80,44,53,43,53,53,53,44,44,32,36,41,45,50,50,21416,0,23397,0,[]
158,84,84,47,73,25,71,43,55,44,58,58,57,46,48,21,26,44,51,48,50,21666,0,23484,0,[]
159,78,78,51,62,32,62,40,59,41,59,70,62,44,51,15,17,43,52,45,52,21717,0,24521,0,[]
160,77,76,47,50,39,55,46,50,45,50,81,66,42,41,17,15,42,43,45,43,21798,0,24614,1,"['13:16 V5 击破了防御塔,获得一塔']"
161,67,65,42,40,42,42,43,43,44,42,90,70,41,31,15,16,42,40,44,39,22303,0,24826,1,[]
162,65,63,51,31,35,38,45,38,45,37,93,71,47,25,16,14,39,39,52,30,23033,0,25016,1,"['13:28 IGJackeyLove(战争女神) 击杀了 V5Max(河流之王)', '13:30 IGNing(影流之镰) 击杀了 V5Windy(疾风剑豪)']"
163,75,75,45,23,26,30,48,48,47,36,87,72,45,16,21,11,39,39,52,30,23084,0,25089,1,[]
164,82,82,46,24,18,22,40,58,50,44,88,81,44,14,30,10,39,39,52,30,23195,0,25182,1,[]
165,83,81,46,23,14,15,36,62,50,31,89,80,42,14,29,10,39,39,52,30,23378,0,25356,1,[]
166,82,83,45,24,19,14,41,58,44,23,87,82,33,12,23,10,39,39,52,30,23489,0,25432,1,[]
167,78,86,36,13,26,13,49,50,31,20,87,73,30,12,26,9,39,39,52,30,23641,0,25573,1,[]
168,79,86,31,9,25,12,50,47,27,8,87,69,29,8,28,6,84,5,52,30,23763,0,26077,1,[]
169,80,81,27,18,21,14,42,40,23,7,27,10,27,15,27,6,71,6,92,9,23872,0,26164,1,['14:4 V5Ben4(凛冬之怒) 击杀了 IGLucas(深海泰坦)']
170,87,79,24,28,20,23,30,36,23,7,27,23,25,24,31,11,59,8,84,19,23965,0,26737,1,[]
171,89,73,24,28,15,19,22,42,23,7,29,21,33,22,31,11,45,10,79,30,24062,0,26789,1,['14:12 V5Ben4(凛冬之怒) 击杀了 IGNing(影流之镰)']
172,88,70,24,28,12,22,18,45,23,7,32,21,45,24,93,4,39,15,88,40,24112,0,26842,1,[]
173,90,73,24,28,14,35,19,46,2,96,22,13,46,27,92,8,50,22,90,53,24249,0,26908,1,[]
174,89,73,24,28,20,45,19,47,13,88,19,13,46,28,56,45,56,33,89,64,24300,0,27109,1,[]
175,86,79,24,28,21,45,19,47,23,78,14,17,46,28,51,48,54,42,88,75,24350,0,27408,1,[]
176,87,78,24,28,19,45,3,96,32,72,13,18,95,6,50,50,47,50,92,74,24568,0,27720,1,[]
177,81,82,11,97,13,35,9,93,39,60,14,17,87,19,54,50,50,54,88,68,24661,0,27772,1,[]
178,79,85,26,97,7,27,18,85,42,57,14,17,82,30,58,58,60,61,87,76,24944,0,27916,1,[]
179,74,86,39,92,9,27,26,75,41,65,88,5,80,43,54,57,61,58,88,80,25009,0,28066,1,[]
180,82,90,50,89,16,17,35,65,40,61,75,6,75,53,45,55,49,55,87,69,25060,0,28181,1,[]
181,85,88,56,83,19,14,39,60,39,59,62,7,76,59,53,57,55,56,83,58,25514,0,28334,1,[]
182,85,83,56,81,18,15,41,59,42,56,50,9,77,60,63,61,66,65,83,61,25843,0,28473,1,[]
183,81,89,55,82,22,23,47,55,46,45,37,10,69,64,69,65,72,70,87,74,25965,0,28735,1,[]
184,81,91,53,82,20,19,49,53,51,51,27,8,64,61,66,55,65,59,89,71,26026,0,28878,1,[]
185,3,96,50,67,24,12,48,48,49,47,26,7,56,57,56,48,59,50,84,66,26182,0,28973,1,[]
186,18,91,43,68,18,18,45,51,44,55,27,12,50,53,51,50,50,50,79,74,26258,0,29141,1,[]
187,30,89,39,66,15,17,45,53,45,56,28,20,53,56,52,50,54,55,83,81,26566,0,29373,1,[]
188,45,90,28,59,16,15,44,53,46,52,21,14,58,59,56,56,57,58,82,83,26686,0,29554,1,[]
189,57,91,26,56,17,14,42,42,44,42,23,11,67,66,66,66,66,65,76,72,26966,0,29606,1,[]
190,70,92,25,51,26,12,47,34,41,30,37,6,67,71,67,66,64,71,71,78,27125,0,29653,1,[]
191,70,94,34,41,28,8,44,37,43,42,49,9,67,71,65,65,66,68,70,88,27345,0,29805,1,[]
192,63,94,41,33,28,8,46,46,49,48,47,5,60,76,66,54,65,59,75,89,27544,0,29954,1,['15:58 V5 击杀了土龙']
193,49,92,46,24,26,8,48,48,41,38,46,6,67,82,55,48,57,49,74,87,28101,1,30144,1,['16:5 IGRookie(解脱者) 击破了防御塔']
194,50,94,41,31,25,8,43,53,42,42,47,6,63,88,55,49,51,50,71,91,28152,1,30238,1,[]
195,51,94,47,39,5,95,47,52,45,48,46,7,70,94,55,50,53,53,69,91,28262,1,30292,1,[]
196,51,94,41,32,16,90,44,55,51,60,43,9,73,92,58,50,55,48,71,92,28317,1,30951,1,[]
197,57,92,46,34,23,80,46,51,46,50,45,8,84,81,54,49,54,47,80,89,28494,1,31045,2,['16:21 V5 击破了防御塔']
198,59,92,52,37,31,70,45,51,47,49,42,16,78,80,55,48,56,46,81,90,28648,1,31139,2,[]
199,54,88,44,35,41,77,40,52,42,60,30,18,76,79,54,51,53,49,80,90,28699,1,31325,2,[]
200,60,85,38,25,41,68,40,52,42,60,19,13,77,77,55,51,54,49,78,86,28750,1,31605,2,[]
201,51,91,27,24,33,59,11,91,4,93,25,8,79,75,55,54,56,44,88,83,28805,1,31689,2,[]
202,51,94,17,21,29,50,21,82,14,80,36,13,95,4,58,50,56,44,88,83,28911,1,31742,2,[]
203,50,93,16,16,32,42,30,73,25,71,37,14,80,6,52,46,94,4,92,5,29122,1,31815,2,[]
204,49,92,12,22,41,36,39,63,35,62,30,7,68,8,51,47,83,12,82,15,29194,1,31909,2,[]
205,49,92,12,22,50,45,49,53,48,50,24,13,52,9,57,45,74,21,75,26,29370,1,31961,2,[]
206,49,92,6,90,38,41,48,50,47,54,13,16,44,16,56,44,66,32,67,37,29467,1,32164,2,[]
207,51,93,11,78,25,37,50,50,49,57,15,11,46,15,61,42,57,41,72,44,29608,1,32400,2,[]
208,52,93,17,68,10,32,52,46,44,45,15,10,45,16,64,40,57,42,65,40,29715,1,32482,2,[]
209,51,91,17,56,10,27,50,48,47,49,95,4,45,16,64,40,55,41,57,46,30057,1,32586,2,[]
210,48,90,17,46,15,18,46,51,44,50,93,17,52,21,93,4,54,46,54,46,30150,1,32952,2,[]
211,55,88,16,44,15,18,45,56,48,57,92,30,57,23,84,11,53,49,51,40,30335,1,33001,2,[]
212,67,89,22,38,17,17,45,52,42,46,90,43,48,34,74,21,56,41,42,32,30532,1,33054,2,[]
213,74,90,32,32,17,20,45,52,41,51,89,55,46,40,65,33,51,43,44,35,30805,1,33105,2,[]
214,69,90,32,27,24,30,46,53,33,43,88,68,42,32,55,44,53,45,41,30,30856,1,33169,2,[]
215,69,90,31,34,32,37,43,54,32,39,87,77,47,38,51,48,53,46,38,15,30927,1,33478,2,[]
216,15,93,29,37,36,42,47,53,36,48,87,78,49,43,53,49,53,46,33,8,31192,1,33713,2,[]
217,28,92,42,43,46,42,44,49,47,53,84,84,47,39,51,46,52,45,24,13,31243,1,33961,2,[]
218,34,86,51,44,52,43,50,47,52,45,81,83,49,40,55,41,53,44,16,15,31293,1,34105,2,[]
219,46,46,55,48,56,42,58,43,55,43,73,73,50,35,59,38,62,41,27,22,31349,1,34655,2,[]
220,50,46,52,49,54,43,49,49,51,47,64,63,55,42,58,44,60,41,38,28,31405,1,34706,2,['18:16 V5y4(琴瑟仙女) 击杀了 IGRookie(解脱者)']
221,46,51,47,58,54,43,40,57,39,55,54,57,50,50,53,49,55,44,36,37,31465,1,34913,2,[]
222,40,57,47,64,54,43,43,68,42,59,56,58,47,50,49,51,49,51,31,36,31627,1,35029,2,[]
223,41,57,47,63,54,43,45,71,42,58,54,67,42,44,47,50,50,49,21,27,31946,1,35182,2,[]
224,39,58,48,65,54,43,39,65,41,60,62,76,36,40,50,52,46,51,12,18,32087,1,35277,2,[]
225,42,57,56,68,54,43,42,57,47,55,62,84,24,37,43,44,50,45,11,23,32227,1,35329,2,[]
226,45,70,57,69,54,43,33,62,56,56,63,87,13,35,44,39,52,45,7,30,32312,1,35500,2,[]
227,50,82,66,76,4,89,28,60,57,62,72,90,7,29,52,44,52,45,7,31,32395,1,36109,3,['18:55 V5Windy(疾风剑豪) 击破了防御塔']
228,58,90,81,82,5,77,33,61,47,59,84,85,11,27,50,46,49,48,8,33,32604,1,36294,3,[]
229,66,90,89,79,6,64,43,55,44,55,90,77,13,23,48,49,52,46,9,25,32955,1,36360,3,[]
230,70,88,83,78,9,53,42,57,43,59,93,63,13,23,55,41,57,40,9,25,33069,1,36412,3,[]
231,59,85,73,76,9,49,42,57,43,59,93,63,83,9,56,40,57,40,93,10,33124,1,36466,3,[]
232,52,84,62,76,7,48,6,93,2,96,91,73,72,15,94,4,94,4,87,22,33244,1,36540,3,[]
233,53,87,54,68,9,49,10,93,8,94,90,72,62,23,85,10,85,13,75,28,33346,1,36633,3,[]
234,57,82,42,67,7,48,19,84,16,82,88,76,53,33,75,21,74,22,64,37,33481,1,36720,3,[]
235,62,83,32,60,11,47,28,74,27,74,84,84,50,35,66,33,64,34,54,45,33554,1,37022,3,[]
