,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
91,7,27,17,44,44,54,73,91,72,87,84,5,80,51,60,56,78,81,75,79,10832,0,12516,0,[]
92,8,24,18,47,43,54,74,91,74,86,73,6,82,56,52,49,78,85,69,79,11002,0,12644,0,[]
93,10,21,26,50,44,53,76,91,73,87,62,7,81,56,52,49,80,85,70,78,11124,0,12844,0,[]
94,12,19,34,42,44,53,73,90,74,87,51,8,73,63,50,49,81,88,79,83,11292,0,12938,0,[]
95,12,19,39,43,43,54,71,90,70,90,40,10,68,68,49,51,78,90,78,90,11357,0,13017,0,[]
96,12,21,42,45,46,51,71,91,70,88,27,11,67,69,51,50,77,87,77,87,11420,0,13200,0,[]
97,12,21,42,45,47,53,71,92,70,91,17,14,67,69,51,49,75,87,75,87,11499,0,13342,0,[]
98,3,90,42,45,45,52,72,90,72,92,12,21,67,69,52,49,79,89,79,89,11620,0,13498,0,[]
99,4,80,6,96,45,52,68,91,65,88,16,22,67,69,53,51,77,88,77,88,11666,0,13686,0,['8:14 FPX »÷É±ÁËË®Áú']
100,5,67,18,95,42,55,67,92,66,89,8,28,73,74,48,52,73,87,73,87,11717,0,13967,0,[]
101,6,56,30,93,43,54,67,94,66,94,5,28,66,83,56,60,71,86,71,86,11852,0,14070,0,[]
102,7,44,41,91,47,51,69,94,67,92,6,28,62,85,57,72,72,89,74,91,12034,0,14149,0,[]
103,7,31,53,90,48,51,70,91,67,94,7,28,67,94,63,87,68,90,74,92,12108,0,14679,0,['8:34 FPXCrisp(Ä§·¨Ã¨ßä) »÷É±ÁË BLGXinMo(»Ãôá)']
104,11,24,58,92,63,90,66,93,67,94,8,17,59,90,60,90,68,84,68,84,12655,0,15674,0,[]
