,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
117,12,17,75,72,51,59,83,80,83,80,38,17,72,42,53,46,89,76,88,71,0,0,0,0,[]
118,13,18,72,65,55,57,88,80,88,81,37,15,61,38,50,47,90,69,88,66,0,0,0,0,[]
119,11,29,70,62,53,57,89,75,88,77,31,10,52,35,49,49,91,68,91,66,0,0,0,0,[]
120,15,38,61,59,56,55,88,77,87,77,27,9,53,33,48,51,92,71,92,71,0,0,0,0,[]
121,22,43,55,56,46,48,81,77,77,74,24,11,47,36,45,47,88,70,87,66,0,0,0,0,[]
122,29,37,48,47,44,50,84,82,78,75,18,14,42,42,43,47,88,70,88,73,0,0,0,0,['10:8 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGPlex(É³Ä®»ÊµÛ)']
123,40,33,42,34,41,39,82,82,80,76,18,15,41,31,43,47,87,77,86,77,0,0,0,0,[]
124,30,36,45,35,41,39,85,82,82,81,18,15,40,24,43,47,88,72,89,73,0,0,0,0,['10:19 TES369(ÐÉºìÊÕ¸îÕß) »÷É±ÁË LNGSofM(Ã¤É®)']
125,20,36,52,45,47,52,84,81,82,82,20,18,40,24,43,47,89,72,92,65,0,0,0,0,[]
126,10,30,49,46,50,47,89,76,89,76,22,29,40,24,43,47,90,69,90,68,0,0,0,0,[]
127,10,24,44,43,51,47,86,75,86,75,21,22,40,24,43,47,92,72,90,71,0,0,0,0,[]
128,9,22,36,40,50,49,87,78,87,78,15,18,95,4,83,12,90,71,89,70,0,0,0,0,[]
129,11,19,34,38,2,96,86,75,86,75,19,13,84,8,75,21,92,66,91,65,0,0,0,0,[]
130,10,19,34,38,10,91,92,74,88,74,16,15,72,10,68,30,91,70,93,69,0,0,0,0,[]
131,8,19,29,36,22,81,88,74,88,74,16,17,59,11,60,39,91,69,93,69,0,0,0,0,[]
132,7,19,31,40,33,70,88,76,88,76,13,18,46,12,53,45,91,66,94,63,0,0,0,0,[]
133,8,19,28,50,42,57,86,79,88,79,15,17,35,16,50,47,81,66,94,63,0,0,0,0,[]
134,12,18,22,56,42,51,85,77,89,80,14,18,25,23,53,49,84,66,94,5,0,0,0,0,[]
135,10,22,20,48,40,51,81,82,89,81,12,20,12,22,50,46,90,69,91,6,0,0,0,0,[]
136,7,20,16,37,32,42,15,19,15,19,17,22,9,18,43,37,90,70,77,7,0,0,0,0,['11:17 LNGSofM(Ã¤É®) »÷É±ÁË TES369(ÐÉºìÊÕ¸îÕß)']
137,7,20,20,27,25,28,13,19,16,19,19,20,15,18,39,30,86,77,64,10,0,0,0,0,[]
138,7,20,18,17,19,17,16,15,16,15,18,16,18,16,34,23,79,85,49,10,0,0,0,0,"['11:29 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGFlandre(¿ñ±©Ö®ÐÄ)', '11:29 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGSofM(Ã¤É®)']"
139,7,20,20,27,25,29,16,14,15,14,18,16,18,16,42,32,81,85,49,21,0,0,0,0,[]
140,7,20,28,31,35,40,15,14,20,19,18,16,18,16,49,42,82,83,47,33,0,0,0,0,[]
