,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
123,57,73,12,24,71,92,71,92,47,56,53,58,42,45,14,15,78,87,77,86,0,0,0,0,[]
124,53,63,9,22,70,91,70,91,43,59,46,56,44,55,14,16,76,88,76,86,0,0,0,0,[]
125,50,52,5,30,70,91,69,92,47,50,52,47,51,47,16,16,74,93,73,90,0,0,0,0,[]
126,47,49,9,23,70,89,70,89,46,46,54,45,49,47,16,15,78,89,79,87,0,0,0,0,['10:26 V5Mole(ÑÒÈ¸) »÷É±ÁË EDGJiejie(½âÍÑÕß)']
127,39,42,7,20,72,92,72,92,48,48,56,44,49,47,15,15,79,83,81,90,0,0,0,0,[]
128,32,34,9,18,72,92,72,92,39,44,57,43,49,47,15,14,77,88,78,88,0,0,0,0,[]
129,33,30,11,22,71,92,71,92,32,34,49,39,49,47,15,15,76,88,76,90,0,0,0,0,[]
130,33,32,14,20,72,89,73,89,28,34,41,31,87,6,18,15,80,78,86,86,0,0,0,0,[]
131,33,31,12,23,73,90,73,90,28,36,37,39,76,12,23,22,79,75,87,84,0,0,0,0,[]
132,32,29,19,24,76,88,74,88,26,36,34,38,66,19,30,22,79,75,95,4,0,0,0,0,[]
133,30,32,28,32,73,87,73,87,28,38,35,39,57,28,38,26,91,6,90,6,0,0,0,0,[]
134,30,32,25,32,83,82,83,82,25,34,32,35,47,34,30,31,84,11,76,13,0,0,0,0,[]
135,25,35,31,33,84,82,84,82,29,32,29,33,35,38,32,33,73,17,64,22,0,0,0,0,['11:14 V5Windy(ÌúîøÚ¤»ê) »÷É±ÁË EDGScout(É³Ä®»ÊµÛ)']
136,25,34,30,29,83,82,83,82,25,31,28,36,31,33,32,33,63,23,53,31,0,0,0,0,[]
137,34,39,30,31,33,39,35,38,38,37,39,38,41,39,32,33,54,31,40,33,0,0,0,0,[]
138,39,41,25,31,41,37,41,37,37,38,43,36,38,39,32,33,44,38,45,35,0,0,0,0,"['11:29 V5Ben4(Ðé¿ÕÂÓ¶áÕß) »÷É±ÁË EDGJinoo(Î´À´ÊØ»¤Õß)', '11:30 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Mole(ÑÒÈ¸)']"
139,34,43,2,96,35,47,32,44,36,38,43,36,34,43,32,33,35,41,35,42,0,0,0,0,['11:33 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)']
140,34,43,2,95,37,50,36,51,36,38,43,36,32,48,32,33,32,43,38,43,0,0,0,0,"['11:37 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Max(Ä§·¨Ã¨ßä)', '11:38 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5y4(ÐÉºìÊÕ¸îÕß)']"
141,34,43,5,87,37,50,36,51,36,38,43,36,35,49,95,4,32,38,27,37,0,0,0,0,[]
142,34,43,6,75,37,50,36,51,36,38,43,36,47,51,95,8,24,30,22,42,0,0,0,0,[]
143,3,96,6,63,37,50,4,96,36,38,43,36,45,55,87,77,16,20,27,50,0,0,0,0,[]
144,5,94,7,51,5,96,5,96,36,38,95,4,45,55,83,82,11,26,31,46,0,0,0,0,[]
145,15,91,7,39,18,95,18,95,11,90,94,5,40,45,78,87,11,26,22,38,0,0,0,0,[]
146,28,89,6,29,31,94,28,89,21,80,94,5,30,39,79,85,11,25,14,34,0,0,0,0,[]
147,40,87,5,28,44,93,40,87,33,69,11,33,19,36,73,90,8,27,10,28,0,0,0,0,[]
148,48,78,5,33,57,92,48,78,40,59,6,25,6,33,78,87,8,27,9,23,0,0,0,0,['12:19 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Windy(ÌúîøÚ¤»ê)']
149,49,74,5,33,70,92,47,73,45,56,9,26,8,30,86,76,8,27,10,26,0,0,0,0,[]
150,47,68,5,33,71,91,47,68,52,51,20,23,13,22,87,67,11,25,10,24,0,0,0,0,[]
151,48,66,5,33,75,89,48,66,47,54,36,25,25,29,84,64,9,21,8,18,0,0,0,0,[]
152,49,65,5,33,79,89,49,65,58,57,45,36,35,30,84,63,11,22,8,19,0,0,0,0,[]
153,58,62,5,33,79,87,58,62,63,58,56,44,42,19,84,63,9,27,7,25,0,0,0,0,[]
154,66,54,5,33,81,83,66,54,57,55,48,40,41,16,95,4,11,32,11,31,0,0,0,0,[]
155,66,43,6,94,84,80,66,43,53,45,46,44,41,15,94,8,10,31,10,29,0,0,0,0,[]
156,67,46,6,94,88,74,67,46,55,49,52,42,41,15,89,14,10,31,9,28,0,0,0,0,[]
157,74,44,90,81,87,75,74,44,51,50,56,41,94,5,85,25,10,23,11,22,0,0,0,0,[]
158,77,47,89,77,88,75,77,47,55,53,54,42,92,7,80,36,10,21,11,24,0,0,0,0,[]
159,68,46,90,74,88,70,67,48,55,50,55,42,90,13,79,36,9,27,9,27,0,0,0,0,[]
160,58,40,90,69,89,70,58,40,56,45,55,42,81,22,70,34,10,31,12,24,0,0,0,0,['13:20 V5Mole(ÑÒÈ¸) »÷É±ÁË EDGJinoo(Î´À´ÊØ»¤Õß)']
161,54,52,89,68,89,70,54,52,52,50,55,43,78,30,61,41,8,40,14,21,0,0,0,1,"['13:22 EDG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
162,59,56,91,68,3,94,59,56,48,54,55,43,80,42,54,47,10,43,14,21,0,0,0,1,[]
163,69,63,90,71,4,81,67,63,52,64,55,43,80,55,51,46,14,39,93,7,0,0,0,1,[]
164,76,68,90,70,5,68,75,63,52,64,55,43,84,65,46,54,18,45,87,17,0,1,0,1,['13:40 V5 »÷ÆÆÁË·ÀÓùËþ']
165,82,65,84,63,8,55,82,65,55,67,55,43,83,58,47,54,22,44,80,30,0,1,0,1,[]
166,82,65,82,65,7,50,81,65,56,68,55,43,79,65,48,50,21,53,81,46,0,1,0,1,[]
167,74,61,85,65,6,50,77,63,2,96,94,10,78,54,48,51,23,52,76,52,0,1,0,1,[]
168,65,60,87,69,8,51,65,60,12,89,93,24,87,50,45,51,25,52,78,53,0,1,0,1,[]
169,54,57,87,69,9,47,54,57,20,77,92,38,89,50,40,53,32,46,73,49,0,1,0,1,[]
170,44,49,7,95,15,48,44,49,29,66,85,51,77,48,38,48,32,44,66,49,0,1,0,1,[]
171,38,42,16,90,23,41,36,42,43,51,73,50,64,50,40,43,36,41,54,48,0,1,0,1,['14:14 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)']
172,38,42,24,84,21,39,33,41,41,45,60,50,52,49,39,39,36,42,44,46,0,1,0,1,['14:17 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Max(Ä§·¨Ã¨ßä)']
173,38,42,28,74,18,35,33,41,43,48,63,50,46,52,44,44,44,50,46,51,0,1,0,1,['14:22 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Mole(ÑÒÈ¸)']
174,38,42,35,64,11,32,33,41,43,48,76,50,46,56,44,44,45,55,46,57,0,1,0,1,[]
175,38,42,33,65,7,29,2,96,43,48,78,54,40,58,90,5,42,54,43,56,0,1,0,1,[]
176,38,42,34,64,8,24,5,94,43,48,77,54,42,60,87,5,42,52,43,57,0,1,0,2,['14:39 EDGiBoy(¸´³ðÖ®Ã¬) »÷ÆÆÁË·ÀÓùËþ']
177,15,94,35,60,9,21,15,94,43,48,82,61,53,62,75,6,46,50,54,64,0,1,0,2,[]
178,27,93,34,64,10,21,27,93,43,48,81,67,57,63,63,7,46,50,57,67,0,1,0,2,[]
179,40,92,36,67,10,25,40,92,2,96,90,68,55,54,50,9,95,4,57,67,0,1,0,2,[]
180,51,88,39,67,14,36,51,88,13,90,86,75,52,53,38,10,91,6,85,10,0,1,0,2,[]
181,55,83,47,74,19,48,55,83,22,79,75,77,47,50,28,10,80,13,74,20,0,1,0,2,[]
182,59,83,53,84,20,52,59,83,32,68,81,85,49,47,23,10,69,18,66,29,0,1,0,2,[]
183,70,79,62,87,29,52,70,79,32,61,81,82,49,47,24,13,59,23,67,45,0,1,0,2,[]
184,62,77,69,91,16,49,62,77,23,53,79,72,92,9,32,18,51,24,64,57,0,1,0,2,[]
185,57,69,77,89,7,41,57,69,19,48,74,70,86,20,37,15,49,33,62,62,0,1,0,2,[]
186,49,65,84,88,6,37,53,67,21,48,63,62,81,31,37,14,45,38,60,58,0,1,0,2,[]
187,46,64,84,88,6,34,48,66,23,50,63,62,76,43,35,18,50,44,57,62,0,1,0,2,[]
188,47,63,82,84,6,28,50,68,33,59,69,63,67,52,26,23,51,48,57,64,0,1,0,2,[]
189,51,62,82,84,6,29,52,67,39,60,70,68,67,63,23,35,63,52,65,65,0,1,0,2,[]
190,47,55,81,90,9,28,47,55,41,66,71,66,69,67,26,34,67,62,67,63,0,1,0,2,[]
191,42,43,81,90,7,26,44,44,40,65,77,62,66,60,18,24,66,56,63,61,0,1,0,2,['15:51 EDG »÷É±ÁË·çÁú']
192,43,33,7,94,10,22,43,33,3,96,90,65,58,63,17,21,56,49,54,58,0,1,0,2,[]
193,36,25,16,87,6,19,36,25,14,89,89,68,56,68,17,15,50,50,54,65,0,1,0,2,[]
