,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, , , ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
229,36,57,26,66,8,63,31,62,21,66,36,50,31,46,21,47,32,50,31,53,0,1,0,5,[]
230,32,60,36,62,10,60,31,59,32,61,49,50,29,36,95,6,44,50,32,48,0,1,0,5,[]
231,33,59,40,54,6,50,31,53,33,61,49,52,31,45,94,20,35,43,33,48,0,1,0,5,[]
232,31,53,37,50,8,48,31,53,30,53,41,51,31,46,93,34,34,43,34,45,0,1,0,5,[]
233,32,50,44,50,9,49,32,50,37,58,44,53,42,52,91,48,40,50,45,52,0,1,0,5,[]
234,32,56,42,55,16,51,32,55,39,63,45,56,41,56,89,60,39,56,43,58,0,1,0,5,['19:28 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Windy(ÌúîøÚ¤»ê)']
235,36,58,42,55,26,58,36,58,40,62,46,56,39,59,90,68,39,60,44,54,0,1,0,5,['19:32 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Mole(ÑÒÈ¸)']
236,21,52,42,55,22,55,21,52,40,62,32,60,27,59,88,75,27,52,33,49,0,1,0,5,[]
237,10,50,42,55,14,51,11,50,40,62,27,59,15,51,84,80,16,50,19,50,0,1,0,5,['19:43 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5y4(ÐÉºìÊÕ¸îÕß)']
238,5,58,42,55,14,51,11,50,40,62,30,66,6,60,74,88,8,55,16,62,0,1,0,5,['19:46 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Max(Ä§·¨Ã¨ßä)']
239,5,59,42,55,14,51,11,50,40,62,25,73,10,62,62,91,9,57,22,67,0,1,0,5,['19:51 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)']
240,5,59,42,55,14,51,11,50,40,62,26,75,22,73,53,89,16,49,22,72,0,1,0,5,[]
241,5,59,42,55,14,51,11,50,40,62,34,75,31,69,49,88,20,51,31,72,0,1,0,6,['20:3 EDGJiejie(½âÍÑÕß) »÷ÆÆÁË·ÀÓùËþ']
242,5,59,13,95,14,51,11,50,9,95,37,76,44,67,49,88,21,50,38,76,0,1,0,6,[]
243,5,59,27,92,14,51,4,95,17,79,95,4,46,66,53,87,22,48,38,76,0,1,0,7,['20:14 EDGScout(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
244,5,59,40,92,3,95,11,80,18,75,90,14,95,4,64,82,22,48,94,5,0,1,0,7,[]
245,3,94,42,92,5,77,16,69,28,66,77,26,90,13,73,74,84,9,86,17,0,1,0,7,[]
246,12,76,44,90,7,63,18,58,39,59,65,34,81,27,75,61,71,18,70,25,0,1,0,7,[]
247,17,61,41,80,9,58,21,48,38,57,50,34,77,43,79,56,60,25,56,30,0,1,0,7,[]
248,22,48,40,68,9,56,25,37,35,59,37,39,74,47,79,56,52,26,40,32,0,1,0,7,[]
249,22,48,33,59,8,49,24,36,27,51,31,38,64,51,73,62,46,34,30,37,0,1,0,7,[]
250,20,47,28,51,10,47,20,49,22,50,35,40,66,66,69,66,48,40,39,42,0,1,0,7,[]
251,10,47,22,50,10,49,11,48,25,57,32,44,64,71,69,67,49,46,32,38,0,1,0,7,[]
252,8,39,22,50,13,49,20,51,32,62,32,44,66,70,69,68,50,48,30,34,0,1,0,7,['20:59 EDG »÷É±ÁË·çÁú']
253,14,35,6,89,19,61,19,61,31,64,32,41,58,63,71,69,43,39,29,38,0,1,0,7,[]
254,9,37,16,81,20,64,20,63,28,67,20,38,51,55,94,4,30,37,18,34,0,1,0,7,[]
255,9,47,19,73,32,65,32,65,19,62,11,29,39,58,78,12,32,34,23,43,0,1,0,7,[]
256,5,44,18,62,24,65,24,65,12,49,20,37,42,56,65,21,34,32,24,40,0,1,0,7,[]
257,5,45,20,51,31,59,31,59,12,48,31,33,44,50,62,24,32,33,30,34,0,1,0,7,[]
258,18,49,21,41,24,51,25,51,22,44,27,38,43,52,30,39,27,37,29,36,0,1,0,7,[]
259,22,40,21,40,22,44,22,44,20,45,25,36,30,46,28,38,22,40,25,37,0,1,0,7,['21:34 EDGMeiko(¹â»ÔÅ®ÀÉ) »÷É±ÁË V5Mole(ÑÒÈ¸)']
260,18,36,21,40,23,43,21,41,20,45,19,36,22,41,24,38,22,40,25,37,0,1,0,7,"['21:38 V5Ben4(Ðé¿ÕÂÓ¶áÕß) »÷É±ÁË EDGiBoy(¸´³ðÖ®Ã¬)', '21:39 EDGJinoo(Î´À´ÊØ»¤Õß) »÷É±ÁË V5Windy(ÌúîøÚ¤»ê)', '21:40 V5Ben4(Ðé¿ÕÂÓ¶áÕß) »÷É±ÁË EDGJinoo(Î´À´ÊØ»¤Õß)', '21:40 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)', '21:40 EDGScout(É³Ä®»ÊµÛ) »÷É±ÁË V5Max(Ä§·¨Ã¨ßä)']"
261,19,36,21,40,24,43,22,42,20,45,19,36,23,45,23,43,22,40,23,43,0,1,0,7,['21:41 EDGScout(É³Ä®»ÊµÛ) »÷É±ÁË V5y4(ÐÉºìÊÕ¸îÕß)']
262,19,36,21,40,24,43,22,42,20,45,19,36,26,36,30,33,22,40,31,33,0,1,0,7,[]
263,19,36,21,40,24,43,22,42,20,45,19,36,31,30,31,31,22,40,31,33,0,1,0,7,[]
264,19,36,21,40,24,43,22,42,20,45,19,36,31,30,32,32,22,40,31,33,0,1,0,7,[]
265,19,36,21,40,24,43,22,42,20,45,19,36,31,31,30,32,22,40,30,33,0,1,0,7,[]
266,19,36,21,40,24,43,22,42,20,45,19,36,32,31,26,30,22,40,33,41,0,1,0,7,['22:10 EDG »÷É±ÁË´óÁú']
267,19,36,21,40,24,43,8,94,4,96,19,36,29,37,12,21,22,40,33,42,0,1,0,7,[]
268,10,91,21,40,7,94,24,95,24,95,19,36,39,37,26,22,22,40,91,10,0,1,0,7,[]
269,19,79,8,87,18,81,33,89,33,91,86,10,51,35,35,17,85,18,79,21,0,1,0,7,[]
270,22,76,16,77,20,73,36,79,43,88,79,26,52,35,37,17,74,28,67,34,0,1,0,7,[]
271,34,75,17,68,27,69,45,79,54,86,80,41,90,13,35,17,65,39,66,50,0,1,0,7,[]
272,47,79,24,68,27,68,48,77,51,85,76,56,77,25,92,6,56,49,59,63,0,1,0,7,[]
273,48,76,27,72,32,73,49,76,46,79,74,71,67,37,78,23,56,62,57,71,0,1,0,7,[]
274,47,79,35,75,37,74,47,79,47,79,71,85,56,47,67,34,50,65,57,73,0,1,0,7,[]
275,41,76,45,79,43,68,42,76,47,79,71,89,57,62,57,44,49,59,50,65,0,1,0,7,[]
276,40,73,39,74,36,65,40,73,41,75,69,79,51,65,47,54,46,57,43,58,0,1,0,7,[]
277,47,79,37,76,31,67,47,79,37,76,61,75,43,68,48,66,39,63,40,66,0,1,0,7,[]
278,41,83,38,76,32,70,41,83,36,78,49,78,45,74,47,77,46,72,47,75,0,1,0,7,[]
279,36,86,37,76,29,70,36,86,35,81,58,84,44,71,45,70,48,78,43,78,0,1,0,7,[]
280,35,84,32,79,28,79,35,84,29,79,51,85,35,67,37,65,41,77,39,75,0,1,0,7,[]
281,30,82,30,79,28,81,28,81,30,81,52,86,29,71,29,68,38,76,39,75,0,1,0,7,[]
282,25,83,23,81,19,79,19,79,26,82,44,90,32,70,26,69,40,68,36,63,0,1,0,7,[]
283,30,84,25,82,23,80,23,80,34,92,40,86,27,71,17,64,33,73,27,70,0,1,0,7,[]
284,36,77,23,80,23,79,23,79,29,82,42,76,26,72,10,67,26,70,25,71,0,1,0,7,[]
285,30,80,17,78,22,81,22,81,19,86,36,67,27,71,10,68,26,72,27,74,0,1,0,7,[]
286,19,82,14,77,16,82,19,82,7,92,22,72,17,76,10,68,18,74,19,74,0,1,0,8,['23:48 EDGScout(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
287,10,77,13,77,15,72,15,72,10,83,18,72,12,76,11,70,18,70,18,70,0,1,0,8,[]
288,5,80,12,77,12,76,6,81,7,81,14,77,12,77,7,80,13,77,14,78,0,1,0,8,"['23:59 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Windy(ÌúîøÚ¤»ê)', '24:0 EDGiBoy(¸´³ðÖ®Ã¬) »÷É±ÁË V5y4(ÐÉºìÊÕ¸îÕß)']"
289,3,93,12,77,12,76,3,93,4,91,7,80,5,80,7,78,6,81,9,79,0,1,0,8,[]
290,7,90,12,77,12,76,7,90,9,92,10,81,10,81,11,80,10,84,12,81,0,1,0,9,['24:9 EDGScout(É³Ä®»ÊµÛ) »÷ÆÆÁË·ÀÓùËþ']
291,4,92,12,77,12,76,4,93,6,96,14,83,5,89,16,84,5,87,13,81,0,1,0,9,[]
292,4,93,12,77,12,76,3,94,5,95,9,92,6,90,13,92,6,86,10,86,0,1,0,10,"['24:18 EDGMeiko(¹â»ÔÅ®ÀÉ) »÷ÆÆÁË·ÀÓùËþ', '24:17 EDGJiejie(½âÍÑÕß) »÷É±ÁË V5Ben4(Ðé¿ÕÂÓ¶áÕß)']"
293,4,93,12,77,12,76,5,96,5,96,8,94,12,87,12,92,8,92,7,88,0,1,0,10,[]
294,4,93,12,77,12,76,5,96,5,96,8,94,12,87,12,92,8,92,7,88,0,1,0,10,[]
295,4,93,12,77,12,76,5,96,5,96,8,94,12,87,12,92,8,92,7,88,0,1,0,10,['24:35 EDG »ñÊ¤']
