,VGChelizi, ,VGYoudang, ,VGIan, ,VGPuff, ,VGSouthwind, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
19,25,22,52,75,46,53,85,84,89,82,25,15,50,26,51,49,86,75,88,74,2521,0,2521,0,[]
20,16,17,53,76,47,52,86,82,85,78,17,12,52,27,50,49,87,75,89,77,2564,0,2546,0,[]
21,10,17,50,75,47,51,84,87,82,85,16,14,53,29,51,48,85,80,89,82,2699,0,2588,0,[]
22,13,16,44,69,48,51,81,83,82,85,16,15,52,28,50,48,86,79,88,79,2855,0,2730,0,[]
23,14,16,35,62,49,50,82,84,83,85,18,12,52,33,52,47,87,78,89,79,2969,0,2923,0,[]
24,13,17,29,52,48,49,86,83,90,81,17,12,51,34,51,48,87,75,89,76,3076,0,3023,0,[]
25,16,13,24,44,48,52,86,80,88,80,22,10,55,31,51,47,88,74,91,74,3127,0,3215,0,[]
26,16,13,23,43,50,47,83,81,89,81,21,12,53,31,50,47,87,76,91,77,3324,0,3290,0,[]
27,20,13,25,38,48,48,82,81,89,80,22,10,50,22,53,47,88,76,90,77,3465,0,3396,0,[]
28,16,16,35,40,46,50,83,80,84,80,20,12,43,17,55,45,88,75,90,76,3614,0,3510,0,[]
29,20,12,42,37,52,46,84,80,88,79,24,10,42,16,56,45,88,73,91,73,3735,0,3687,0,[]
30,27,15,38,38,51,47,86,78,88,78,30,8,42,16,54,45,89,70,92,72,3782,0,3814,0,[]
31,37,16,31,46,50,49,86,80,89,82,24,8,46,15,52,45,88,72,92,74,3853,0,3926,0,[]
32,27,16,37,59,52,47,85,80,88,79,24,9,46,14,56,45,87,72,92,73,3997,0,4002,0,[]
33,21,13,48,59,51,48,84,80,86,82,21,9,47,16,54,44,88,73,91,75,4091,0,4137,0,[]
34,16,12,59,60,56,54,84,81,84,81,23,11,52,20,58,41,88,74,91,75,4204,0,4228,0,[]
35,20,11,66,53,66,55,86,80,84,80,25,10,52,20,57,42,88,74,91,76,4452,0,4328,0,[]
36,20,13,66,48,67,48,85,79,87,80,27,12,93,9,56,44,88,73,91,75,4517,0,4509,0,[]
37,25,12,73,54,66,53,86,80,84,80,26,8,86,22,55,44,87,74,90,76,4608,0,4607,0,[]
38,23,11,74,57,58,55,84,81,85,81,26,8,81,32,53,46,86,76,91,75,4659,0,4707,0,[]
39,24,13,74,59,49,51,84,82,89,81,26,7,80,43,54,48,87,75,90,75,4926,0,4821,0,[]
40,24,12,69,62,46,54,84,80,87,81,27,8,78,54,61,51,88,75,88,72,5005,0,4935,0,[]
41,24,12,63,68,45,58,83,81,84,82,28,8,72,63,55,52,89,77,87,73,5126,0,5042,0,[]
42,24,10,51,66,45,57,86,79,89,78,27,8,64,59,57,57,90,71,86,66,5182,0,5126,0,[]
43,22,11,46,68,44,56,83,83,83,84,25,9,59,57,49,54,89,73,85,66,5281,0,5324,0,[]
44,17,13,44,68,45,54,82,85,84,87,23,11,57,63,45,52,88,74,87,72,5418,0,5375,0,[]
45,19,13,43,68,43,54,83,83,90,82,23,10,63,57,49,52,87,75,89,76,5552,0,5458,0,[]
46,18,12,45,72,44,54,84,84,88,85,23,10,69,48,46,50,87,77,91,78,5694,0,5579,0,[]
47,20,12,50,82,43,55,83,83,89,82,25,9,73,44,47,50,87,75,91,76,5799,0,5698,0,[]
48,24,12,57,83,44,52,84,84,87,83,27,8,76,46,49,50,86,77,90,76,5920,0,5872,0,[]
49,21,10,59,84,45,52,84,83,87,85,25,11,76,47,48,51,87,77,90,81,6013,0,6010,0,[]
50,16,15,57,84,46,51,83,85,86,86,26,16,84,56,50,49,85,77,90,81,6236,0,6093,0,[]
51,18,15,56,84,45,54,80,82,80,83,22,12,82,56,47,51,86,81,89,81,6318,0,6272,0,[]
52,19,14,55,85,46,52,80,86,82,87,18,10,78,56,53,47,84,79,87,82,6522,0,6349,0,[]
53,20,10,54,84,45,43,80,87,81,89,26,7,71,63,57,43,82,81,87,84,6685,0,6488,0,[]
54,19,13,54,84,46,43,77,90,81,90,25,9,58,64,53,46,80,83,85,85,6761,0,6637,0,[]
55,25,15,5,92,50,46,71,91,72,92,25,8,53,63,52,43,77,87,79,89,6849,0,6715,0,[]
56,23,11,11,79,47,50,74,89,73,86,26,8,53,60,52,45,80,87,81,89,7019,0,6871,0,[]
57,23,11,16,69,47,50,74,88,73,90,26,11,53,60,53,45,80,89,80,84,7137,0,6966,0,[]
58,27,10,18,55,47,50,71,90,71,93,29,8,52,60,52,46,78,90,75,88,7262,0,7139,0,[]
59,24,11,22,44,40,55,69,90,73,92,27,6,57,66,52,45,75,90,76,87,7388,0,7243,0,[]
60,26,9,29,37,40,55,71,92,66,92,30,8,57,74,55,45,78,84,79,86,7467,0,7329,0,[]
61,24,11,26,34,2,96,70,90,64,93,28,8,54,64,56,43,79,88,77,88,7522,0,7412,0,[]
62,22,12,24,28,52,46,70,91,2,96,31,7,57,55,95,4,81,83,84,85,7714,0,7506,0,[]
63,21,11,27,22,43,44,70,91,8,95,31,7,50,50,51,44,82,86,76,89,7817,0,7571,0,[]
64,18,9,26,30,36,41,69,91,15,94,95,4,43,45,40,42,79,86,75,87,7868,0,7668,0,[]
65,17,9,22,40,44,47,67,93,26,93,26,8,52,43,50,46,73,88,72,89,7961,0,7789,0,[]
66,2,96,15,44,45,54,68,92,37,93,26,14,49,35,52,45,74,89,73,92,8065,0,7881,0,[]
67,4,89,16,44,51,50,72,91,48,92,27,17,52,35,51,45,77,87,78,88,8138,0,7978,0,[]
68,5,76,17,46,51,51,76,87,59,91,21,14,56,31,51,45,83,83,83,85,8296,0,8202,0,[]
69,7,63,25,56,51,51,76,88,70,91,16,14,54,31,54,45,82,84,82,88,8347,0,8426,0,[]
70,8,50,25,58,49,52,73,90,75,91,15,13,51,30,53,47,79,84,81,90,8447,0,8519,0,[]
71,9,36,31,59,50,47,74,88,78,88,14,14,45,22,53,47,79,75,87,86,8724,0,8720,0,[]
72,12,23,42,58,50,51,74,88,78,87,14,13,41,17,53,47,79,75,87,85,8818,0,8807,0,[]
73,15,15,53,60,50,51,77,86,80,85,17,13,38,15,52,48,81,80,84,84,9065,0,8974,0,[]
74,13,18,63,60,53,49,76,90,81,90,16,13,38,16,51,46,81,83,83,83,9151,0,9070,0,[]
75,20,12,59,60,53,49,77,89,83,90,23,9,41,15,52,47,82,82,83,83,9258,0,9222,0,[]
76,16,14,58,69,57,57,76,90,80,91,21,11,39,15,60,44,81,82,81,83,9418,0,9366,0,[]
77,16,14,54,67,64,63,76,91,81,89,22,10,39,15,57,46,79,84,83,84,9538,0,9457,0,[]
78,24,22,46,65,59,60,73,90,76,87,25,9,92,7,53,48,88,81,88,82,9613,0,9564,0,[]
79,27,22,45,68,57,55,76,88,73,84,25,8,90,8,50,48,88,84,87,85,9772,0,9615,0,[]
80,22,21,45,67,48,52,76,87,77,88,20,11,78,14,49,48,88,84,87,85,9916,0,9708,0,[]
81,20,13,49,73,46,53,78,86,78,88,23,7,68,19,49,48,89,82,90,82,10044,0,9773,0,[]
82,15,16,52,72,46,53,78,86,79,85,19,12,58,23,47,49,89,82,90,81,10191,0,9878,0,[]
83,20,12,52,74,44,56,80,84,82,82,24,10,46,27,53,51,94,6,90,80,10291,0,9929,0,[]
84,22,11,52,76,45,55,82,84,85,82,26,8,51,27,49,48,92,16,87,73,10491,0,9980,0,[]
85,22,10,54,83,46,54,86,80,87,79,27,8,52,27,46,50,91,27,87,71,10612,0,10201,0,[]
86,18,14,54,83,45,55,86,81,89,77,23,9,56,32,47,52,91,39,95,4,10890,0,10273,0,[]
87,17,13,57,83,44,55,88,80,92,77,22,12,57,41,46,49,90,50,93,14,11101,0,10350,0,[]
88,22,11,59,83,44,55,90,81,92,72,25,10,55,52,51,51,88,60,92,26,11406,0,10402,0,[]
89,22,13,59,83,47,51,90,81,90,81,29,8,56,57,55,56,88,70,92,38,11471,0,10518,0,[]
90,26,9,59,83,48,51,9,96,7,96,27,6,66,60,52,51,91,69,90,50,11543,0,10784,0,[]
91,22,10,8,85,47,51,17,95,15,95,28,6,65,57,52,51,89,73,88,61,11650,0,10905,0,[]
92,22,11,13,75,46,52,28,94,27,94,25,8,64,57,55,46,86,81,87,73,11706,0,10982,0,[]
93,21,10,17,64,34,49,39,93,39,93,25,9,68,64,58,44,84,81,87,82,11799,0,11203,0,[]
94,21,13,18,53,23,48,49,91,51,92,26,9,72,65,57,45,83,81,83,80,11892,0,11457,0,[]
95,25,14,23,48,21,48,60,91,63,91,28,8,75,61,56,45,76,86,76,78,11964,0,11550,0,[]
96,25,10,22,53,22,50,69,90,71,88,27,7,81,57,52,48,77,88,71,78,12201,0,11666,0,[]
97,20,14,30,60,33,49,69,90,71,91,26,10,83,56,50,48,77,88,75,78,12299,0,11743,0,[]
98,18,17,40,66,44,51,73,88,70,83,22,12,80,54,49,49,80,86,80,87,12387,0,11932,0,[]
99,17,17,51,66,46,53,73,90,71,83,25,12,72,44,50,50,81,86,79,83,12494,0,12067,0,[]
100,17,12,58,69,48,51,74,90,72,88,25,10,76,44,60,51,80,86,81,90,12622,0,12139,0,[]
101,22,8,66,78,48,53,74,90,71,89,29,9,76,47,60,51,78,85,77,91,12673,0,12404,0,[]
102,22,8,70,79,49,49,80,87,84,86,29,10,77,52,94,4,83,82,85,85,13055,0,12492,0,[]
103,23,10,76,74,50,50,81,85,81,88,28,9,76,54,80,17,86,75,87,75,13266,0,12563,0,[]
104,16,15,78,75,44,53,79,85,81,87,27,17,75,56,72,24,86,78,90,81,13369,0,12714,0,[]
105,18,14,74,70,44,53,80,85,80,85,29,20,75,60,65,33,85,82,87,84,13518,0,12859,0,[]
106,19,16,71,77,3,95,78,85,79,89,25,11,76,69,57,44,83,82,86,84,13702,0,13021,0,[]
107,24,10,73,84,9,92,81,87,81,90,28,8,78,73,56,44,83,82,85,85,13840,0,13193,0,[]
108,26,14,68,80,18,84,80,83,85,88,29,8,78,73,51,48,85,78,84,79,13891,0,13395,0,[]
109,24,14,69,79,26,75,80,87,84,88,26,8,74,76,48,50,85,78,88,82,13942,0,13618,0,[]
110,21,13,67,82,33,65,78,89,77,87,25,7,75,75,42,44,82,81,85,85,14035,0,13732,0,[]
111,13,21,56,82,41,55,75,88,76,89,22,8,73,66,35,37,83,81,84,89,14223,0,13829,0,[]
112,12,23,47,71,49,59,75,88,75,90,26,7,72,65,38,38,82,84,84,89,14275,0,13980,0,[]
113,2,96,46,67,47,55,69,90,69,91,27,8,74,69,48,42,77,88,78,89,14398,0,14102,0,[]
114,4,87,47,65,47,54,69,91,68,89,28,8,74,69,49,49,74,89,74,87,14553,0,14393,0,[]
115,5,74,56,65,48,51,70,90,74,89,20,15,76,78,51,47,80,86,75,91,14668,0,14486,0,[]
116,6,61,62,62,50,49,63,93,63,90,15,17,76,88,48,48,80,89,80,88,14781,0,14646,0,[]
117,8,47,57,66,51,51,68,91,68,90,18,16,78,80,50,49,77,90,75,88,14854,0,14852,0,[]
118,8,34,61,81,52,49,67,93,67,90,22,14,75,69,54,44,74,91,74,89,15010,0,14940,0,[]
119,8,27,69,85,54,55,69,94,69,92,22,14,76,63,60,44,75,91,75,89,15116,0,14989,0,[]
120,14,19,70,91,53,54,71,92,68,92,87,5,76,74,57,50,79,87,79,83,15168,0,15042,0,[]
121,21,11,61,85,47,52,67,92,66,92,76,6,76,79,51,51,78,88,77,87,15277,0,15193,0,[]
122,19,12,58,83,48,51,72,90,68,92,65,6,78,73,50,50,81,84,82,85,15389,0,15311,0,[]
123,22,10,58,82,47,53,72,90,69,82,54,7,75,70,53,50,83,87,80,90,15620,0,15438,0,[]
124,23,12,55,82,49,53,72,90,70,83,43,7,69,65,54,49,84,88,81,90,15819,0,15489,0,[]
125,27,8,56,82,46,54,72,90,71,89,32,7,71,65,55,57,95,4,95,4,16159,0,15682,0,[]
126,26,10,66,82,46,53,72,89,69,90,26,9,70,64,51,54,93,8,90,12,16299,0,15759,0,[]
127,27,18,68,82,44,55,3,96,2,96,27,13,59,59,48,52,92,20,80,23,16414,0,15866,0,[]
128,26,30,68,82,43,54,8,95,13,91,24,9,58,56,48,53,91,31,70,33,16465,0,15945,0,[]
129,31,36,12,91,42,56,16,95,24,86,22,8,58,56,49,51,91,42,66,46,16572,0,16039,0,[]
130,23,26,19,83,42,55,27,94,33,79,22,10,83,8,50,44,90,53,57,47,16637,0,16111,0,[]
131,19,15,19,73,44,53,38,92,41,70,20,10,71,10,47,41,89,65,47,40,16769,0,16166,0,[]
132,15,14,20,61,47,53,48,91,51,64,21,11,59,9,49,48,86,75,48,43,16821,0,16273,0,[]
133,13,18,23,55,47,53,59,89,62,61,18,15,47,10,49,49,83,80,48,42,16974,0,16408,0,[]
134,12,19,22,54,44,54,70,88,60,62,19,15,35,11,47,51,83,83,53,51,17207,0,16572,0,[]
135,12,19,15,43,47,52,76,89,58,68,18,15,37,14,47,41,86,79,65,53,17370,0,16700,0,[]
136,13,19,16,45,42,55,75,87,65,77,18,14,42,18,41,32,87,80,66,58,17539,0,16893,0,[]
137,11,22,20,47,42,55,73,85,70,81,17,16,43,18,48,41,88,83,65,68,17591,0,16984,0,[]
138,7,30,27,51,46,52,79,83,70,78,10,23,42,18,50,49,88,83,65,58,17684,0,17138,0,[]
139,8,26,36,50,47,51,82,90,75,88,12,21,48,20,51,53,86,79,63,59,17765,0,17242,0,[]
140,12,20,39,52,45,52,83,86,80,92,16,18,39,27,50,52,87,77,55,56,17977,0,17402,0,[]
141,9,23,38,63,46,53,83,86,89,83,13,21,39,37,49,51,89,68,59,56,18187,0,17513,0,[]
142,7,33,48,67,47,53,81,82,80,77,11,19,27,36,57,38,89,68,65,59,18361,0,17578,0,[]
143,7,33,57,64,52,47,79,76,77,72,11,23,31,30,57,38,90,74,78,63,18475,0,17841,0,[]
144,2,96,61,58,53,47,72,68,75,63,11,26,31,29,95,4,90,73,87,69,18544,0,17939,0,[]
145,4,86,70,63,46,54,77,78,78,72,13,20,32,29,59,42,85,77,86,75,18593,0,18023,0,[]
146,5,73,78,71,46,54,81,85,78,77,12,20,32,28,55,43,86,79,86,79,18675,0,18208,0,[]
147,6,59,80,75,2,96,80,83,79,82,17,23,31,30,53,49,89,78,88,74,18760,0,18348,0,[]
148,6,43,67,78,10,92,81,85,85,88,18,24,30,29,46,47,89,75,83,65,18862,0,18402,0,[]
149,8,30,55,76,18,83,82,86,85,87,93,4,31,30,48,52,88,77,81,66,18990,0,18595,0,[]
150,10,24,50,74,26,74,86,80,88,79,81,5,33,36,45,54,89,72,89,70,19041,0,18737,0,[]
151,16,16,50,73,35,63,86,82,86,82,69,6,43,43,52,61,87,73,91,76,19316,0,18814,0,[]
152,13,16,47,69,41,56,86,82,88,84,57,8,51,50,59,71,88,76,90,77,19552,0,18879,0,[]
153,19,17,47,65,43,57,76,77,82,81,45,9,60,58,64,69,86,76,88,76,19705,0,19001,0,[]
154,26,29,55,64,51,61,72,76,72,77,33,8,66,59,65,58,88,78,84,78,19756,0,19073,0,[]
155,35,38,66,63,61,63,72,67,74,66,27,7,74,59,62,51,81,77,78,73,19807,0,19196,0,[]
156,35,38,71,66,61,61,76,77,75,72,22,13,83,58,54,49,86,76,86,77,19893,0,19332,0,[]
157,31,38,65,58,51,54,82,85,79,83,15,17,84,62,52,49,84,80,90,80,20008,0,19512,0,[]
158,26,36,65,57,48,50,80,85,79,86,13,16,87,66,55,48,84,79,88,83,20115,0,19698,0,[]
159,23,37,67,66,49,52,78,84,79,84,12,16,83,66,52,49,83,81,86,83,20380,0,19953,0,[]
160,11,33,76,71,52,60,79,85,81,87,10,23,87,70,50,49,85,80,89,82,20482,0,20127,0,[]
161,8,29,75,69,47,55,79,85,78,83,8,24,87,70,52,48,87,82,87,76,20659,0,20182,0,[]
162,8,30,69,66,49,52,79,80,79,75,9,24,83,64,49,49,87,73,87,72,20826,0,20282,0,[]
163,14,19,66,69,50,51,72,70,70,68,14,16,87,67,50,50,87,79,89,82,20919,0,20404,0,[]
164,12,20,65,70,43,54,69,68,68,69,17,16,87,73,50,50,86,82,87,82,21019,0,20630,0,[]
165,11,20,66,71,46,53,71,77,73,73,17,14,85,77,57,55,86,77,85,82,21188,0,20701,0,[]
166,8,28,54,77,44,55,71,87,70,88,10,23,76,72,53,50,80,75,78,76,21324,0,20759,0,['13:46 VG 击杀了火龙']
167,8,25,52,84,44,52,72,92,69,91,9,25,74,62,54,47,80,81,77,71,21440,0,20806,0,[]
168,9,31,54,84,47,51,70,89,68,90,12,21,75,54,50,49,82,82,87,80,21626,0,20877,0,[]
169,11,24,55,84,49,51,68,90,68,90,14,19,75,55,51,47,84,81,87,84,21735,0,21127,0,[]
170,13,21,53,84,44,54,71,90,5,95,13,18,73,44,50,51,85,79,90,81,21816,0,21334,0,[]
171,9,24,54,85,39,59,78,87,19,91,13,16,69,40,53,48,85,79,89,81,21941,0,21529,0,[]
172,5,29,3,96,39,59,76,89,29,84,18,23,61,36,53,48,87,76,90,81,22042,0,21580,0,[]
173,7,27,9,84,2,96,73,89,37,74,21,28,52,35,90,6,87,76,95,4,22121,0,21681,0,[]
174,10,27,20,74,2,96,2,96,48,68,13,22,51,35,80,17,93,8,93,7,22193,0,21795,0,[]
175,13,22,18,62,50,50,9,96,56,60,16,18,48,25,71,26,92,17,93,7,22307,0,21846,0,[]
176,12,20,20,49,50,49,17,95,64,57,17,16,44,23,63,36,91,29,90,19,22509,0,22022,0,[]
177,14,19,25,48,40,51,30,93,68,65,17,15,43,24,55,44,90,42,88,33,22561,0,22255,0,[]
178,14,18,22,48,27,49,42,91,77,73,17,17,41,31,52,47,89,54,89,47,22726,0,22355,0,[]
179,11,22,17,45,26,50,55,90,81,84,17,16,45,38,49,49,89,66,87,62,22861,0,22438,0,[]
180,11,21,16,45,40,51,67,88,81,84,18,18,49,42,48,50,84,78,79,67,22998,0,22643,0,[]
181,11,31,22,54,44,55,78,87,82,90,15,20,48,43,46,52,84,81,76,59,23259,0,22770,0,[]
182,9,30,34,49,41,56,84,80,83,82,13,19,49,51,46,52,84,81,81,66,24044,0,22905,0,"['15:9 VGPuff(逆羽) 击杀了 TESLokeN(皮城女警),获得一血']"
183,9,24,43,53,45,54,84,80,85,80,15,21,49,50,45,48,84,81,71,62,24120,0,22977,0,[]
184,7,31,40,60,42,56,89,72,91,73,10,27,47,48,47,49,84,81,61,59,24256,0,23029,0,[]
185,6,31,47,64,45,52,91,66,90,70,8,25,58,50,52,48,84,81,64,58,24407,0,23131,0,[]
186,7,27,48,65,45,52,89,71,90,70,7,24,53,45,51,49,84,81,56,56,25188,0,23207,0,[]
187,15,34,54,66,45,53,90,73,90,69,13,19,43,39,46,51,84,81,55,57,25366,1,23387,0,"['15:33 VGPuff(逆羽) 击破了防御塔,获得一塔']"
188,23,35,61,63,44,55,90,78,89,79,11,20,37,43,45,45,95,5,55,53,25659,1,23490,0,[]
189,19,35,52,68,47,57,89,81,89,81,11,21,34,38,31,49,93,19,48,42,25709,1,23672,0,[]
190,9,34,50,68,52,64,3,96,2,96,11,26,27,36,19,50,92,31,35,38,25807,1,23853,0,[]
191,5,42,3,95,45,55,9,92,7,92,7,38,14,42,8,46,90,43,26,37,25853,1,23945,0,[]
192,5,52,8,80,34,49,12,80,8,80,6,49,7,50,5,50,91,50,22,43,25919,1,24745,0,['16:0 TES369(猩红收割者) 击杀了 VGChelizi(机械公敌)']
193,5,52,16,68,46,51,10,64,9,65,9,41,11,36,12,47,93,56,24,32,26040,1,24799,0,[]
194,5,52,20,53,42,51,11,51,8,53,9,33,8,30,22,47,90,69,26,30,26091,1,24892,0,[]
195,5,52,22,46,32,45,11,38,9,40,10,27,9,26,30,36,88,70,95,4,26193,1,25006,0,[]
196,5,52,27,37,39,37,11,27,17,31,17,17,19,16,40,36,88,68,87,16,26291,1,25061,0,[]
197,5,52,35,39,44,36,11,31,21,29,16,9,30,16,47,34,83,79,76,25,26372,1,25112,0,[]
198,5,52,36,38,46,46,15,20,22,22,26,8,41,17,58,34,77,88,67,36,26465,1,25286,0,[]
199,2,96,40,29,50,50,18,15,31,17,28,10,40,15,57,46,77,90,66,50,26763,1,25409,0,[]
200,16,95,41,17,43,44,21,14,43,20,30,9,44,10,54,48,77,90,63,62,26944,1,25635,0,[]
201,29,95,34,12,41,33,24,13,35,12,29,7,33,6,53,48,74,91,55,53,27022,1,25780,0,[]
202,43,94,28,15,34,22,26,13,25,12,27,9,30,9,49,42,73,90,49,41,27117,1,25901,0,[]
203,57,93,27,16,26,23,20,11,20,14,27,8,32,7,49,49,74,90,44,35,27168,1,26599,0,[]
204,68,92,25,28,28,34,23,11,21,13,33,6,35,6,48,52,75,88,43,35,27394,1,26729,1,['16:57 TES 击破了防御塔']
205,65,92,30,38,32,46,21,13,23,13,27,10,29,9,44,47,73,89,42,32,27494,1,26843,1,[]
206,58,92,24,50,39,55,19,11,21,14,27,8,28,9,41,35,77,85,32,21,27613,1,26919,1,[]
207,58,91,22,54,40,57,16,21,21,22,27,9,36,15,49,35,78,80,29,20,27798,1,27135,1,[]
208,55,92,22,54,40,57,15,19,18,20,30,8,34,17,51,35,95,4,30,20,27952,1,27249,1,[]
209,58,91,21,52,10,92,14,18,13,19,30,8,34,17,48,41,92,6,28,24,28017,1,27300,1,[]
210,64,83,23,39,18,82,20,12,19,13,92,4,93,8,50,50,83,11,29,21,28142,1,27419,1,[]
211,71,78,25,26,27,73,17,13,18,13,80,5,87,17,49,50,74,20,95,4,28306,1,27587,1,[]
212,81,82,26,22,35,61,22,11,23,13,67,6,77,25,57,56,67,31,88,15,28545,1,27633,1,[]
213,79,87,28,19,40,55,25,10,26,8,55,7,80,37,68,62,70,40,77,25,29361,2,27684,1,['17:45 VGSouthwind(幻翎) 击破了防御塔']
214,74,88,23,30,50,54,15,10,16,9,43,7,79,50,79,69,69,40,68,36,29412,2,27768,1,[]
215,72,88,15,42,51,46,15,10,16,9,44,7,83,58,88,70,63,40,66,50,29477,2,28076,1,[]
216,2,96,15,43,50,46,8,93,5,94,43,7,78,56,89,72,57,44,65,56,29739,2,28349,1,[]
217,4,85,16,45,49,59,19,85,20,83,43,6,71,63,85,82,56,42,63,53,29791,2,28484,1,[]
218,6,71,16,45,57,68,31,80,28,74,32,7,62,61,84,83,58,49,57,56,29842,2,28628,1,[]
219,6,58,13,92,65,73,43,74,37,65,21,12,64,58,86,83,56,54,61,57,29893,2,28743,1,[]
220,7,45,24,86,66,83,44,70,43,59,27,14,60,58,86,83,60,56,67,65,30044,2,28795,1,[]
221,7,31,34,78,60,90,43,69,52,61,35,23,50,50,95,4,50,50,58,56,30409,2,28963,1,[]
222,11,23,40,67,64,89,41,60,53,65,40,30,51,52,88,14,48,49,54,56,30482,2,29149,1,[]
223,15,15,50,65,72,86,43,54,50,66,47,39,58,62,71,13,56,56,57,60,30749,2,29231,1,[]
224,16,15,51,66,68,81,44,56,48,55,56,48,58,58,59,11,59,58,56,56,30932,2,29282,1,[]
225,18,12,52,60,59,73,49,59,53,56,55,51,57,59,42,11,59,56,60,58,31065,2,29363,1,[]
226,23,12,53,56,54,62,47,53,50,54,57,50,59,57,30,11,60,56,61,57,31120,2,29523,1,[]
227,13,21,57,56,57,62,51,50,57,57,62,50,65,56,27,10,65,52,65,53,31307,2,29724,1,[]
228,8,17,58,60,57,63,53,55,57,56,55,46,65,53,23,14,65,41,64,53,31418,2,29876,1,[]
229,10,18,63,62,58,59,58,60,56,55,59,47,66,54,15,19,56,44,64,53,31499,2,29941,1,[]
230,6,22,58,66,57,59,55,57,56,57,66,55,65,57,8,19,62,50,62,53,31580,2,30065,1,[]
231,11,21,58,60,55,57,54,54,55,57,62,52,66,56,14,18,59,45,64,52,31667,2,30120,1,[]
232,7,30,57,55,57,55,55,53,54,57,55,46,65,52,20,26,59,44,61,49,31780,2,30186,1,[]
233,8,30,57,55,55,53,48,54,47,54,49,47,61,52,29,37,52,49,55,47,31871,2,30259,1,[]
234,9,25,51,54,49,53,48,53,55,51,50,50,55,50,38,43,56,47,56,49,32027,2,30343,1,[]
235,44,56,42,56,44,55,44,55,41,59,52,52,50,54,44,51,53,52,52,54,32078,2,30575,1,[]
236,45,55,37,59,46,54,42,54,44,54,53,48,52,49,49,49,56,55,56,55,32138,2,30632,1,[]
237,52,52,37,59,52,53,47,52,54,54,62,42,63,53,65,56,64,62,64,57,32195,2,30692,1,[]
238,60,63,7,95,61,58,56,61,61,63,62,42,67,66,68,67,70,66,69,61,32246,2,30744,1,[]
239,64,62,14,92,63,60,60,63,66,62,95,4,68,69,65,71,70,67,70,67,32297,2,30910,1,[]
240,55,56,25,85,52,53,53,55,59,57,73,70,66,65,64,67,66,59,65,60,32453,2,30981,1,['19:59 TES 击杀了火龙']
241,50,50,38,75,52,47,51,47,51,50,83,78,65,53,62,52,66,46,66,47,32509,2,31259,1,[]
242,55,46,48,66,56,46,54,44,55,48,83,80,60,42,65,50,59,41,61,43,32560,2,31409,1,[]
243,50,49,57,58,51,48,49,49,53,49,78,72,60,37,73,52,59,37,61,39,32611,2,31491,1,[]
244,46,56,57,63,42,45,52,46,53,47,77,70,53,34,75,54,52,26,61,39,32739,2,31572,1,[]
245,35,49,57,74,42,45,51,47,50,48,75,65,53,34,76,56,54,29,93,7,32818,2,31905,1,[]
246,22,50,55,83,11,94,52,46,53,46,77,54,59,38,75,68,59,35,85,12,33088,2,31981,1,[]
