,LGDLies, ,LGDCondi, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,SNBiubiu, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
150,6,46,53,77,44,52,76,88,75,87,79,75,69,63,52,54,89,81,79,75,19190,0,19786,1,[]
151,8,38,56,83,42,55,77,88,73,86,89,4,71,67,52,50,86,85,79,75,19323,0,20018,1,[]
152,10,32,57,83,44,55,76,87,77,90,75,5,77,60,53,50,84,83,83,84,19447,0,20194,1,[]
153,7,26,59,83,46,53,76,87,80,88,62,5,82,56,56,54,83,78,79,75,19750,0,20331,1,[]
154,9,28,66,82,51,62,79,88,82,88,49,5,79,52,61,59,90,82,79,75,19891,0,20382,1,[]
155,15,34,70,79,50,66,75,87,72,84,36,7,72,43,56,60,86,78,93,8,19943,0,20448,1,[]
156,15,34,73,75,52,60,70,79,75,76,24,11,71,41,51,52,87,75,87,21,20030,0,20692,1,[]
157,22,38,67,65,52,56,75,75,73,68,22,12,63,37,53,50,86,74,81,32,20154,0,20806,1,[]
158,33,39,58,59,50,52,78,81,64,61,19,13,52,30,53,46,86,76,80,47,20254,0,21003,1,[]
159,29,45,56,58,50,52,79,84,58,58,18,13,46,25,54,47,86,80,77,60,20441,0,21110,1,[]
160,27,52,54,58,52,53,80,84,57,68,16,14,47,24,54,45,87,80,87,67,20574,0,21479,1,[]
161,15,48,57,56,50,52,79,84,65,77,13,20,45,16,54,47,85,80,87,79,20627,0,21790,1,[]
162,6,44,57,55,50,49,79,86,73,86,10,29,44,16,53,47,87,80,88,83,20798,0,22016,1,[]
163,7,33,65,56,53,55,81,84,84,85,9,26,44,16,55,46,87,81,90,82,20911,0,22184,1,[]
164,8,32,68,50,65,57,82,81,85,83,14,22,44,15,56,45,88,77,89,78,21190,0,22270,1,[]
165,6,35,75,60,67,57,84,78,80,75,23,30,95,4,69,40,90,73,89,70,21305,0,22432,1,[]
166,6,38,74,60,69,61,79,74,78,73,31,38,94,11,66,39,88,76,88,73,21385,0,22517,1,[]
167,6,39,74,64,65,62,76,75,75,67,36,38,92,31,55,42,85,65,83,68,21451,0,22568,1,[]
168,6,40,72,71,58,61,77,77,79,76,25,32,90,45,47,47,87,71,81,56,21562,0,22646,1,[]
169,2,96,77,73,48,56,82,81,85,81,18,23,80,52,49,49,88,74,75,57,21691,0,22769,1,[]
170,4,92,80,75,47,53,85,83,88,78,13,18,75,59,59,50,87,73,66,61,21904,0,22904,1,[]
171,6,82,79,73,54,55,89,81,87,81,17,18,74,57,69,56,89,74,79,65,21957,0,23036,1,[]
172,7,70,76,68,60,56,86,79,79,74,25,29,75,58,66,56,89,72,83,66,22008,0,23214,1,[]
173,9,57,75,58,66,55,76,73,75,65,35,37,77,60,68,51,84,64,80,66,22069,0,23265,1,[]
174,8,48,76,58,64,57,73,68,77,60,45,46,86,65,66,41,87,69,90,67,22167,0,23379,1,[]
175,7,39,77,65,54,57,65,63,72,66,48,50,87,66,59,49,85,78,90,81,22282,0,23450,1,[]
176,9,29,76,73,45,55,69,68,71,67,49,50,85,66,55,53,84,83,87,85,22448,0,23659,1,[]
177,8,26,74,76,45,52,71,78,71,77,55,55,86,75,64,58,84,84,87,85,22563,0,23830,1,[]
178,9,26,70,80,39,55,72,89,74,87,50,43,83,78,60,51,80,78,87,85,22887,0,23911,1,[]
179,18,21,70,80,46,53,72,87,74,87,42,33,77,69,52,45,80,77,89,82,23133,0,23962,1,[]
180,23,12,4,95,47,52,69,88,69,80,35,24,75,59,51,46,83,82,87,84,23248,0,24063,1,[]
181,25,10,16,88,49,51,69,88,69,80,28,17,76,47,53,46,80,87,87,85,23357,0,24300,1,[]
182,23,11,27,82,39,58,6,96,5,95,29,10,62,36,54,45,85,86,87,85,23471,0,24364,1,[]
183,26,10,36,75,38,59,15,95,17,91,30,7,53,32,56,43,87,84,93,8,23522,0,24466,1,[]
184,19,16,45,66,3,96,28,94,30,90,28,9,54,32,95,4,95,4,84,18,23593,0,24669,1,[]
185,22,26,47,65,12,91,41,93,44,89,25,10,65,38,90,13,94,16,73,29,23685,0,24747,1,[]
186,17,22,48,65,21,82,54,92,56,88,29,19,65,51,80,23,93,28,66,41,23799,0,24847,1,[]
187,16,16,57,71,30,73,66,89,69,88,32,17,63,59,69,32,91,41,66,53,23914,0,24898,1,[]
188,14,15,56,83,37,63,78,85,81,84,26,15,62,62,61,42,90,53,66,67,24237,0,24948,1,[]
189,17,15,59,83,47,55,84,85,80,81,26,10,69,63,50,48,88,66,64,64,24540,0,25060,1,[]
190,25,10,58,83,46,52,87,83,70,77,29,8,65,57,52,51,88,76,58,63,24780,0,25284,1,[]
191,26,10,68,82,44,54,84,87,61,73,30,8,70,63,52,49,86,75,70,65,24927,0,25489,1,[]
192,24,10,61,74,48,50,75,87,58,67,28,8,67,63,53,47,86,77,77,71,25019,0,25578,1,[]
193,21,11,59,63,52,56,66,78,60,60,28,9,73,64,52,47,88,84,84,83,25107,0,25754,1,[]
194,17,15,64,60,56,56,62,69,63,59,21,9,74,59,60,48,85,83,82,83,25264,0,25928,1,[]
195,18,15,65,61,63,61,64,63,65,57,21,10,77,62,59,48,79,82,78,77,25349,0,25980,1,[]
196,23,12,67,67,65,65,63,64,68,61,25,10,72,69,67,51,74,73,73,70,25401,0,26172,1,[]
197,25,15,74,71,71,68,70,69,73,68,35,7,74,71,76,50,75,72,77,69,25458,0,26713,1,['16:21 SN »÷É±ÁË»ðÁú']
198,27,17,73,67,75,63,69,65,71,65,76,71,75,63,75,60,74,68,73,65,25509,0,27258,1,['16:28 SNSmlz(ÄæÓð) »÷É±ÁË LGDCondi(µÂÂêÎ÷ÑÇ»Ê×Ó)']
199,60,62,73,67,77,62,59,63,71,64,66,65,78,56,70,63,71,64,68,62,25559,0,27799,1,"['16:32 SNWeiwei(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË LGDYuuki(½âÍÑÕß)', '16:35 SNMaple(ÌìÆôÕß) »÷É±ÁË LGDRD(ÕýÒå¾ÞÏñ)']"
200,49,66,73,67,77,62,46,67,71,64,53,65,82,56,61,63,78,75,55,64,25611,0,27936,1,[]
201,42,67,73,67,77,62,39,63,71,64,48,53,79,52,53,63,82,85,49,68,25664,0,28283,1,[]
202,36,61,73,67,77,62,38,59,71,64,46,57,72,42,40,66,76,86,43,68,25716,0,28363,1,[]
203,28,65,73,67,77,62,27,59,71,64,45,56,71,41,39,63,72,89,39,65,25782,0,28610,1,[]
204,27,66,6,90,77,62,21,53,7,88,40,57,55,36,41,59,72,91,37,59,25849,0,28682,1,[]
205,2,96,12,79,77,62,16,42,17,78,40,55,40,39,44,57,73,91,38,58,25901,0,28816,1,[]
206,5,95,17,68,6,93,11,31,27,70,40,55,31,38,44,56,73,91,39,58,25995,0,29996,2,['17:10 SNSwordArt(Éîº£Ì©Ì¹) »÷ÆÆÁË·ÀÓùËþ']
207,12,92,25,56,17,86,8,24,36,63,44,49,29,33,49,51,69,84,42,57,26082,0,30047,3,['17:13 SNSmlz(ÄæÓð) »÷ÆÆÁË·ÀÓùËþ']
208,24,93,22,54,26,75,10,23,34,60,50,61,29,33,51,63,58,85,55,66,26292,0,30098,3,[]
209,36,92,30,49,34,66,11,19,35,63,44,68,95,4,43,69,53,91,52,77,26356,0,30233,3,[]
210,45,91,33,43,38,66,20,12,40,67,40,66,87,7,43,68,53,87,40,76,26456,0,30383,3,[]
211,43,89,24,47,37,58,16,13,36,66,45,66,73,14,49,66,50,77,45,71,26568,0,30538,3,[]
