,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
85,19,12,13,17,46,53,71,85,28,37,30,11,41,33,51,48,88,75,87,73,0,0,0,0,[]
86,21,12,10,12,48,51,73,87,26,25,36,11,40,25,53,49,83,81,82,79,0,0,0,0,[]
87,22,12,10,12,45,53,71,88,23,21,37,15,40,16,49,46,84,82,81,83,0,0,0,0,[]
88,24,12,15,19,44,53,70,91,23,21,37,15,38,14,47,37,82,82,81,88,0,0,0,0,[]
89,25,6,21,30,44,54,68,93,9,96,27,10,36,14,49,34,77,87,72,85,0,0,0,0,[]
90,17,16,23,37,44,53,68,93,20,95,23,11,39,15,59,36,72,89,72,89,0,0,0,0,[]
91,26,22,21,50,42,54,68,91,31,94,27,10,46,15,54,47,74,88,74,92,0,0,0,0,[]
92,21,20,24,56,43,55,70,90,42,93,26,8,50,23,52,50,76,89,74,93,0,0,0,0,[]
93,17,14,24,56,43,53,72,90,52,92,24,8,52,32,58,49,78,87,78,87,0,0,0,0,[]
94,17,11,4,95,41,54,72,92,63,91,25,9,58,34,58,49,77,86,77,86,0,0,0,0,[]
95,17,13,14,89,44,53,70,90,72,93,24,8,65,40,93,9,76,88,78,81,0,0,0,0,[]
96,16,14,24,83,45,53,71,88,71,86,22,10,71,48,84,19,79,81,77,74,0,0,0,0,[]
97,15,16,36,77,46,51,67,79,68,80,17,8,77,52,74,27,82,80,72,66,0,0,0,0,[]
98,12,19,47,78,44,53,68,79,71,82,11,12,76,58,67,37,84,79,76,72,0,0,0,0,[]
99,12,19,49,78,44,53,76,87,79,89,16,16,73,63,57,44,85,78,79,77,0,0,0,0,[]
100,11,18,54,76,4,93,82,87,82,88,15,15,74,61,53,47,84,80,84,80,0,0,0,0,[]
101,9,19,55,76,4,91,79,87,81,87,14,17,77,68,54,46,84,80,84,80,0,0,0,0,[]
102,8,23,44,70,13,81,81,86,84,88,11,20,79,75,53,50,84,79,84,79,0,0,0,0,[]
103,7,25,34,61,29,66,80,85,84,89,11,22,79,73,51,49,84,80,89,81,0,0,0,0,[]
104,7,25,26,59,41,57,81,86,80,87,12,21,79,75,51,50,84,81,87,84,0,0,0,0,[]
105,8,23,21,54,45,54,82,87,81,87,11,13,79,75,52,52,84,81,88,84,0,0,0,0,[]
106,10,25,18,46,42,54,84,86,82,87,11,13,79,75,61,59,84,80,86,85,0,0,0,0,[]
107,9,25,18,44,41,51,75,91,75,88,91,7,81,83,59,71,80,88,80,88,0,0,0,0,[]
108,9,26,20,44,47,50,68,91,70,89,83,15,77,88,59,69,80,89,78,90,0,0,0,0,[]
109,10,27,28,39,47,50,60,85,60,85,73,21,79,76,55,58,84,85,82,85,0,0,0,0,[]
110,10,26,37,37,42,41,63,88,63,85,67,32,70,68,51,50,84,84,81,88,0,0,0,0,[]
111,8,25,41,35,41,33,70,90,72,89,67,43,69,63,54,52,81,84,79,83,0,0,0,0,[]
112,10,26,34,37,47,45,68,91,69,90,63,36,70,66,63,61,79,84,75,78,0,0,0,0,[]
113,8,25,29,37,45,52,73,93,69,91,60,34,69,66,66,65,75,87,70,79,0,0,0,0,[]
114,8,26,24,42,48,47,67,92,68,91,54,30,68,67,65,65,75,89,73,74,0,0,0,0,[]
115,9,25,22,45,45,44,70,89,71,90,49,19,69,66,57,56,78,88,76,76,0,0,0,0,[]
116,8,26,19,51,44,43,72,91,72,90,38,15,74,59,57,45,80,87,80,84,0,0,0,0,[]
117,9,25,20,51,2,96,71,91,71,89,35,12,79,54,56,46,79,89,78,85,0,0,0,0,[]
118,9,25,4,96,4,93,68,92,68,90,47,16,80,54,55,52,75,87,75,87,0,0,0,0,[]
119,9,25,17,95,42,57,68,93,67,89,45,23,76,46,51,52,74,90,74,90,0,0,0,0,[]
120,8,25,31,95,44,53,69,91,71,91,45,23,77,46,51,53,77,88,81,87,0,0,0,0,[]
121,10,22,44,92,45,54,71,86,70,84,44,23,75,43,51,51,83,84,82,86,0,0,0,0,[]
122,9,21,54,86,45,53,79,87,79,88,49,22,75,43,51,50,86,82,87,85,0,0,0,0,[]
123,10,20,60,84,46,53,81,88,82,90,49,20,92,5,56,50,87,83,86,82,0,0,0,0,[]
124,10,20,57,83,47,51,80,87,80,86,42,16,81,7,54,51,86,84,83,81,0,0,0,0,[]
125,12,18,64,82,47,53,82,81,82,80,36,13,69,7,52,49,86,80,83,80,0,0,0,0,[]
126,13,17,87,76,45,54,84,80,85,80,26,12,57,9,50,51,90,72,86,75,0,0,0,0,[]
127,12,21,86,82,46,52,85,83,79,76,18,14,46,12,50,48,88,74,86,75,0,0,0,0,[]
128,10,19,78,76,45,54,84,80,77,71,14,18,46,16,47,49,87,68,86,75,0,0,0,0,[]
129,6,25,75,66,47,53,85,78,76,61,9,20,45,15,53,49,93,63,95,4,0,0,0,0,[]
130,5,28,66,64,56,58,89,73,73,63,20,13,47,17,61,43,94,53,93,11,0,0,0,0,[]
