,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
37,8,28,66,47,51,49,89,77,91,76,10,22,83,60,55,46,92,69,89,70,0,0,0,0,[]
38,8,27,66,47,51,47,90,78,87,77,11,21,83,61,57,43,91,72,92,71,0,0,0,0,[]
39,9,24,66,44,52,43,89,79,87,77,12,22,81,65,59,41,90,70,92,72,0,0,0,0,[]
40,7,27,64,41,58,41,87,77,89,79,10,23,73,63,62,41,90,69,93,71,0,0,0,0,"['3:18 RNGXiaohu(½âÍÑÕß) »÷É±ÁË FPXDoinb(»ÄÄ®ÍÀ·ò),»ñµÃÒ»Ñª']"
41,7,31,59,47,54,45,89,76,90,77,10,26,68,64,62,41,91,68,89,69,0,0,0,0,[]
42,7,30,66,55,57,55,88,74,81,77,11,25,60,60,95,4,91,69,82,66,0,0,0,0,[]
43,7,28,67,59,56,58,80,76,73,70,10,24,66,60,59,57,85,65,74,61,0,0,0,0,[]
44,9,24,66,61,66,57,72,69,69,66,9,22,66,57,66,61,77,62,68,61,0,0,0,0,['3:39 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGKarsa(Ö©ÖëÅ®»Ê)']
45,9,22,66,61,59,56,63,60,69,66,14,19,61,57,60,57,73,63,61,58,0,0,0,0,[]
46,9,24,4,95,56,49,60,62,64,64,15,19,60,56,60,62,63,60,58,60,0,0,0,0,['3:46 RNGXiaohu(½âÍÑÕß) »÷É±ÁË FPXTian(¾ÆÍ°)']
47,9,23,9,85,46,45,60,72,73,71,13,19,60,56,56,54,60,73,56,65,0,0,0,0,['3:53 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGUzi(Ê¥Ç¹ÓÎÏÀ)']
48,10,23,19,76,34,43,60,72,78,81,13,18,89,6,50,48,69,79,62,75,0,0,0,0,[]
49,9,24,26,69,34,43,8,96,76,90,13,21,78,12,49,49,77,86,70,83,0,0,0,0,[]
50,9,20,32,59,3,96,19,95,70,90,15,20,67,19,47,51,83,85,71,78,0,0,0,0,[]
51,10,21,32,46,38,58,30,93,62,84,16,21,58,27,48,48,85,84,79,83,0,0,0,0,[]
52,11,21,29,38,47,53,41,92,64,82,14,19,49,34,49,43,84,84,79,84,0,0,0,0,[]
53,9,23,26,35,42,55,52,92,2,96,14,21,49,35,49,43,87,85,77,85,0,0,0,0,[]
54,11,20,22,42,44,54,63,92,5,95,15,18,49,34,88,7,87,85,78,83,0,0,0,0,[]
55,11,21,17,43,43,53,70,89,13,95,14,16,41,31,78,16,94,7,95,4,0,0,0,0,[]
56,11,19,17,44,43,54,71,90,25,94,16,17,42,18,71,24,92,18,89,6,0,0,0,0,[]
57,11,19,17,44,43,54,73,88,36,93,13,17,40,16,63,33,91,29,83,11,0,0,0,0,[]
58,12,21,21,52,43,55,74,88,47,91,14,17,39,16,56,41,91,40,76,20,0,0,0,0,[]
59,9,21,25,56,45,53,74,88,60,89,14,19,41,16,49,49,90,53,67,31,0,0,0,0,[]
60,8,23,25,56,45,53,75,88,71,88,14,19,49,21,51,48,89,64,67,42,0,0,0,0,[]
61,8,24,26,59,47,51,76,87,77,88,12,22,55,31,52,48,86,75,66,54,0,0,0,0,[]
62,5,30,30,59,48,52,77,87,81,90,13,22,65,39,51,48,86,80,71,62,0,0,0,0,[]
63,5,30,28,60,47,51,77,87,81,90,10,23,73,43,53,48,85,80,80,66,0,0,0,0,[]
64,2,96,32,60,48,51,77,87,80,90,11,22,75,44,53,46,84,82,87,71,0,0,0,0,[]
65,2,96,42,68,49,50,79,87,79,84,18,16,77,49,55,45,86,81,89,81,0,0,0,0,[]
66,8,20,47,73,49,49,80,85,80,83,24,14,74,60,52,46,87,79,90,81,0,0,0,0,[]
67,8,23,55,68,54,47,82,79,79,76,24,14,74,61,56,46,89,78,90,81,0,0,0,0,[]
68,9,25,63,61,54,47,86,83,83,80,94,4,76,58,58,42,89,78,89,76,0,0,0,0,[]
69,8,24,68,63,64,51,85,84,83,79,17,22,83,59,58,44,90,78,89,76,0,0,0,0,[]
70,9,23,75,62,73,49,83,81,88,77,14,21,88,61,57,43,90,70,88,70,0,0,0,0,[]
71,8,25,73,75,67,54,86,82,88,76,12,23,93,59,56,41,93,70,92,67,0,0,0,0,[]
72,10,24,65,83,57,56,91,74,91,76,13,20,93,57,53,43,91,67,91,66,0,0,0,0,[]
73,9,26,58,83,53,47,88,74,91,74,9,21,88,60,57,42,93,68,89,69,0,0,0,0,[]
74,8,25,58,83,50,48,88,76,90,76,10,20,83,57,59,37,93,70,88,70,0,0,0,0,[]
75,8,25,64,88,52,50,87,77,91,77,10,19,81,54,59,37,93,71,90,69,0,0,0,0,[]
76,8,27,61,86,49,51,91,75,91,74,8,23,79,53,86,10,93,68,90,69,0,0,0,0,[]
77,7,28,57,83,51,48,88,77,88,76,11,26,77,50,78,19,93,70,89,68,0,0,0,0,[]
78,5,29,51,83,51,50,79,76,84,80,10,26,77,50,68,27,88,71,88,71,0,0,0,0,[]
79,6,27,52,77,51,48,73,67,79,72,12,21,92,4,64,35,88,69,87,69,0,0,0,0,[]
80,11,33,64,71,55,54,71,64,79,74,15,16,81,9,58,41,87,76,88,75,0,0,0,0,[]
81,25,35,74,65,62,59,77,74,80,75,13,18,78,19,57,44,88,79,87,77,0,0,0,0,[]
82,34,36,76,63,62,59,81,82,79,78,14,16,79,32,54,45,88,79,88,78,0,0,0,0,[]
83,27,37,76,63,6,94,81,81,87,83,10,23,80,44,45,50,89,75,89,75,0,0,0,0,[]
84,18,34,6,87,8,93,81,80,89,82,6,28,76,55,47,50,88,71,88,71,0,0,0,0,[]
85,10,30,12,76,16,86,81,84,87,85,5,26,75,65,45,52,88,71,87,72,0,0,0,0,[]
86,9,24,17,64,23,78,84,86,82,85,12,19,72,68,47,52,85,79,85,79,0,0,0,0,[]
87,10,20,19,52,30,69,81,83,83,87,15,20,62,62,55,57,87,81,88,83,0,0,0,0,[]
88,9,21,24,41,37,60,81,83,82,88,15,17,54,52,55,57,87,80,88,79,0,0,0,0,[]
89,13,17,31,38,41,55,80,88,79,86,15,13,52,38,88,8,85,81,87,85,0,0,0,0,[]
90,12,19,33,40,47,50,78,88,80,90,14,15,52,34,80,17,82,82,87,86,0,0,0,0,[]
91,12,15,25,48,47,50,77,89,75,88,16,12,52,31,71,26,83,84,83,89,0,0,0,0,[]
92,14,16,24,48,40,51,80,88,77,87,17,11,47,25,62,36,84,84,86,87,0,0,0,0,[]
93,13,19,24,48,30,50,80,86,79,86,20,12,45,23,56,42,86,86,87,83,0,0,0,0,[]
94,15,16,22,54,36,50,79,83,83,88,20,11,43,23,56,45,89,78,89,77,0,0,0,0,[]
95,20,13,24,58,47,51,80,82,84,87,24,9,42,18,53,47,89,75,87,68,0,0,0,0,[]
96,16,12,30,59,48,50,84,81,85,81,27,8,43,15,51,47,90,69,87,65,0,0,0,0,[]
97,12,12,39,65,45,50,87,77,80,75,29,10,43,15,49,50,87,67,82,69,0,0,0,0,[]
98,12,12,51,66,49,49,80,76,79,75,29,10,43,15,52,46,89,76,86,66,0,0,0,0,[]
99,3,90,61,62,50,49,89,81,85,78,90,4,44,16,53,46,91,72,90,70,0,0,0,0,[]
100,4,79,55,66,57,55,87,82,86,77,82,5,44,16,55,45,91,68,90,66,0,0,0,0,[]
101,5,67,51,75,54,53,86,79,86,78,70,6,91,13,56,44,91,71,90,70,0,0,0,0,[]
102,7,56,53,77,50,51,86,79,90,77,59,8,85,24,53,47,91,69,89,69,0,0,0,0,[]
103,8,44,51,75,52,50,87,79,91,78,48,9,81,36,53,45,90,71,89,70,0,0,0,0,[]
104,10,31,46,67,52,50,85,80,89,81,34,11,77,49,54,46,91,73,88,68,0,0,0,0,[]
105,13,20,47,65,52,53,85,78,91,77,23,13,76,53,57,44,91,72,87,68,0,0,0,0,[]
106,13,17,53,67,61,59,87,79,91,78,18,16,78,54,58,43,90,72,89,71,0,0,0,0,[]
107,15,15,57,76,56,54,88,77,90,78,20,13,80,54,56,45,91,70,90,69,0,0,0,0,[]
108,13,15,57,83,52,48,88,74,91,76,19,13,82,55,58,50,91,65,93,69,0,0,0,0,[]
109,17,12,61,84,52,49,89,77,91,75,19,9,80,55,54,46,92,68,88,68,0,0,0,0,[]
110,16,12,59,83,57,58,89,77,87,78,20,11,77,53,58,42,93,71,88,69,0,0,0,0,[]
111,17,13,59,84,67,63,89,78,88,79,21,9,75,44,58,46,91,69,88,69,0,0,0,0,[]
112,19,17,62,85,65,62,92,73,90,74,28,9,76,45,68,50,93,67,91,67,0,0,0,0,[]
113,27,22,62,85,58,58,90,75,88,77,29,9,76,59,74,60,93,68,90,71,0,0,0,0,[]
114,35,16,6,89,58,58,90,77,88,79,26,9,79,75,77,73,89,74,90,74,0,0,0,0,[]
115,27,22,11,78,60,60,91,74,89,75,22,13,85,77,81,76,88,76,88,73,0,0,0,0,"['9:33 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGUzi(Ê¥Ç¹ÓÎÏÀ)', '9:33 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGMing(ÌìÆôÕß)']"
116,17,18,16,68,51,51,91,74,89,75,19,14,75,72,72,69,82,82,85,82,0,0,0,0,[]
117,16,16,18,56,47,50,91,74,89,75,22,12,69,68,66,58,85,84,86,85,0,0,0,0,[]
118,15,16,22,46,43,44,3,96,2,96,19,12,70,68,60,48,86,83,87,84,0,0,0,0,[]
119,19,17,27,35,45,45,9,84,13,90,22,12,70,67,56,45,88,83,95,4,0,0,0,0,[]
120,20,13,31,31,51,48,16,75,16,79,25,10,70,67,55,48,95,4,89,6,0,0,0,0,[]
121,22,12,32,32,49,49,18,63,17,67,36,15,70,67,54,46,94,9,86,8,0,0,0,0,[]
122,23,12,31,35,49,48,19,52,18,55,38,15,71,66,51,47,90,18,73,17,0,0,0,0,['10:8 FPX »÷É±ÁË·çÁú']
123,22,11,28,33,47,45,23,40,22,45,31,22,71,66,57,43,81,26,60,26,0,0,0,0,[]
124,26,8,31,35,45,43,26,32,24,34,27,14,89,5,53,45,69,31,46,33,0,0,0,0,[]
125,23,9,30,31,38,42,24,31,25,31,28,9,76,12,45,40,56,32,41,35,0,0,0,0,[]
126,23,8,32,36,41,45,22,26,25,26,26,9,65,21,50,49,42,32,41,30,0,0,0,0,[]
127,18,12,32,39,46,54,19,16,19,17,30,6,56,31,51,49,38,21,36,25,0,0,0,0,[]
128,16,10,27,37,36,59,18,11,20,13,30,6,47,34,50,51,31,11,29,19,0,0,0,0,[]
129,16,10,18,44,36,59,17,9,15,16,36,6,38,27,50,51,29,8,33,23,0,0,0,0,[]
130,3,92,18,45,4,95,17,9,12,20,36,6,32,22,93,5,26,8,28,21,0,0,0,0,[]
131,4,89,24,56,11,91,9,95,12,20,95,8,43,18,81,12,30,11,30,21,0,0,0,0,[]
132,5,78,25,56,20,82,21,95,12,93,94,19,39,15,71,24,25,11,23,13,0,0,0,0,[]
133,6,66,33,61,29,72,32,93,24,90,92,32,39,17,61,34,21,11,20,8,0,0,0,0,[]
134,7,55,40,70,37,62,43,92,36,89,90,46,36,15,53,45,19,14,20,12,0,0,0,0,[]
135,8,44,49,81,45,53,54,91,46,82,89,59,29,12,47,50,17,16,18,19,0,0,0,0,[]
136,9,32,61,86,50,50,68,89,58,84,87,72,27,18,51,51,16,16,12,13,0,0,0,0,[]
137,8,27,70,88,52,49,78,85,69,81,88,79,23,30,53,45,11,25,8,22,0,0,0,0,[]
138,6,32,70,80,49,50,86,78,77,75,92,75,18,34,53,47,10,26,8,25,0,0,0,0,[]
139,5,46,75,67,50,48,87,79,79,74,92,62,8,43,54,45,6,40,9,34,0,0,0,0,[]
140,7,43,82,65,56,49,89,79,75,63,84,52,10,38,55,44,9,37,18,45,0,0,0,0,['11:36 FPXTian(¾ÆÍ°) »÷É±ÁË RNGLangx(ÍöÁéÕ½Éñ)']
141,10,38,84,58,66,47,88,77,83,66,79,48,14,36,57,44,11,32,31,48,0,0,0,0,[]
142,10,38,81,56,64,57,88,70,89,66,92,50,19,48,47,36,12,22,44,45,0,0,0,0,[]
143,10,38,78,55,57,67,89,68,89,67,93,53,29,50,47,49,9,26,58,50,0,0,0,0,[]
144,10,38,70,63,48,60,89,68,90,68,93,53,33,49,47,50,9,29,51,50,0,0,0,0,[]
145,10,38,57,64,44,56,89,68,87,66,94,53,32,45,55,49,9,27,46,49,0,1,0,0,"['12:4 RNG »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
146,4,88,47,65,50,51,84,65,80,65,93,53,43,38,59,37,10,27,43,44,0,1,0,0,[]
147,5,76,46,66,44,51,84,65,70,63,92,54,51,35,55,33,9,28,28,38,0,1,0,0,[]
148,6,63,39,65,51,48,3,94,67,64,93,53,47,36,54,42,9,28,14,34,0,1,0,0,[]
149,6,48,31,53,52,49,6,85,2,96,92,52,39,42,53,43,9,27,9,29,0,1,0,0,[]
150,7,36,32,48,46,47,6,69,8,86,92,53,35,43,53,46,9,28,9,27,0,1,0,0,[]
151,7,25,32,43,36,38,7,56,16,77,93,54,32,33,49,48,11,22,16,22,0,1,0,0,[]
152,7,22,28,36,28,31,8,45,17,64,93,67,43,25,54,43,14,18,19,15,0,1,0,0,[]
153,10,27,21,45,23,41,8,34,19,52,90,74,44,24,67,41,24,14,28,20,0,1,0,0,[]
154,17,33,22,46,24,47,7,28,28,50,89,73,94,4,71,40,25,15,28,20,0,1,0,0,[]
155,26,37,19,36,24,50,9,21,32,38,80,82,77,7,71,41,94,4,88,5,0,1,0,0,[]
156,32,46,11,34,37,50,17,13,32,30,73,86,63,10,65,41,84,4,72,7,0,1,0,0,[]
157,42,55,21,38,49,50,19,13,20,27,76,87,52,20,54,47,70,5,58,14,0,1,0,0,[]
158,51,63,30,38,47,50,17,12,25,23,73,87,47,25,54,46,56,7,44,23,0,1,0,0,[]
159,58,73,27,31,40,50,24,8,24,23,74,90,45,23,58,43,42,7,32,22,0,1,0,0,[]
160,63,87,25,34,40,50,21,9,20,16,71,93,39,23,56,44,29,9,25,15,0,1,0,0,[]
161,70,90,20,27,4,95,17,10,16,15,79,88,24,22,52,46,27,8,31,11,0,1,0,0,[]
162,72,90,27,23,8,93,21,20,22,22,90,81,27,22,47,52,29,18,27,19,0,1,0,0,[]
163,72,90,28,24,36,24,28,22,26,23,89,82,32,21,53,45,34,21,32,17,0,1,0,0,['13:34 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGKarsa(Ö©ÖëÅ®»Ê)']
164,28,22,28,24,36,24,24,22,28,23,82,83,29,20,27,22,34,22,33,17,0,1,0,0,['13:39 FPXDoinb(»ÄÄ®ÍÀ·ò) »÷É±ÁË RNGMing(ÌìÆôÕß)']
165,29,20,28,24,30,20,27,22,28,23,83,84,33,16,26,24,33,17,27,13,0,1,0,0,['13:44 RNGUzi(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË FPXDoinb(»ÄÄ®ÍÀ·ò)']
166,29,20,28,24,28,22,27,22,28,23,73,88,30,12,26,24,34,10,30,11,0,1,0,0,[]
167,25,28,28,24,25,29,17,18,2,96,68,92,41,16,26,24,27,10,37,17,0,1,0,0,[]
168,31,40,28,24,36,39,16,17,5,93,68,92,39,17,26,24,25,14,29,18,0,1,0,0,[]
169,37,50,10,92,48,49,17,14,5,92,71,92,39,16,26,24,24,13,27,20,0,1,0,0,[]
170,47,58,23,86,49,48,12,16,6,88,75,89,32,17,26,24,20,14,23,13,0,1,0,0,[]
171,48,68,35,78,44,37,12,20,9,76,75,90,27,19,26,24,18,14,27,11,0,1,0,0,[]
172,49,80,47,79,41,31,11,22,13,64,71,92,28,20,86,10,24,14,27,11,0,1,0,0,[]
173,56,89,52,73,47,38,10,21,18,54,80,90,28,20,77,20,28,11,91,5,0,1,0,1,['14:21 FPXGimGoon(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ']
174,63,91,52,76,52,47,7,21,22,42,87,84,91,13,67,30,34,8,81,6,0,1,0,1,[]
175,72,89,54,84,46,51,9,18,21,29,87,84,84,26,58,41,22,9,65,7,0,1,0,1,[]
176,79,86,52,85,37,49,15,16,17,19,93,6,80,41,57,45,27,9,49,9,0,1,0,1,[]
177,80,86,53,84,32,46,13,16,14,14,92,15,76,52,50,42,27,9,33,12,0,1,0,1,[]
178,81,86,51,84,25,57,11,20,12,24,91,29,77,52,50,43,23,11,26,22,0,1,0,1,[]
179,76,87,41,76,26,59,11,20,11,29,90,43,83,56,47,51,29,9,17,23,0,1,0,1,[]
180,76,87,43,68,38,58,7,29,11,32,90,57,81,54,47,50,29,9,28,23,0,1,0,1,[]
181,7,95,44,68,44,54,7,32,19,36,91,69,76,57,47,38,18,16,13,22,0,1,0,1,[]
182,11,93,53,66,43,56,7,33,18,43,89,74,73,63,51,34,11,21,13,22,0,1,0,1,[]
183,23,90,44,57,43,56,10,25,17,35,88,74,74,55,51,32,16,19,18,23,0,1,0,1,[]
184,36,89,33,47,9,92,9,24,14,33,81,77,74,55,52,32,16,16,11,14,0,1,0,1,[]
185,48,90,34,42,19,83,7,23,11,30,73,72,85,7,95,4,16,16,20,13,0,1,0,1,[]
186,61,91,28,38,28,73,7,19,8,17,76,74,72,15,83,12,89,8,28,20,0,1,0,1,[]
187,64,88,21,44,36,63,7,19,8,17,81,86,60,23,73,22,77,16,23,23,0,1,0,1,[]
188,62,85,25,37,45,54,4,91,10,23,72,89,60,35,63,32,69,27,29,22,0,1,0,1,[]
189,60,91,29,37,49,50,4,89,11,33,70,89,60,49,55,43,66,41,38,27,0,1,0,1,[]
190,60,91,21,43,41,52,6,77,15,33,72,76,67,58,51,49,66,56,48,40,0,1,0,1,[]
191,60,92,17,43,46,51,7,65,15,33,68,68,64,67,51,49,67,66,60,50,0,1,0,1,[]
192,56,90,17,43,44,52,8,52,4,92,67,69,65,68,48,51,60,58,60,50,0,1,0,1,['16:0 FPX »÷É±ÁË·çÁú']
193,48,78,4,94,46,52,10,40,10,81,77,79,58,63,52,46,53,47,95,4,0,1,0,1,[]
194,43,68,12,82,42,53,11,28,17,67,79,86,68,50,49,47,44,34,75,6,0,1,0,1,[]
195,49,79,23,72,34,47,15,16,18,53,77,80,71,41,44,53,38,19,58,9,0,1,0,1,[]
196,54,90,32,61,30,38,10,19,22,42,77,80,61,35,47,51,29,9,42,10,0,1,0,1,[]
197,58,91,32,47,38,48,10,22,18,34,94,8,48,32,47,54,29,10,30,19,0,1,0,1,[]
198,70,90,32,38,45,51,12,23,25,35,90,20,38,38,46,52,30,21,39,30,0,1,0,1,[]
199,80,86,22,43,40,55,11,28,22,38,79,27,35,39,43,53,33,22,43,44,0,1,0,1,[]
200,81,86,23,51,40,59,12,22,18,43,81,42,31,36,46,54,25,15,32,43,0,1,0,1,[]
201,80,80,22,44,39,53,10,21,11,33,87,54,22,26,44,51,18,16,23,31,0,1,0,1,[]
202,73,70,20,44,34,49,8,25,12,34,89,67,22,31,35,42,17,22,23,30,0,1,0,1,[]
203,64,62,22,43,22,50,9,24,17,37,91,71,22,33,30,45,22,32,24,38,0,1,0,1,[]
204,46,46,22,40,25,35,15,21,21,37,84,78,26,33,40,42,20,23,30,32,0,1,0,1,[]
205,39,40,33,38,34,36,21,27,32,36,74,87,40,36,40,41,33,23,36,28,0,1,0,1,[]
206,41,38,34,37,39,37,28,34,31,34,78,85,40,28,48,40,45,23,42,23,0,1,0,1,[]
207,34,42,32,41,32,44,20,27,21,28,67,88,46,39,55,45,44,15,45,23,0,1,0,1,[]
208,34,42,21,39,27,50,15,18,16,20,54,89,45,44,45,51,45,11,94,3,0,1,0,1,[]
209,4,96,21,44,27,50,16,15,14,14,53,90,41,46,46,53,44,11,93,4,0,1,0,1,[]
210,17,95,12,34,7,93,23,9,21,12,47,89,41,46,45,52,43,11,78,5,0,1,0,1,[]
211,30,94,8,21,18,84,21,10,16,12,47,90,43,48,39,55,30,9,62,8,0,1,0,1,[]
212,43,92,14,11,26,74,24,8,19,14,49,89,45,50,39,55,30,7,50,17,0,1,0,1,[]
213,50,89,17,9,34,64,24,8,25,11,51,83,51,63,39,58,30,7,36,16,0,1,0,1,[]
214,54,91,17,9,39,58,18,11,20,13,47,70,50,65,40,57,30,10,33,11,0,1,0,1,[]
215,54,89,17,9,38,59,12,23,13,22,55,66,57,64,45,55,28,9,24,8,0,1,0,2,['17:52 FPXDoinb(»ÄÄ®ÍÀ·ò) »÷ÆÆÁË·ÀÓùËþ']
216,54,86,8,85,38,58,10,25,11,30,64,77,55,50,46,55,20,9,19,11,0,1,0,2,[]
217,55,83,15,72,43,53,13,19,14,20,73,87,53,36,57,56,20,9,20,11,0,1,0,2,[]
218,56,84,18,59,37,48,15,17,15,19,74,87,49,34,57,56,22,11,17,9,0,1,0,2,[]
219,53,86,23,47,25,47,20,28,12,23,77,77,38,27,87,8,21,12,29,17,0,1,0,2,[]
220,52,87,20,49,24,45,11,22,12,23,70,66,27,21,76,16,22,14,24,24,0,1,0,2,[]
221,52,89,23,56,27,52,6,19,7,89,69,64,27,21,67,28,33,21,22,23,0,1,0,2,[]
222,63,89,20,49,35,59,6,20,12,77,76,75,28,21,57,41,41,23,29,22,0,1,0,2,[]
223,72,86,15,42,40,61,7,19,17,64,77,87,28,21,52,49,48,19,29,22,0,1,0,2,[]
224,73,89,16,34,42,67,11,17,19,51,78,90,82,8,48,50,44,15,93,4,0,1,0,2,[]
225,74,89,19,33,42,57,14,15,24,40,79,90,68,8,52,53,32,12,83,5,0,1,0,2,[]
226,70,89,29,38,41,56,9,17,32,42,78,81,57,15,56,66,19,11,66,7,0,1,0,2,[]
227,68,91,35,39,38,51,9,18,34,43,78,81,56,30,51,64,16,11,49,8,0,1,0,2,[]
228,70,89,39,37,32,41,7,19,37,38,74,88,46,35,48,52,17,10,36,15,0,1,0,2,[]
229,74,87,32,43,21,38,2,96,33,48,78,86,42,32,48,52,14,15,26,24,0,1,0,2,[]
230,75,88,34,42,11,30,7,88,34,47,78,84,46,40,51,62,15,16,22,23,0,1,0,2,[]
231,66,90,34,42,9,27,17,79,33,43,71,85,39,29,58,74,19,14,24,24,0,1,0,2,[]
232,57,92,34,42,13,35,26,71,33,43,61,88,50,34,60,86,19,14,38,26,0,1,0,2,[]
233,57,92,34,42,20,44,35,65,33,43,64,91,67,39,60,86,93,6,46,38,0,1,0,2,[]
234,52,93,34,42,23,42,40,65,37,50,60,92,72,41,57,82,80,14,48,35,0,1,0,2,[]
235,54,90,34,42,23,30,40,59,38,58,61,91,70,41,52,76,71,26,95,4,0,1,0,2,[]
236,54,91,34,42,17,19,43,52,41,53,71,86,66,54,53,76,62,37,81,13,0,1,0,2,[]
237,56,92,42,45,17,15,34,47,35,47,71,86,56,57,54,76,52,49,70,25,0,1,0,2,[]
238,55,92,46,43,23,28,39,38,37,43,90,4,60,62,56,68,55,50,60,39,0,1,0,2,[]
239,56,92,45,42,27,20,39,38,42,44,75,6,48,53,56,68,49,53,50,51,0,1,0,2,[]
240,65,92,41,42,28,21,34,43,38,43,60,7,45,51,94,4,48,51,46,52,0,1,0,2,[]
241,66,90,31,42,24,27,30,49,30,48,47,8,32,43,95,4,33,44,37,43,0,1,0,2,[]
242,35,40,31,39,31,36,30,43,32,52,38,10,31,36,30,35,36,38,36,39,0,1,0,2,['20:8 FPXLwx(Ðé¿ÕÖ®Å®) »÷É±ÁË RNGKarsa(Ö©ÖëÅ®»Ê)']
