,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
107,15,16,24,44,29,45,51,92,52,90,20,13,71,52,59,50,86,77,72,31,0,0,0,0,[]
108,12,21,28,38,34,48,61,91,63,89,21,12,95,4,52,50,85,78,67,44,0,0,0,0,[]
109,12,23,34,38,44,53,72,89,74,87,24,12,88,5,53,50,85,78,65,53,0,0,0,0,[]
110,2,96,32,42,44,54,81,85,81,82,22,11,76,14,57,48,88,78,63,62,0,0,0,0,[]
111,3,94,27,51,42,54,85,85,84,83,20,11,66,20,58,41,87,76,73,69,0,0,0,0,[]
112,12,81,26,59,41,54,82,84,82,83,21,11,56,31,55,32,87,77,80,75,0,0,0,0,[]
113,31,65,30,60,3,96,81,83,83,84,19,12,53,33,59,36,87,77,86,78,0,0,0,0,[]
114,23,56,37,64,17,86,83,83,83,84,19,19,53,33,54,47,87,78,87,77,0,0,0,0,[]
115,16,42,45,67,25,78,83,83,81,82,18,24,59,40,52,49,89,77,89,77,0,0,0,0,[]
116,10,28,47,66,32,68,83,84,78,83,13,21,61,50,54,48,88,77,89,78,0,0,0,0,[]
117,10,23,52,67,40,57,83,83,79,80,17,19,67,60,55,47,88,78,88,78,0,0,0,0,[]
118,9,23,61,73,46,56,81,82,77,79,13,22,75,66,95,4,88,79,88,79,0,0,0,0,[]
119,16,18,69,79,48,56,81,82,79,76,20,15,77,60,89,15,88,77,88,77,0,0,0,0,[]
120,11,20,74,72,46,52,83,78,81,76,29,9,79,64,80,23,90,73,86,65,0,0,0,0,[]
121,14,18,75,61,47,52,83,79,78,72,33,6,82,66,71,31,90,75,79,67,0,0,0,0,[]
122,17,13,75,59,52,54,86,80,78,70,33,6,83,64,62,39,90,74,80,66,0,0,0,0,[]
123,14,16,69,67,59,58,87,83,80,74,84,5,83,65,57,42,91,76,84,66,0,0,0,0,[]
124,19,12,66,69,65,64,86,82,85,80,71,7,78,63,63,41,91,76,88,74,0,0,0,0,[]
125,25,9,65,72,62,71,81,78,76,74,58,8,70,63,68,49,88,77,87,69,0,0,0,0,[]
