,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
116,9,27,28,34,38,49,83,81,44,58,16,15,42,35,50,49,93,20,77,17,15260,0,15673,0,[]
117,10,25,29,36,32,45,83,81,38,51,15,16,40,36,47,47,92,31,67,19,15508,0,15745,0,[]
118,12,23,33,32,34,43,78,80,33,43,15,17,40,37,37,40,92,40,59,27,15579,0,15810,0,[]
119,19,25,36,39,38,42,68,78,37,39,18,18,39,38,36,39,91,51,50,33,16170,0,15862,0,[]
120,23,36,32,35,42,45,59,72,31,38,19,26,51,31,36,39,90,61,49,39,16221,0,15913,0,['9:56 LNGDuan(Å£Í·Çõ³¤) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹)']
121,21,38,32,31,48,51,67,78,34,38,26,24,44,23,36,39,89,70,58,45,16380,0,16010,0,[]
122,30,34,32,31,50,50,74,86,34,38,24,28,32,22,36,39,88,78,56,46,16506,0,16061,0,[]
123,23,37,23,32,40,44,78,86,31,37,25,34,23,29,36,39,88,80,57,39,16552,0,16130,0,[]
124,22,37,23,31,30,38,71,84,23,36,23,37,19,32,36,39,85,79,47,40,17393,0,16194,0,[]
125,24,37,28,35,29,36,75,87,27,36,21,38,23,33,94,5,85,79,49,42,17443,0,16280,0,"['10:21 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGNing(Ã¤É®)', '10:22 LNGFlandre(ÀëÈºÖ®´Ì) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']"
126,20,27,28,35,29,39,76,88,27,36,21,38,23,33,58,42,86,79,54,51,17597,0,16383,0,[]
127,19,26,30,32,34,48,72,84,26,36,21,38,23,33,53,47,86,80,57,56,17689,0,16580,0,[]
128,11,20,30,29,44,52,73,85,26,36,21,38,23,33,53,46,85,82,59,59,17788,0,16736,0,[]
129,14,20,27,22,44,54,72,86,8,95,21,38,88,5,55,52,85,81,68,66,17923,0,16850,0,[]
130,20,15,31,18,44,53,67,89,21,94,94,4,75,6,55,62,80,85,73,75,18100,0,16901,0,[]
131,28,8,39,15,45,52,69,92,36,93,81,5,62,8,57,69,74,91,71,82,18494,0,16986,0,[]
132,29,8,38,17,45,53,69,92,50,91,70,6,49,10,56,60,73,91,71,89,18902,0,17220,0,[]
133,27,11,35,22,46,51,69,91,65,90,59,8,42,15,50,52,75,90,77,90,19016,0,17402,0,[]
134,26,11,35,22,46,52,74,89,71,87,48,9,44,15,50,51,80,86,81,88,19144,0,17560,0,[]
135,16,12,8,94,46,52,68,92,66,88,35,9,46,15,48,52,77,85,77,85,19264,0,17871,0,[]
136,11,13,15,85,46,55,71,89,70,90,27,8,55,22,52,47,79,75,78,81,19416,0,17996,0,[]
137,2,96,17,72,39,50,70,90,70,88,28,8,66,30,50,51,79,75,79,75,19468,0,18111,0,[]
138,5,85,19,59,42,52,62,87,61,86,29,15,72,43,50,52,94,7,94,7,19539,0,18250,0,[]
139,5,71,21,48,44,54,60,84,58,83,26,25,76,44,48,53,92,19,92,19,19660,0,18398,0,[]
140,7,59,21,47,43,54,61,84,62,83,18,18,77,45,52,52,91,30,91,30,19794,0,18559,0,[]
141,8,47,21,47,43,54,68,88,69,79,18,13,83,56,57,54,90,41,90,41,20086,0,18656,0,[]
142,8,35,15,43,39,58,77,86,72,83,19,15,83,56,57,54,90,53,90,53,20173,0,18872,0,[]
143,7,28,16,44,39,58,82,83,80,85,27,22,77,48,88,8,88,64,88,64,20557,0,18923,0,[]
144,8,27,20,50,6,88,78,84,75,87,34,21,68,40,77,18,87,75,89,75,20748,0,18979,0,[]
145,15,34,25,57,16,79,69,88,73,85,22,25,57,32,68,27,86,75,89,79,20830,0,19150,0,[]
146,15,35,28,59,25,71,69,88,2,96,19,26,49,26,60,36,89,78,89,79,20944,0,19259,0,[]
147,16,31,38,64,35,62,2,96,16,92,16,20,50,26,51,45,87,77,88,80,21000,0,19513,0,[]
148,19,33,45,67,44,54,2,96,29,89,16,21,52,29,51,47,84,79,82,80,21198,0,19681,0,[]
149,8,32,47,68,46,52,70,90,42,84,9,23,52,32,50,43,77,75,76,78,21420,0,19756,0,[]
150,10,33,47,73,49,50,71,87,56,75,12,22,49,33,41,40,73,66,73,66,21548,0,19884,0,[]
151,12,34,47,72,45,53,64,77,58,73,14,17,42,40,47,48,64,61,63,61,21702,0,20177,0,[]
152,9,25,48,65,43,58,62,75,57,68,15,17,39,44,47,50,64,59,62,61,21753,0,20298,0,[]
153,9,27,57,61,48,52,64,76,60,62,15,21,30,37,42,42,72,63,68,63,21834,0,20371,0,[]
154,5,32,67,62,51,52,71,83,69,64,9,27,29,33,32,39,80,66,80,66,21948,0,20452,0,[]
155,5,29,75,65,53,50,81,83,77,60,9,24,19,35,21,38,89,59,89,59,22061,0,20503,0,[]
156,6,42,73,67,53,50,87,76,77,62,10,25,7,40,22,44,93,54,93,53,22220,0,20558,0,[]
157,5,44,64,68,52,50,86,76,84,67,11,22,14,34,18,49,93,51,93,51,22409,0,20651,0,[]
158,6,40,64,69,58,45,88,76,86,75,11,26,13,36,15,48,90,52,90,52,22851,0,20745,0,[]
159,6,53,64,69,58,45,92,72,89,69,12,25,9,42,6,49,78,47,78,47,23302,0,20877,0,[]
160,8,59,65,68,54,47,91,70,92,68,9,27,7,46,7,48,69,41,69,41,23533,0,21088,0,['13:20 LNG »÷É±ÁËË®Áú']
161,8,59,76,62,51,50,91,69,92,68,9,30,6,33,10,39,58,44,59,45,23747,0,21185,0,[]
