,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,IGTheShy, ,IGNing, ,IGForge, ,IGJackeyLove, ,IGBaolan, ,blue_economics,blue_towers,red_economics,red_towers,captions
112,10,20,42,67,49,51,69,90,69,90,15,14,75,58,49,42,76,91,78,81,0,0,0,0,[]
113,14,20,31,60,49,51,72,89,72,89,17,12,68,63,51,49,79,86,71,78,0,0,0,0,[]
114,14,17,20,49,49,52,78,86,78,86,18,12,61,60,53,48,83,78,72,78,0,0,0,0,[]
115,16,15,19,34,46,53,70,83,70,83,19,16,56,57,52,49,82,84,77,79,0,0,0,0,[]
116,18,14,20,27,43,53,76,87,76,87,21,13,51,52,49,51,84,84,84,83,0,0,0,0,[]
117,18,16,23,33,45,51,78,84,78,84,22,11,56,59,55,56,84,85,85,84,0,0,0,0,[]
118,18,15,21,44,42,53,70,90,70,90,22,11,57,70,57,66,79,85,82,90,0,0,0,0,[]
119,16,13,15,44,47,50,59,94,59,94,21,12,52,76,58,69,71,89,74,91,0,0,0,0,[]
120,19,17,18,44,48,49,57,93,57,93,28,6,52,76,54,57,72,90,72,89,0,0,0,0,[]
121,24,27,23,41,45,50,63,91,63,91,25,9,54,76,52,47,75,90,74,89,0,0,0,0,[]
122,24,30,26,37,45,50,71,87,71,87,23,12,56,78,50,49,80,87,79,84,0,0,0,0,[]
123,17,21,31,32,47,49,73,88,73,88,19,13,56,81,53,47,79,85,81,84,0,0,0,0,[]
124,15,17,30,33,47,51,68,93,68,93,25,9,63,89,55,48,70,89,72,89,0,0,0,0,[]
125,10,19,30,33,51,61,66,93,66,93,28,6,68,92,57,58,69,90,71,90,0,0,0,0,[]
126,8,19,30,34,48,60,66,92,68,93,95,4,65,88,57,57,66,89,69,88,0,0,0,0,['10:26 IGNing(永猎双子) 击杀了 TESLokeN(探险家)']
127,7,18,31,32,48,52,66,92,68,94,89,5,73,90,54,48,71,90,69,89,0,0,0,0,['10:34 IGNing(永猎双子) 击杀了 TESBen(魔法猫咪)']
128,8,22,29,34,49,52,66,92,68,94,77,6,70,91,53,47,69,90,73,91,0,0,0,0,[]
129,9,23,29,34,48,49,66,92,68,94,66,7,68,91,54,48,67,90,71,84,0,0,0,0,[]
130,7,24,25,34,49,50,9,95,68,94,51,9,73,92,55,48,67,91,70,81,0,0,0,0,[]
131,11,22,28,33,45,52,16,94,15,94,43,14,80,90,55,48,64,91,71,78,0,0,0,0,[]
132,15,16,26,30,45,49,26,93,26,93,41,16,80,90,52,50,68,91,76,79,0,0,0,0,[]
133,18,12,7,95,49,52,40,93,40,93,39,16,92,4,52,47,73,89,76,79,0,0,0,1,"['11:1 IG 击破了防御塔,获得一塔']"
134,20,14,21,95,52,49,51,92,51,92,33,12,81,11,56,45,77,85,91,8,0,0,0,1,[]
135,12,13,32,93,49,52,57,93,56,88,29,9,71,18,57,43,77,85,80,12,0,0,0,1,[]
136,12,13,44,92,45,55,59,92,61,86,26,9,61,25,57,43,92,8,67,19,0,0,0,1,[]
137,4,91,53,84,52,48,63,90,62,85,29,11,52,32,94,8,84,13,56,30,0,0,0,1,[]
138,7,80,57,82,55,48,64,89,64,89,29,11,50,32,85,10,72,11,41,32,0,0,0,1,[]
139,9,68,58,83,48,52,71,88,71,89,94,6,50,40,78,19,59,11,41,38,0,0,0,1,[]
140,8,56,60,83,47,53,76,87,79,87,93,20,55,44,70,28,46,11,38,40,0,0,0,1,[]
141,15,50,70,79,3,96,78,85,79,80,92,31,55,43,61,38,33,11,30,38,0,0,0,1,[]
142,23,55,78,72,8,93,80,87,80,82,90,46,46,45,52,47,23,13,30,33,0,0,0,1,[]
143,22,55,77,71,18,85,82,81,85,79,88,57,35,43,46,53,17,15,23,41,0,0,0,1,[]
144,26,58,73,66,27,75,88,75,88,75,87,60,31,52,45,54,11,18,21,48,0,0,0,1,[]
145,32,65,65,63,31,63,89,77,80,77,89,62,32,60,38,59,12,23,27,60,0,0,0,1,[]
146,28,70,52,61,36,66,88,76,69,78,89,69,31,58,35,59,9,29,33,59,0,0,0,1,[]
147,28,70,39,55,39,61,89,75,77,78,91,68,30,55,31,52,9,32,30,58,0,0,0,1,[]
148,2,96,55,57,43,58,89,73,89,73,91,67,31,46,36,42,9,31,32,44,0,0,0,1,[]
149,3,96,65,62,48,55,88,74,91,74,92,68,41,38,47,48,9,30,47,46,0,0,0,1,[]
150,7,31,71,63,48,54,89,80,87,79,92,64,51,31,49,48,12,24,46,40,0,0,0,1,[]
151,9,21,77,56,47,54,85,79,85,77,93,53,48,24,49,47,14,18,32,34,0,0,0,1,[]
152,10,24,79,56,49,51,87,76,86,75,93,53,40,26,48,43,15,18,20,25,0,0,0,1,[]
153,9,28,78,56,47,55,90,72,88,70,92,6,29,34,37,39,11,24,11,25,0,0,0,1,[]
154,12,23,79,55,48,55,89,70,88,70,88,8,23,34,29,34,10,24,11,25,0,0,0,1,[]
155,13,23,75,44,52,50,90,72,89,72,10,29,25,37,40,41,9,27,8,27,0,0,0,1,['12:52 IGTheShy(狂暴之心) 击杀了 TES369(刀锋舞者)']
156,13,23,76,46,53,51,89,73,89,72,15,34,18,44,50,46,12,24,11,24,0,0,0,1,[]
157,13,23,74,48,55,49,87,79,84,78,15,34,16,42,52,44,11,23,12,22,0,0,0,1,[]
158,13,23,68,51,57,59,86,79,78,74,92,8,12,34,49,42,11,25,12,22,0,0,0,1,[]
159,13,23,64,59,51,66,87,79,70,67,89,24,10,32,49,42,9,32,22,31,0,0,0,1,[]
160,13,23,65,65,56,60,88,73,64,59,89,36,10,32,52,48,8,32,23,41,0,0,0,1,[]
161,3,89,68,66,50,53,91,66,66,54,90,49,16,40,53,46,8,40,23,41,0,1,0,2,"['13:21 IG 击破了防御塔', '13:25 TES 击破了防御塔']"
162,5,77,64,72,51,52,88,65,60,59,92,58,22,45,51,46,10,48,20,49,0,1,0,2,[]
163,7,65,63,71,46,54,88,65,54,57,93,52,19,50,51,47,11,51,11,50,0,1,0,2,[]
164,7,54,64,71,34,59,84,66,54,57,92,49,17,61,43,46,11,51,10,50,0,1,0,2,[]
165,7,52,64,71,27,51,72,67,3,95,92,48,7,57,32,44,6,50,10,48,0,1,0,2,[]
166,18,44,65,71,11,47,10,56,5,84,89,47,10,44,24,50,16,44,7,40,0,1,0,2,['13:50 IGNing(永猎双子) 击杀了 TES369(刀锋舞者)']
167,18,44,57,67,7,50,11,50,7,74,89,49,11,39,13,49,14,49,11,45,0,1,0,2,['13:53 TES 击杀了风龙']
168,18,44,43,58,6,53,8,55,8,62,91,50,19,35,6,48,8,46,8,45,0,1,0,2,[]
169,18,44,32,46,10,46,6,48,10,46,88,59,27,34,10,39,10,38,7,41,0,1,0,2,[]
170,18,44,24,35,8,34,7,36,8,34,87,71,20,27,15,33,11,26,5,31,0,1,0,2,['14:9 TESLokeN(探险家) 击杀了 IGBaolan(光辉女郎)']
171,18,44,28,31,11,34,11,33,13,34,88,76,21,22,19,24,17,19,5,31,0,1,0,2,[]
172,18,44,33,43,9,32,12,35,17,30,83,81,33,17,19,24,17,19,5,31,0,1,0,2,[]
173,7,96,33,44,11,27,14,36,11,27,73,88,44,14,20,14,93,5,5,31,0,1,0,2,[]
174,20,94,31,47,13,19,14,36,13,19,65,91,41,15,15,10,87,16,5,31,0,1,0,2,[]
175,33,93,31,47,16,14,3,95,19,18,60,86,37,18,23,9,78,25,5,31,0,1,0,2,[]
176,47,91,15,91,17,15,7,93,19,23,60,85,30,18,25,10,69,34,94,8,0,1,0,2,[]
177,56,85,23,81,12,21,16,81,11,26,63,81,20,25,20,13,60,43,81,9,0,1,0,2,[]
178,60,84,32,74,11,33,24,72,14,35,69,79,27,33,20,20,50,50,72,21,0,1,0,2,[]
179,54,84,43,68,18,31,35,61,16,36,73,72,35,38,21,27,43,56,62,33,0,1,0,2,[]
180,52,88,46,64,14,36,41,58,11,38,63,64,24,39,19,24,45,53,52,44,0,1,0,2,[]
181,57,90,45,66,16,45,39,60,16,45,52,65,22,43,23,35,46,56,47,57,0,1,0,2,[]
182,68,89,34,62,21,45,39,58,21,45,48,58,22,42,20,47,37,50,41,52,0,1,0,2,[]
183,79,88,23,56,18,34,32,59,19,37,46,52,18,34,20,38,31,40,43,48,0,1,0,2,['15:13 TESKnight9(猩红收割者) 击杀了 IGNing(永猎双子)']
184,80,83,16,44,16,34,24,51,14,36,36,43,18,34,16,36,21,38,31,40,0,1,0,2,"['15:16 IGForge(解脱者) 击杀了 TESKnight9(猩红收割者)', '15:20 IGForge(解脱者) 击杀了 TESBen(魔法猫咪)']"
185,88,73,21,52,16,34,29,53,14,36,34,41,18,34,20,27,27,37,29,44,0,1,0,2,[]
186,89,65,26,58,16,34,43,54,14,36,37,38,18,34,12,18,39,41,29,50,0,1,0,2,[]
187,87,64,37,60,16,34,45,54,14,36,34,38,18,34,10,26,49,47,30,49,0,1,0,2,[]
188,82,57,48,59,16,34,45,56,14,36,34,38,18,34,9,28,50,46,36,43,0,1,0,2,[]
189,78,55,47,63,16,34,43,59,14,36,93,10,18,34,9,28,45,51,48,48,0,1,0,2,[]
190,76,56,50,66,16,34,42,56,4,96,92,24,91,13,90,6,49,47,51,47,0,1,0,2,[]
191,75,60,50,74,4,88,43,58,13,88,90,39,85,24,90,6,47,52,54,55,0,1,0,2,[]
192,73,63,47,70,5,74,44,58,21,76,91,48,79,37,79,12,48,49,48,51,0,1,0,2,[]
193,76,70,43,67,6,57,43,58,30,68,89,52,76,46,72,22,47,38,47,41,0,1,0,2,[]
194,81,77,57,71,8,47,39,65,39,65,87,53,77,53,59,26,47,36,46,35,0,1,0,2,[]
195,78,73,69,78,10,35,44,69,49,66,86,51,70,50,49,32,52,43,41,39,0,1,0,2,[]
196,76,62,74,68,14,38,42,60,58,68,90,49,64,58,38,26,46,52,36,42,0,1,0,2,[]
197,83,64,81,66,17,43,47,54,51,61,91,52,66,55,26,22,51,48,50,46,0,1,0,2,[]
198,83,64,83,65,21,44,46,54,46,54,89,52,58,58,14,20,50,48,54,50,0,1,0,2,[]
199,84,66,83,64,17,34,44,52,46,49,90,61,58,57,11,24,58,50,58,49,0,1,0,2,[]
200,86,65,85,65,14,34,47,55,47,55,86,66,69,62,20,25,62,50,66,56,0,1,0,2,['16:40 TES369(刀锋舞者) 击杀了 IGTheShy(狂暴之心)']
201,87,76,79,74,8,37,49,59,52,61,86,66,77,72,29,34,67,61,74,67,0,1,0,2,[]
202,89,66,74,87,9,39,55,57,55,57,86,66,79,81,40,39,75,71,77,79,0,1,0,2,[]
203,90,58,63,92,10,34,49,52,54,54,86,66,86,75,53,42,76,59,86,75,0,1,0,2,[]
204,87,51,58,85,13,22,49,47,49,47,86,66,87,63,56,46,83,51,88,60,0,1,0,2,[]
205,88,39,58,85,22,13,52,44,52,44,86,66,86,52,59,44,87,46,87,45,0,1,0,2,[]
206,88,28,2,96,20,10,46,45,46,45,86,66,87,40,58,39,88,32,85,35,0,1,0,2,[]
