,OMGCurse, ,OMGPenguin, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
78,12,34,58,63,49,51,82,82,84,81,7,19,75,7,51,47,90,76,90,47,10347,0,9491,0,[]
79,21,38,67,64,49,53,81,81,80,76,8,19,63,9,51,48,90,76,88,59,10449,0,9588,0,[]
80,24,34,68,65,50,54,81,83,79,75,12,18,51,9,51,48,89,75,87,71,10645,0,9719,0,[]
81,18,34,64,63,49,50,80,83,81,82,11,19,42,18,51,46,86,79,85,78,10793,0,9783,0,[]
82,9,30,66,55,51,50,82,82,79,78,11,18,43,17,59,51,88,79,86,79,10939,0,9950,0,[]
83,8,29,66,54,51,54,85,84,81,77,7,19,41,15,52,48,89,76,87,76,11067,0,10042,0,[]
84,9,26,58,63,47,54,85,80,86,80,7,19,45,15,51,47,92,74,89,72,11132,0,10181,0,[]
85,8,21,47,65,47,55,88,78,89,78,8,19,48,20,49,50,92,72,87,72,11341,0,10308,0,[]
86,10,20,46,65,44,54,89,78,87,78,14,15,46,24,49,50,92,72,87,70,11506,0,10401,0,[]
87,9,21,46,70,42,54,91,77,87,77,12,15,45,23,46,49,90,71,88,72,11613,0,10715,0,[]
88,9,26,50,75,37,56,89,76,89,77,12,16,40,26,42,45,90,70,88,70,11691,0,10918,0,[]
89,9,29,51,75,38,56,88,78,86,77,11,18,44,39,44,53,88,71,89,72,11939,0,11039,0,[]
90,9,28,57,74,43,57,80,77,80,76,11,22,54,46,44,52,90,74,89,77,12025,0,11118,0,[]
91,7,28,53,63,46,53,81,82,83,83,11,25,63,52,47,49,89,82,86,79,12186,0,11168,0,[]
92,10,28,55,61,46,52,81,86,82,83,10,24,62,61,53,51,89,82,85,78,12360,0,11694,0,[]
93,9,29,58,62,47,52,82,86,79,84,10,25,59,61,57,61,87,80,79,76,12509,0,11815,0,['7:44 WExiye(½âÍÑÕß) »÷É±ÁË OMGPenguin(Ö©ÖëÅ®»Ê)']
94,8,26,58,62,45,57,84,86,83,88,16,22,54,58,52,50,85,80,85,80,12685,0,12001,0,[]
95,7,29,58,62,45,54,80,84,77,80,22,32,56,63,52,49,89,78,85,79,12770,0,12072,0,[]
96,11,33,58,62,44,52,72,77,73,76,22,38,61,74,51,51,83,80,79,78,12821,0,12179,0,[]
97,17,31,13,92,47,53,74,86,72,84,21,28,67,78,48,52,80,82,70,79,12897,0,12310,0,[]
98,10,30,24,86,44,56,81,89,71,84,17,19,65,77,54,56,82,82,75,75,12947,0,12395,0,[]
99,12,20,35,89,46,53,83,87,73,86,16,14,56,68,56,67,82,81,79,79,13068,0,12579,0,[]
100,10,23,48,91,47,54,76,90,77,89,14,18,56,56,56,67,84,86,83,87,13196,0,12716,0,[]
101,9,29,56,83,51,54,74,88,79,89,11,22,56,46,94,4,86,85,83,89,13360,0,12761,0,[]
102,10,25,56,83,50,49,80,83,85,88,14,17,52,36,85,12,89,82,86,82,13606,0,12818,0,[]
103,8,25,59,84,51,48,86,80,85,81,13,18,53,32,78,22,90,75,87,73,13833,0,12975,0,[]
104,10,22,60,83,54,52,85,86,82,83,11,18,58,34,69,33,86,78,86,77,13970,0,13040,0,[]
105,10,20,70,79,57,56,86,84,83,82,11,17,68,40,61,42,89,78,86,77,14134,0,13246,0,[]
106,10,20,71,77,68,60,82,82,83,80,12,18,73,43,57,45,89,78,89,74,14364,0,13399,0,[]
107,13,16,75,66,66,63,76,73,76,71,13,18,74,43,59,50,90,78,88,78,14415,0,13764,0,[]
108,18,19,69,68,68,64,70,68,72,68,18,20,77,49,66,53,85,79,84,78,14837,0,13828,0,[]
109,18,15,66,65,65,70,68,67,70,68,18,18,74,60,65,59,77,76,76,71,14929,0,13909,0,['9:3 OMGCurse(µ¶·æÎèÕß) »÷É±ÁË WEPoss(Ê¥´¸Ö®Òã)']
110,19,14,61,60,62,62,63,64,66,62,18,18,74,58,63,52,73,71,73,67,15094,0,13960,0,[]
111,23,11,66,64,63,63,64,64,65,62,18,18,72,64,65,57,73,69,72,66,15149,0,14120,0,[]
112,27,9,61,63,58,62,60,63,58,60,18,18,67,56,66,54,74,67,70,63,15359,0,14170,0,[]
113,28,8,56,66,51,53,58,70,58,68,18,18,71,54,56,49,79,77,75,71,15410,0,14249,0,[]
114,28,9,45,67,47,54,64,76,59,71,18,18,72,53,51,50,80,85,79,82,15461,0,14370,0,[]
115,27,9,35,61,42,54,65,83,59,71,83,5,72,53,50,49,79,89,78,89,15616,0,14504,0,[]
116,22,9,29,52,45,54,67,88,9,96,70,6,72,54,59,50,82,86,81,88,15734,0,14743,0,[]
117,17,9,23,47,43,55,71,91,20,94,57,7,77,55,65,57,88,83,84,88,15876,0,14795,0,[]
118,17,9,22,48,40,58,69,90,27,87,44,8,83,56,57,58,90,82,84,88,16082,0,14845,0,[]
119,4,91,19,46,38,58,70,91,34,78,31,9,82,56,46,55,95,4,95,5,16175,0,15010,0,[]
120,5,82,18,47,3,96,71,87,40,69,23,10,81,56,45,54,94,11,88,15,16326,0,15166,0,[]
121,6,70,21,52,14,89,77,86,41,59,14,18,95,4,44,55,93,22,79,23,16402,0,15310,0,[]
122,7,58,23,56,22,80,81,84,42,57,11,21,91,11,49,54,92,33,71,32,16494,0,15443,0,[]
123,7,46,29,60,30,72,81,83,44,57,12,22,83,22,54,58,90,44,66,42,16736,0,15541,0,[]
124,7,34,31,60,38,63,83,82,43,56,20,24,80,33,48,55,89,54,66,48,16907,0,15622,0,[]
125,6,27,41,62,44,54,77,85,48,60,25,29,80,46,48,51,88,65,65,50,17115,0,15672,0,[]
126,10,30,50,61,46,55,76,86,57,62,17,19,76,57,46,50,88,73,53,50,17191,0,15949,0,[]
127,10,21,48,66,41,56,3,96,53,65,14,19,67,63,50,54,87,74,53,56,17304,0,16060,0,[]
128,11,22,49,66,43,54,14,95,59,74,13,20,66,65,59,61,86,81,57,64,17437,0,16303,0,[]
129,10,22,56,65,52,59,22,89,59,70,15,21,67,64,64,63,84,81,65,64,17537,0,16368,0,[]
130,11,21,59,62,61,61,30,81,59,62,24,29,68,66,69,65,76,73,67,68,17653,0,16419,0,[]
131,12,34,58,63,60,60,38,73,57,63,34,38,68,67,67,67,70,67,67,67,17707,0,16573,0,[]
132,21,38,53,65,59,61,46,73,56,61,43,47,62,63,66,65,68,65,63,64,17758,0,16655,0,['10:57 WE »÷É±ÁË»ðÁú']
133,22,31,47,65,49,58,51,83,56,68,41,42,63,58,57,58,70,65,65,63,17902,0,16706,0,[]
134,18,20,47,65,44,52,61,86,62,77,38,29,61,50,51,48,77,73,75,70,18037,0,16841,0,[]
135,14,16,47,65,47,51,70,89,65,78,30,19,52,42,50,47,82,82,81,81,18171,0,16952,0,[]
136,20,23,5,90,43,51,76,89,73,85,21,13,52,36,51,49,84,87,84,86,18282,0,17184,0,[]
137,28,32,14,80,46,52,78,88,80,91,19,12,46,34,51,49,84,83,85,85,18357,0,17319,0,[]
138,37,40,24,71,49,50,78,81,80,84,14,17,50,41,54,47,88,81,87,85,18470,0,17418,0,[]
139,35,40,32,60,51,49,76,76,79,77,11,23,45,35,56,43,88,82,85,84,18623,0,17588,0,[]
140,29,37,32,48,49,50,82,82,83,84,10,23,41,26,54,44,88,81,89,80,18857,0,17738,0,[]
141,19,35,40,42,42,43,84,79,90,81,15,21,42,18,57,43,89,76,87,75,19081,0,18013,0,[]
142,7,26,37,37,41,43,82,80,83,81,22,27,43,16,57,41,89,77,88,75,19321,0,18114,0,[]
143,8,27,31,35,47,49,77,75,76,73,22,28,45,16,57,41,89,78,88,78,19492,0,18379,0,[]
144,10,24,31,36,50,48,73,74,68,66,18,17,44,24,95,4,89,80,86,78,19634,0,18444,0,[]
145,15,19,31,40,50,47,72,77,62,62,20,14,41,33,53,46,81,84,79,75,19700,0,18582,0,[]
146,19,13,31,37,40,44,72,82,61,62,19,14,45,39,52,47,81,83,75,72,19823,0,18780,0,[]
147,24,13,30,37,31,39,73,89,51,61,28,12,38,38,44,38,79,78,66,65,19913,0,18835,0,[]
148,26,33,31,35,31,37,69,90,43,54,28,21,35,39,36,38,72,69,57,58,19997,0,18923,0,[]
149,29,36,29,37,34,38,68,81,33,38,26,31,34,37,39,37,62,61,46,48,20052,0,19393,0,[]
150,33,32,28,38,29,34,59,73,28,33,32,30,29,34,29,35,53,55,37,40,20593,0,19445,0,['12:27 WExiye(½âÍÑÕß) »÷É±ÁË OMGPenguin(Ö©ÖëÅ®»Ê)']
151,31,37,28,38,32,35,52,63,30,36,31,36,29,34,34,37,45,48,30,37,21098,0,19498,0,['12:31 OMGicon(»ÄÄ®ÍÀ·ò) »÷É±ÁË WEbeishang(ÁÝ¶¬Ö®Å­)']
152,32,37,28,38,41,35,46,52,36,39,31,36,29,34,41,32,39,40,39,37,21599,0,19998,0,['12:36 OMGCurse(µ¶·æÎèÕß) »÷É±ÁË WEPoss(Ê¥´¸Ö®Òã)']
153,33,41,28,38,41,33,41,38,40,41,31,36,29,34,42,33,40,40,41,35,21671,0,20499,0,"['12:44 WExiye(½âÍÑÕß) »÷É±ÁË OMGicon(»ÄÄ®ÍÀ·ò)', '12:44 OMGkRYST4L(Ðé¿ÕÖ®Å®) »÷É±ÁË WEMissing(¸¥À×¶û×¿µÂÖ®ÐÄ)']"
154,44,38,2,96,41,33,41,39,42,38,31,36,29,34,43,37,46,36,41,35,22192,0,20551,0,['12:48 WExiye(½âÍÑÕß) »÷É±ÁË OMGkRYST4L(Ðé¿ÕÖ®Å®)']
155,51,34,5,91,41,33,41,39,46,36,31,36,29,34,46,38,47,34,41,35,22243,0,20602,0,['12:52 OMGCurse(µ¶·æÎèÕß) »÷É±ÁË WEMystic(ÄæÓð)']
156,52,34,13,81,41,33,41,39,46,34,31,36,92,6,48,35,47,34,41,35,22296,0,21405,0,[]
157,52,34,23,72,41,33,41,39,42,41,31,36,90,13,44,38,47,34,41,35,22346,0,21456,0,['13:1 WExiye(½âÍÑÕß) »÷É±ÁË OMGCurse(µ¶·æÎèÕß)']
158,52,34,32,63,41,33,41,39,41,55,82,5,79,18,48,46,47,34,92,9,22398,0,21590,0,[]
159,52,34,42,56,5,95,41,39,40,57,69,6,66,20,48,47,47,34,85,18,22464,0,21723,0,[]
160,52,34,45,53,16,87,4,88,2,96,56,7,54,24,50,45,94,4,75,25,22609,0,21775,0,[]
161,52,34,46,57,24,79,5,76,1,97,44,9,46,27,95,4,88,14,64,25,22676,0,21828,0,[]
162,52,34,51,67,32,70,7,64,6,86,31,11,46,26,91,6,78,19,54,31,22727,0,22059,0,[]
163,5,96,50,73,40,62,8,52,9,74,19,14,41,30,81,13,69,27,43,35,22779,0,22152,0,[]
164,18,95,47,72,48,53,9,40,17,66,14,16,34,35,72,23,59,33,33,40,23014,0,22246,0,[]
165,31,93,38,64,47,50,11,28,18,54,16,16,31,31,63,32,48,34,31,32,23065,0,22370,0,[]
