,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
86,70,89,6,80,38,65,49,55,59,91,12,23,23,42,50,47,87,84,88,83,0,0,0,0,[]
87,74,87,13,71,27,59,43,54,70,90,14,21,23,40,51,46,95,4,87,84,0,0,0,0,[]
88,76,87,17,61,23,54,33,49,78,89,13,22,26,37,54,44,83,83,83,83,0,0,0,0,[]
89,78,88,16,50,21,47,34,50,79,89,8,26,37,37,51,46,85,81,87,80,0,0,0,0,[]
90,75,90,10,42,15,42,44,54,77,89,8,26,41,27,51,48,81,83,82,83,0,0,0,0,[]
91,76,90,9,32,16,44,47,55,77,90,11,14,47,26,50,47,81,82,81,82,0,0,0,0,[]
92,79,89,7,27,18,49,45,54,80,90,11,14,49,26,55,48,80,82,83,83,0,0,0,0,[]
93,78,89,7,26,25,56,45,53,80,89,91,4,50,26,65,53,81,82,82,84,0,0,0,0,[]
94,70,90,6,25,26,59,42,56,75,90,76,6,95,4,66,61,81,82,85,84,0,0,0,0,[]
95,64,88,8,25,31,60,45,55,70,89,63,7,93,8,66,56,76,79,85,88,0,0,0,0,[]
96,71,90,8,23,41,66,48,52,74,91,48,11,86,17,58,50,71,77,81,84,0,0,0,0,[]
97,72,91,10,23,44,68,46,54,74,92,41,18,76,26,52,51,73,69,80,80,0,0,0,0,[]
98,72,93,14,18,45,67,47,54,72,92,30,18,67,37,52,51,80,79,82,83,0,0,0,0,[]
99,74,92,15,16,48,68,40,57,74,89,27,21,67,48,51,52,81,83,81,83,0,0,0,0,[]
100,70,92,19,26,51,73,36,60,72,92,25,12,60,60,47,58,84,86,78,85,0,0,0,0,[]
101,67,90,17,21,53,84,36,60,72,91,26,10,52,67,48,54,80,88,78,85,0,0,0,0,[]
102,72,91,22,11,57,84,8,95,71,91,25,8,57,69,48,54,80,86,78,85,0,0,0,0,[]
103,72,90,17,16,58,84,23,79,73,91,24,8,54,76,49,54,82,90,79,86,0,0,0,0,[]
104,75,89,15,15,59,82,36,64,75,91,18,12,60,74,50,53,82,86,79,84,0,0,0,0,[]
105,72,91,14,16,60,85,42,55,73,91,19,10,66,69,59,59,81,86,79,85,0,0,0,0,[]
106,72,90,14,16,61,85,51,55,74,91,16,11,66,69,65,65,80,85,80,81,0,0,0,0,[]
107,73,89,13,17,2,95,58,57,73,89,18,11,67,69,66,65,77,80,76,71,0,0,0,0,[]
108,70,91,13,19,8,84,47,51,71,92,18,12,74,60,58,56,76,79,75,63,0,0,0,0,['8:56 LGD »÷É±ÁË·çÁú']
109,68,90,12,18,16,75,46,50,69,90,16,17,83,56,54,49,82,85,77,70,0,0,0,0,[]
110,63,83,13,20,17,62,41,42,62,83,19,13,82,55,59,44,83,86,82,82,0,0,0,0,[]
111,62,84,13,17,20,49,48,35,57,82,18,11,75,45,59,46,83,87,83,85,0,0,0,0,[]
112,70,91,13,19,25,37,49,35,60,85,19,12,72,42,57,47,80,84,85,87,0,0,0,0,[]
113,69,91,12,18,30,37,49,40,61,87,18,15,66,39,54,48,77,80,87,85,0,0,0,0,[]
114,69,91,13,21,31,29,48,51,51,83,18,17,55,32,54,46,77,80,87,85,0,0,0,0,[]
115,66,91,14,20,28,22,46,53,50,80,25,13,63,37,53,46,94,11,94,5,0,0,0,0,[]
116,66,91,14,21,27,32,48,59,45,79,28,12,67,51,55,47,93,25,91,16,0,0,0,0,[]
117,7,92,14,18,40,37,47,54,45,79,29,23,65,52,60,41,91,39,81,23,0,0,0,0,[]
118,10,81,12,22,42,32,51,45,5,91,24,12,64,40,60,41,90,52,80,33,0,0,0,0,[]
119,15,71,12,22,40,31,52,45,12,82,19,11,54,30,60,41,88,66,82,47,0,0,0,0,[]
120,17,59,21,23,33,29,52,45,17,71,19,14,47,17,60,41,85,79,87,59,0,0,0,0,[]
121,21,48,19,26,32,30,49,46,18,59,25,16,41,17,95,4,83,86,87,72,0,0,0,0,[]
122,21,38,19,26,31,32,40,50,21,47,23,13,35,17,57,42,83,85,82,82,0,0,0,0,[]
123,19,25,5,96,33,31,40,50,26,37,14,16,33,18,57,45,79,83,80,83,0,0,0,0,[]
124,13,20,16,94,33,29,2,96,32,34,17,14,28,21,53,41,75,75,80,75,0,0,0,0,[]
125,12,24,28,94,32,30,40,57,29,34,17,17,26,29,46,38,66,65,27,24,0,0,0,0,[]
126,18,24,33,92,32,32,34,48,30,34,25,31,31,32,35,35,56,56,30,32,0,0,0,0,[]
