,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
50,13,21,5,90,51,48,81,87,84,88,12,14,83,61,57,45,87,74,87,74,0,0,0,0,[]
51,13,19,9,78,49,50,79,88,79,87,12,15,87,71,56,43,81,82,81,82,0,0,0,0,[]
52,11,17,16,68,49,50,78,89,79,87,16,12,91,77,55,43,82,81,81,83,0,0,0,0,[]
53,10,18,18,56,50,52,77,89,79,88,17,16,87,85,52,47,82,81,82,81,0,0,0,0,[]
54,8,21,20,46,49,48,72,88,78,87,16,18,81,87,55,47,79,86,79,86,0,0,0,0,[]
55,7,25,23,45,49,49,66,89,75,87,15,22,78,87,54,46,79,85,79,85,0,0,0,0,[]
56,10,23,24,42,48,51,63,88,75,87,14,17,75,88,54,45,78,88,77,89,0,0,0,0,[]
57,8,22,24,40,49,50,57,90,10,96,14,19,70,88,54,44,72,88,70,87,0,0,0,0,[]
58,6,22,31,38,51,50,52,94,23,95,13,21,61,85,54,46,67,90,66,91,0,0,0,0,[]
59,9,18,33,40,47,46,54,92,35,94,16,18,61,85,55,45,71,89,68,89,0,0,0,0,[]
60,6,22,27,37,51,49,59,94,48,93,12,20,94,4,57,46,71,89,70,89,0,0,0,0,[]
61,5,24,23,31,48,50,68,91,60,92,11,21,82,7,53,47,74,92,73,92,0,0,0,0,[]
62,6,24,30,21,44,56,70,91,72,92,19,20,67,8,48,50,76,86,78,87,0,0,0,0,[]
63,7,24,39,29,40,58,74,90,74,88,31,20,55,11,50,47,79,85,79,86,0,0,0,0,[]
64,8,22,48,35,40,58,73,90,74,89,34,17,46,14,45,54,79,84,79,84,0,0,0,0,[]
65,11,24,49,34,37,60,72,91,73,89,29,19,50,25,49,47,78,85,78,85,0,0,0,0,[]
66,11,24,37,37,2,96,68,90,70,91,25,29,42,36,42,39,76,88,76,88,0,0,0,0,[]
67,2,96,38,37,41,37,72,91,71,89,34,35,38,37,40,39,82,83,82,83,0,0,0,0,[]
68,2,96,38,37,40,51,78,88,79,88,39,42,42,45,43,47,82,84,82,84,0,0,0,0,[]
69,2,96,1,96,37,57,79,85,81,88,31,35,41,52,40,54,85,81,85,81,0,0,0,0,[]
70,42,54,8,86,37,58,80,89,80,87,24,26,43,42,49,46,83,81,83,81,0,0,0,0,[]
71,41,54,13,75,37,58,82,88,83,87,19,17,50,35,51,46,85,81,85,81,0,0,0,0,[]
72,41,52,18,64,3,96,85,82,88,81,24,10,50,35,53,45,87,74,87,74,0,0,0,0,[]
73,44,53,23,55,13,87,88,79,87,79,24,10,50,45,48,49,89,72,89,72,0,0,0,0,[]
74,45,56,21,53,20,77,85,78,87,78,22,9,48,51,44,49,89,72,89,72,0,0,0,0,[]
75,43,52,20,50,29,69,89,78,88,77,22,10,56,43,53,43,90,72,90,72,0,0,0,0,[]
76,42,52,16,44,37,61,86,77,86,75,21,10,68,41,57,40,90,70,90,70,0,0,0,0,[]
77,34,47,16,45,39,51,75,77,85,85,22,11,73,42,57,40,90,70,90,70,0,0,0,0,[]
78,30,38,17,46,42,52,70,79,74,87,20,11,68,40,92,7,88,71,91,72,0,0,0,0,[]
79,23,31,26,52,41,52,70,79,73,85,19,10,57,33,85,11,88,69,88,69,0,0,0,0,[]
80,18,22,33,60,42,53,5,96,3,96,17,12,50,23,78,22,88,69,88,69,0,0,0,0,[]
81,15,19,45,65,42,53,9,96,15,93,17,12,44,16,70,31,94,8,93,6,0,0,0,0,[]
82,12,17,47,66,47,53,21,95,28,92,18,13,43,17,60,40,93,14,93,14,0,0,0,0,[]
83,13,15,47,67,46,52,33,93,39,88,18,15,42,17,58,55,92,26,92,26,0,0,0,0,[]
84,23,12,55,68,49,53,45,92,48,79,28,11,47,17,54,47,92,37,92,37,0,0,0,0,[]
85,22,13,52,74,49,52,57,90,60,76,31,7,47,26,56,46,91,48,91,48,0,0,0,0,[]
86,16,15,51,75,48,52,69,88,71,82,31,7,49,27,54,46,91,58,91,58,0,0,0,0,[]
87,18,13,51,75,53,53,81,86,80,85,95,4,51,27,55,45,89,69,89,69,0,0,0,0,[]
88,15,16,57,80,58,60,79,86,81,86,29,8,95,4,46,51,86,79,86,79,0,0,0,0,[]
89,15,16,57,82,49,58,79,85,80,85,29,9,89,14,57,44,87,80,87,80,0,0,0,0,[]
90,3,93,58,84,47,50,80,83,81,86,26,8,80,23,53,49,86,80,86,80,0,0,0,0,[]
91,5,82,58,85,45,52,78,87,80,86,27,8,71,32,50,47,83,81,83,81,0,0,0,0,[]
92,6,72,60,84,44,54,79,87,83,88,23,10,67,42,52,51,82,79,81,77,0,0,0,0,[]
93,7,61,65,83,48,57,79,88,83,89,26,16,66,55,56,57,83,79,83,79,0,0,0,0,[]
94,9,50,73,85,48,69,80,88,83,89,23,11,61,62,58,58,82,81,82,81,0,0,0,0,[]
95,9,40,69,80,50,74,77,87,81,90,23,12,56,67,56,62,85,80,85,80,0,0,0,0,[]
96,11,29,70,79,41,67,77,90,76,89,22,10,62,63,52,55,82,84,82,84,0,0,0,0,[]
97,16,21,70,79,42,56,74,90,75,91,20,12,71,62,53,49,80,86,83,88,0,0,0,0,[]
98,14,19,70,79,42,56,77,89,80,91,17,12,69,67,50,52,83,85,83,85,0,0,0,0,[]
99,13,19,82,80,37,56,79,85,83,88,16,16,71,69,41,56,85,81,85,84,0,0,0,0,[]
100,14,16,89,82,40,53,86,82,87,82,20,14,78,74,53,57,91,76,91,76,0,0,0,0,[]
101,16,14,81,91,36,49,79,87,82,88,23,13,81,82,59,69,84,83,84,83,0,0,0,0,[]
102,24,12,74,92,48,51,72,91,74,93,31,9,76,87,67,79,77,88,77,88,0,0,0,0,[]
103,20,14,65,94,49,49,72,92,65,94,27,9,76,89,70,84,75,87,75,87,0,0,0,0,[]
104,17,16,59,89,45,51,72,90,69,90,20,11,77,79,73,74,79,86,79,86,0,0,0,0,[]
105,19,16,50,81,41,38,73,91,67,90,28,9,72,69,68,62,78,84,78,84,0,0,0,0,[]
106,18,16,44,71,39,26,71,92,69,91,31,8,71,68,63,52,77,89,77,89,0,0,0,0,[]
107,27,11,31,60,35,11,71,92,71,90,30,7,70,68,55,43,78,80,78,80,0,0,0,0,[]
108,25,12,23,55,27,7,66,91,66,91,28,6,68,67,55,42,72,87,72,87,0,0,0,0,[]
109,22,11,22,54,24,13,70,93,66,91,27,12,74,67,55,43,74,88,74,88,0,0,0,0,[]
110,22,11,29,49,29,10,60,93,66,91,30,8,71,78,50,47,67,88,67,88,0,0,0,0,[]
111,22,11,34,39,29,9,49,94,3,96,26,10,62,84,48,54,56,91,56,91,0,0,0,0,[]
112,22,11,28,36,29,9,39,94,9,95,24,8,63,83,43,56,60,91,60,91,0,0,0,0,[]
113,22,11,24,32,29,9,39,94,21,93,25,8,64,90,43,54,68,90,68,89,0,0,0,0,[]
114,1,96,22,38,29,9,2,96,34,93,25,8,62,90,53,56,64,92,65,90,0,0,0,0,[]
115,4,84,16,43,9,92,9,96,47,92,96,3,67,82,47,55,65,83,67,82,0,0,0,0,[]
116,7,60,16,44,19,84,21,95,53,86,89,7,73,72,49,52,65,83,68,80,0,0,0,0,[]
117,9,45,21,44,26,74,33,94,60,89,83,13,74,60,57,49,93,4,95,4,0,0,0,0,[]
118,10,30,23,44,35,64,46,93,70,94,81,24,74,54,69,50,89,5,89,5,0,0,0,0,[]
119,8,26,23,43,41,56,58,92,72,91,81,34,76,46,74,49,77,6,77,6,0,0,0,0,[]
120,10,25,22,42,47,51,70,91,73,88,81,45,72,43,60,49,66,7,66,7,0,0,0,0,[]
121,17,15,21,41,46,53,80,84,73,85,81,54,67,40,52,49,53,8,53,8,0,0,0,0,[]
122,16,14,21,41,48,49,79,84,76,87,82,58,57,33,53,48,42,10,42,10,0,0,0,0,[]
123,16,12,6,92,46,52,86,84,84,84,83,63,51,36,52,47,31,11,31,11,0,0,0,0,[]
124,16,20,12,82,43,45,84,86,83,86,83,66,42,32,56,44,23,10,29,18,0,0,0,0,[]
125,19,26,21,74,48,49,84,87,84,88,90,70,38,29,55,43,22,11,39,29,0,0,0,0,[]
126,22,28,32,67,50,48,2,95,2,96,92,72,42,40,56,45,28,10,42,40,0,0,0,0,[]
127,34,47,46,66,47,54,5,83,7,86,87,73,42,39,52,46,24,12,42,39,0,0,0,0,[]
128,40,54,46,64,47,55,6,71,9,75,87,74,41,26,48,42,19,11,40,26,0,0,0,0,[]
129,49,60,45,66,43,55,6,59,10,62,87,73,48,18,48,42,19,13,31,21,0,0,0,0,[]
130,49,61,31,63,40,55,7,46,11,50,87,72,47,15,93,5,24,12,23,13,0,0,0,0,[]
131,49,61,25,57,44,55,8,35,10,37,87,73,47,16,84,13,30,21,27,21,0,0,0,0,[]
132,47,69,16,49,50,50,10,27,9,27,85,81,46,16,77,24,21,22,21,24,0,0,0,0,[]
133,49,79,11,40,46,51,6,20,10,24,79,76,93,5,68,33,16,16,16,16,0,0,0,0,[]
134,57,85,9,28,36,48,10,19,9,20,80,86,81,10,58,41,16,15,16,15,0,0,0,0,[]
135,67,88,11,28,30,39,12,20,12,20,80,82,70,17,56,43,18,14,18,14,0,0,0,0,[]
136,69,91,15,34,29,37,13,19,20,26,79,80,60,25,46,48,18,13,18,13,0,0,0,0,[]
137,71,91,21,28,34,47,11,20,20,26,82,90,49,33,52,44,19,18,19,18,0,0,0,0,[]
138,72,88,27,34,39,51,12,20,12,20,82,90,37,37,49,47,17,14,17,14,0,0,0,0,[]
139,77,86,35,39,35,49,11,29,11,30,82,91,38,37,47,50,14,21,14,21,0,0,0,0,[]
140,80,85,34,39,33,43,18,34,41,36,82,87,34,37,41,44,21,22,24,28,0,0,0,0,[]
141,68,90,29,38,28,38,24,35,32,34,71,90,27,30,35,41,27,31,27,30,0,0,0,0,[]
142,71,84,29,38,23,39,22,39,25,30,75,88,25,29,29,34,23,37,23,37,0,0,0,0,[]
143,69,90,29,38,23,39,20,44,25,30,79,85,31,32,33,40,23,38,23,38,0,0,0,0,[]
144,66,90,29,38,23,39,20,44,25,30,80,84,31,32,42,47,20,27,23,37,0,0,0,0,[]
145,71,83,29,38,23,39,20,44,25,30,81,85,29,32,41,54,14,17,21,28,0,0,0,0,[]
146,78,86,10,94,23,39,2,96,4,92,84,81,29,33,42,55,13,19,13,19,0,0,0,0,[]
147,82,84,25,90,23,39,4,83,5,80,88,78,30,32,43,57,15,19,15,19,0,0,0,0,[]
148,70,88,37,89,12,90,5,71,8,68,89,75,30,32,51,55,9,27,10,27,0,0,0,0,[]
149,59,85,49,88,20,81,6,59,8,55,84,78,24,32,48,54,8,30,9,30,0,0,0,0,[]
150,58,85,57,83,28,71,6,46,10,43,77,70,22,31,49,50,8,29,9,28,0,0,0,0,[]
151,60,85,57,83,37,59,7,34,10,31,71,64,18,22,50,50,9,26,9,25,0,0,0,0,[]
152,71,87,51,77,39,55,5,34,7,33,63,62,10,28,50,50,8,25,8,25,0,0,0,0,[]
153,77,87,51,73,49,50,5,39,5,41,65,62,7,34,90,6,7,31,7,34,0,0,0,0,[]
154,82,84,50,73,46,48,4,46,8,51,77,62,6,44,81,15,5,42,6,44,0,0,0,0,[]
155,78,86,41,67,50,49,4,50,9,64,88,68,7,39,72,24,7,36,7,39,0,0,0,0,[]
156,78,86,31,60,51,47,4,50,9,65,88,68,9,37,64,34,8,31,9,32,0,0,0,0,[]
157,4,91,23,55,50,48,4,50,2,96,83,59,14,39,56,42,12,35,16,35,0,0,0,1,[]
158,8,87,26,58,49,58,4,50,5,93,83,59,15,43,61,41,14,33,14,33,0,0,0,1,[]
159,20,87,31,52,53,67,3,90,8,80,79,53,14,41,58,45,14,33,14,33,0,0,0,1,[]
160,32,89,35,61,46,58,4,78,9,68,76,44,14,41,51,44,95,4,95,4,0,0,0,1,[]
161,45,91,47,63,43,54,5,66,9,56,70,40,88,7,55,42,95,6,92,7,0,0,0,1,[]
162,57,89,46,64,43,53,6,54,8,50,69,39,76,13,50,48,91,68,91,68,0,0,0,1,[]
163,70,88,43,67,46,54,9,50,8,49,68,39,66,20,49,47,84,79,84,79,0,0,0,1,[]
164,69,89,43,67,47,57,12,48,8,50,94,4,52,25,47,49,82,85,81,84,0,0,0,1,[]
165,59,89,4,94,43,57,8,49,16,50,82,5,47,27,49,48,76,87,73,85,0,0,0,1,[]
166,61,92,9,83,39,63,6,48,28,52,69,7,52,32,53,44,74,91,71,88,0,0,0,1,[]
167,58,92,14,72,40,54,6,45,35,62,57,9,55,32,48,49,72,91,71,88,0,0,0,1,[]
168,55,91,17,61,47,50,10,47,32,60,45,13,65,40,51,47,72,90,71,87,0,0,0,2,[]
169,55,91,21,51,43,55,8,39,31,47,38,15,59,50,50,49,72,87,71,84,0,0,0,2,[]
170,55,92,31,46,40,54,8,27,32,36,36,16,55,51,51,56,64,78,64,78,0,0,0,2,[]
171,55,90,38,37,35,48,8,26,29,32,39,15,62,61,54,55,56,68,56,68,0,0,0,2,[]
172,55,92,41,30,42,55,11,24,19,25,43,17,66,69,55,50,58,67,58,67,0,0,0,2,[]
173,55,90,48,21,40,55,21,22,9,17,48,18,65,71,47,53,52,56,52,56,0,0,0,2,[]
174,48,82,39,15,38,59,23,22,19,20,48,18,64,70,45,52,47,55,48,49,0,0,0,2,[]
175,41,71,39,15,35,59,22,32,22,31,36,13,65,69,41,59,42,55,45,53,0,0,0,2,[]
176,37,64,39,15,34,59,16,41,22,43,24,12,66,67,43,58,43,57,43,58,0,0,0,2,[]
177,37,63,39,15,33,62,21,52,22,54,18,13,56,64,34,61,40,60,40,60,0,0,0,3,[]
178,35,63,39,15,34,63,30,59,42,56,17,16,44,67,37,59,40,62,40,62,0,0,0,3,[]
179,35,66,39,15,37,61,37,66,39,65,11,26,40,65,37,59,41,66,41,66,0,0,0,3,[]
180,34,68,9,92,32,62,35,66,36,64,40,67,42,70,37,59,39,67,38,66,0,0,0,3,[]
181,32,70,17,84,30,67,22,66,36,64,26,66,40,69,37,59,39,65,26,66,0,0,0,3,[]
182,32,70,20,72,23,58,22,66,36,64,25,65,37,74,37,59,40,57,25,65,0,0,0,3,[]
183,32,70,25,66,24,58,22,66,36,64,30,64,38,63,37,59,31,63,30,64,0,0,0,3,[]
184,32,70,20,62,22,58,22,66,4,95,31,63,28,59,37,59,27,67,28,59,0,0,0,3,[]
185,32,70,18,63,22,58,22,66,4,92,31,63,41,58,90,12,37,63,41,58,0,0,0,3,[]
186,32,70,18,63,2,96,22,66,12,82,31,63,33,47,85,24,41,59,33,47,0,0,0,3,[]
187,3,96,5,92,5,92,4,92,23,74,31,63,34,39,81,36,46,56,35,39,0,0,0,3,[]
188,11,91,17,89,15,85,5,80,31,68,31,63,32,38,80,48,51,51,32,38,0,0,0,3,[]
189,37,90,32,89,24,77,5,67,30,68,31,63,41,35,82,50,51,51,41,35,0,0,0,3,[]
190,54,90,45,89,32,66,6,55,32,65,31,63,41,35,74,57,92,6,41,35,0,0,0,3,[]
191,70,90,54,83,39,63,8,51,37,63,93,12,92,7,74,50,90,7,92,6,0,0,0,3,[]
192,73,87,54,84,44,54,5,49,30,56,89,24,86,17,59,49,80,17,86,17,0,0,0,3,[]
193,82,84,53,84,44,57,7,49,26,60,90,37,81,29,52,49,70,26,81,29,0,0,0,3,[]
194,83,85,53,84,40,54,5,39,21,52,89,50,78,41,56,47,61,35,78,41,0,0,0,3,[]
195,72,90,46,74,36,58,6,37,23,42,90,63,77,48,58,48,56,46,77,48,0,0,0,3,[]
196,67,90,45,67,2,96,6,35,24,51,91,72,69,50,44,56,54,58,69,50,0,0,0,3,[]
197,4,96,44,68,13,89,14,36,30,50,88,67,61,60,46,53,44,55,61,60,0,0,0,3,[]
198,26,88,37,64,22,80,14,41,21,48,84,61,50,66,42,64,51,63,50,66,0,0,0,3,[]
199,33,73,30,66,30,70,18,47,19,47,85,65,40,67,37,65,40,67,40,67,0,0,0,3,[]
200,28,66,26,58,32,66,17,52,19,59,86,76,37,65,39,70,37,66,37,65,0,0,0,3,[]
201,27,66,24,57,31,69,20,64,27,67,83,85,38,63,43,69,40,62,38,63,0,0,0,3,[]
202,30,68,22,52,34,76,28,66,30,69,77,86,39,72,46,67,43,57,44,68,0,0,0,3,[]
203,28,74,22,47,31,73,28,66,30,69,68,90,38,75,45,62,44,56,38,75,0,0,0,3,[]
204,30,68,21,48,29,67,7,94,29,65,67,89,40,67,43,69,44,58,40,67,0,0,0,3,[]
205,31,62,26,52,33,64,5,94,30,66,65,89,40,65,43,69,43,57,40,65,0,0,0,3,[]
206,28,65,32,55,29,59,4,93,30,67,54,88,39,62,39,71,39,63,39,62,0,0,0,3,[]
207,31,69,31,58,32,66,5,91,30,69,48,81,33,66,39,65,35,64,33,66,0,0,0,3,[]
208,33,69,40,60,32,63,14,84,31,67,40,75,44,68,43,69,47,68,44,68,0,0,0,4,[]
209,28,74,29,68,27,59,26,86,23,77,42,87,45,71,40,74,48,58,40,74,0,0,0,4,[]
210,28,76,28,76,20,49,36,92,14,86,48,91,50,83,41,86,49,58,41,85,0,0,0,4,[]
211,29,68,24,66,15,37,31,92,5,95,49,89,46,89,44,90,47,69,46,89,0,0,0,4,[]
212,31,64,18,57,9,28,25,91,16,95,43,88,40,85,40,84,44,80,40,84,0,0,0,5,[]
213,26,67,18,54,7,30,26,92,27,92,37,90,40,86,35,87,38,90,35,87,0,0,0,5,[]
214,26,73,18,66,8,28,24,92,24,93,37,91,36,90,35,92,37,93,35,92,0,0,0,5,[]
215,24,85,24,78,8,28,24,91,22,89,34,91,33,90,34,85,34,91,34,85,0,0,0,5,[]
216,25,94,26,86,9,95,21,94,25,88,29,94,30,91,32,89,31,92,31,89,0,0,0,5,[]
217,23,94,14,82,20,92,20,92,19,90,31,88,24,88,21,83,27,89,21,83,0,0,0,6,[]
218,24,94,4,93,18,89,23,93,19,91,29,88,25,90,25,86,32,90,26,86,0,0,0,6,[]
219,17,96,5,97,20,91,18,93,20,91,28,94,24,95,29,88,28,93,24,95,0,0,0,6,[]
220,9,96,14,96,16,95,13,94,13,93,15,93,16,95,19,91,20,95,15,93,0,0,0,6,[]
221,1,97,7,96,16,95,13,94,7,95,14,94,16,95,11,95,17,95,15,95,0,0,0,6,['18:22 TES369(–…∫Ï ’∏Ó’ﬂ) ª˜…±¡À V5Ben4(√§…Æ)']
222,1,97,7,96,16,95,13,94,7,95,20,92,16,95,18,93,20,91,20,94,0,0,0,6,[]
223,8,92,7,96,16,95,13,94,7,95,18,88,16,95,18,90,18,87,18,87,0,0,0,6,[]
224,6,91,7,96,16,95,13,94,7,95,16,89,16,95,13,93,18,88,16,89,0,0,0,6,[]
225,3,95,7,96,16,95,13,94,7,95,15,86,16,95,12,90,14,85,12,90,0,0,0,7,[]
226,6,92,7,96,16,95,13,94,7,95,13,88,16,95,12,89,12,83,14,85,0,0,0,8,[]
227,5,96,7,96,16,95,4,93,3,96,13,88,93,6,13,90,10,84,13,91,0,0,0,8,[]
228,9,91,8,91,8,92,6,91,14,90,13,92,93,6,15,89,11,83,15,89,0,0,0,8,[]
229,9,91,8,91,8,92,6,91,14,90,13,92,93,6,15,89,11,83,15,89,0,0,0,8,[]
