,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,21,12,41,32,46,47,61,92,50,82,47,7,54,52,54,47,69,91,67,84,0,0,0,1,[]
122,21,12,41,39,45,43,56,92,45,72,45,14,52,48,51,52,58,70,57,69,0,0,0,1,[]
123,22,11,43,44,44,43,62,92,39,65,40,10,47,38,54,42,56,61,54,58,0,0,0,1,[]
124,26,9,40,43,42,46,60,92,43,55,30,8,42,32,54,41,49,53,49,48,0,0,0,1,[]
125,26,11,32,37,33,41,60,93,40,54,30,8,44,24,54,41,48,51,48,49,0,0,0,1,[]
126,19,15,31,45,32,41,60,94,42,55,27,8,49,18,92,8,49,52,48,49,0,0,0,1,[]
127,23,11,24,56,37,50,63,93,41,54,28,8,42,17,89,13,51,50,51,48,0,0,0,1,[]
128,20,12,23,55,44,54,71,90,46,53,29,9,41,17,81,22,57,42,56,41,0,0,0,1,[]
129,16,15,23,51,37,50,73,92,44,46,24,11,43,17,72,30,57,42,56,41,0,0,0,1,[]
130,22,11,21,46,27,50,74,92,43,44,25,9,41,17,62,38,92,4,89,5,0,0,0,1,[]
131,24,10,17,45,22,50,72,90,43,44,29,8,41,17,57,44,79,5,76,6,0,0,0,1,[]
132,16,16,16,44,24,51,73,85,3,95,29,8,94,4,51,49,67,6,63,7,0,0,0,1,[]
133,19,14,16,44,31,58,80,85,7,83,95,5,82,9,54,46,54,7,50,8,0,0,0,1,[]
134,19,14,18,45,39,58,80,85,13,73,94,17,70,11,49,42,41,9,36,10,0,0,0,1,[]
135,17,18,18,45,39,56,2,96,17,62,93,28,57,11,52,46,29,9,26,11,0,0,0,1,[]
136,20,30,4,92,39,56,6,85,19,50,92,40,45,12,54,41,21,13,20,12,0,0,0,1,[]
137,19,31,8,87,8,87,9,76,22,40,91,51,33,17,57,43,18,14,14,14,0,0,0,1,[]
138,5,96,16,80,15,79,9,66,20,37,91,63,23,24,54,46,18,23,19,19,0,0,0,1,[]
139,17,94,24,72,24,71,10,57,16,32,91,71,27,23,54,49,15,19,14,19,0,0,0,1,[]
140,29,93,31,63,33,63,10,43,16,33,87,78,22,27,54,49,15,20,20,21,0,0,0,1,[]
141,41,91,31,52,40,57,8,33,13,34,86,79,27,33,52,46,22,28,23,34,0,0,0,1,[]
142,52,88,34,43,44,50,10,32,19,35,86,81,33,33,47,42,31,34,25,33,0,0,0,1,[]
143,55,91,32,46,44,48,15,34,21,38,85,80,34,43,52,47,39,41,31,36,0,0,0,1,[]
144,64,89,36,40,39,49,28,36,34,39,78,86,41,37,49,47,43,37,39,38,0,0,0,1,[]
145,73,88,39,41,45,50,27,35,37,40,80,86,49,31,53,49,51,29,45,35,0,0,0,1,[]
146,76,87,43,45,48,48,25,31,35,40,81,86,47,27,58,38,45,23,37,25,0,0,0,1,[]
147,81,86,43,59,52,50,22,29,37,39,83,86,53,29,58,41,32,21,27,19,0,0,0,1,[]
148,87,76,50,66,56,56,18,24,33,36,88,74,62,36,55,53,23,14,18,14,0,0,0,1,[]
