,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
130,15,16,24,42,29,44,19,51,22,43,20,13,38,15,57,41,92,15,64,24,0,0,0,0,[]
131,19,22,31,33,40,44,24,40,26,31,22,11,38,15,59,40,83,21,61,33,0,0,0,0,[]
132,28,32,31,33,48,50,27,35,26,31,25,15,30,18,59,40,74,26,52,32,0,0,0,0,[]
133,29,32,31,32,43,46,27,32,28,32,34,23,34,23,95,4,65,31,41,31,0,0,0,0,[]
134,28,38,30,33,34,42,26,32,31,34,36,25,41,32,57,42,60,36,42,38,0,0,0,0,[]
135,35,48,27,35,41,44,22,28,36,37,36,25,41,30,54,44,55,31,45,45,0,0,0,0,[]
136,45,56,23,30,34,42,15,19,27,32,94,8,41,30,53,43,50,22,51,41,0,0,0,0,[]
137,47,53,19,24,26,30,18,15,28,21,93,21,90,6,55,46,43,15,50,32,0,0,0,0,[]
138,46,53,27,21,30,19,26,11,28,15,91,34,88,6,50,48,36,9,50,21,0,0,0,0,[]
139,47,53,35,16,26,11,24,8,25,11,90,47,70,6,50,47,38,7,44,12,0,0,0,0,[]
140,45,52,29,15,26,11,25,7,27,11,89,60,54,8,50,47,39,8,37,10,0,0,0,0,[]
141,45,51,29,8,28,11,25,8,30,9,87,73,45,15,45,39,40,8,40,9,0,0,0,0,[]
142,48,56,28,8,28,11,25,8,30,9,82,86,51,26,44,33,40,8,38,9,0,0,0,0,[]
143,55,66,26,11,27,22,27,10,31,11,74,86,59,35,48,39,42,8,39,10,0,0,0,0,[]
144,61,74,16,19,29,35,29,7,31,10,70,91,66,46,50,49,41,8,40,8,0,1,0,0,[]
145,63,88,11,30,32,46,33,7,35,13,70,92,64,57,48,52,46,8,46,10,0,1,0,0,[]
146,71,91,15,40,41,53,28,10,30,18,78,90,54,65,46,56,44,9,44,9,0,1,0,0,[]
147,72,91,14,42,39,55,28,10,29,20,82,79,50,65,47,57,45,9,47,8,0,1,0,0,[]
148,73,89,20,51,35,58,8,94,2,96,87,71,50,65,52,53,46,8,47,7,0,1,0,0,[]
149,73,89,24,55,35,58,15,84,14,89,83,83,62,62,51,53,48,9,48,9,0,1,0,0,[]
150,3,93,29,59,4,95,25,76,26,79,83,81,74,61,51,52,46,12,60,11,0,1,0,0,[]
151,5,85,31,48,13,96,32,67,34,68,80,86,82,56,50,53,48,21,69,20,0,1,0,0,[]
152,6,72,40,43,32,95,40,59,47,66,80,86,81,55,47,52,51,22,67,31,0,1,0,0,[]
153,7,58,43,44,47,94,42,58,59,61,81,81,79,51,50,42,51,22,60,35,0,1,0,0,[]
154,9,42,35,39,63,94,48,58,57,61,75,77,73,43,55,45,53,21,66,46,0,1,0,0,[]
155,11,29,30,37,70,92,47,53,47,53,77,70,74,42,52,47,53,21,66,47,0,1,0,0,[]
156,17,18,30,37,70,83,47,51,49,53,80,76,75,44,53,46,91,6,66,47,0,1,0,0,[]
157,17,13,2,96,71,83,50,51,51,53,82,84,77,54,53,45,85,8,95,4,0,1,0,0,[]
158,17,13,14,91,76,86,56,60,57,61,83,83,75,54,57,44,77,14,94,4,0,1,0,0,[]
159,19,16,26,88,77,90,57,71,56,67,83,84,76,53,61,43,65,11,86,18,0,1,0,0,[]
160,25,28,38,89,79,87,49,76,56,67,86,81,78,52,69,47,52,9,81,31,0,1,0,0,[]
161,31,18,51,88,78,87,46,69,13,89,86,79,76,51,67,42,43,9,80,46,0,1,0,0,[]
162,28,11,55,82,75,87,50,61,26,82,90,81,95,4,56,45,45,10,70,41,0,1,0,0,[]
163,32,9,55,82,78,83,49,52,38,74,90,81,83,9,53,45,49,21,57,44,0,1,0,0,[]
164,28,17,52,84,80,85,48,57,50,65,92,4,71,15,55,46,55,32,53,45,0,1,0,0,[]
165,39,16,48,78,78,81,59,62,62,58,79,5,62,24,65,52,58,42,62,51,0,1,0,0,[]
166,39,17,60,74,71,68,61,59,65,57,66,7,53,33,71,50,58,48,63,51,0,1,0,0,[]
167,35,17,71,64,74,59,52,54,63,51,53,8,53,33,77,53,52,46,59,47,0,1,0,0,[]
168,36,18,77,62,76,62,52,51,64,51,45,10,55,32,78,52,58,43,62,50,0,1,0,0,[]
169,28,15,76,62,67,60,56,54,65,52,37,16,66,41,79,50,54,45,58,45,0,1,0,0,[]
170,16,18,78,73,78,71,66,61,70,61,22,11,66,47,76,49,54,45,48,47,0,1,0,0,[]
171,11,29,85,80,86,79,77,62,75,60,21,11,66,56,67,54,63,51,51,48,0,1,0,0,[]
172,10,31,89,76,87,74,74,64,73,63,20,12,58,59,58,57,60,56,56,55,0,1,0,0,[]
173,12,21,91,71,88,69,71,69,71,66,20,12,62,61,48,53,53,56,62,61,0,1,0,0,[]
174,9,17,90,69,90,70,68,78,69,78,91,10,53,57,47,53,51,56,52,60,0,1,0,0,[]
175,16,12,91,71,90,73,68,78,59,73,86,22,46,56,46,55,45,54,45,52,0,1,0,0,[]
176,16,12,86,76,89,75,5,95,59,73,82,34,40,57,43,56,42,55,41,56,0,2,0,0,[]
177,16,12,75,75,89,75,17,86,5,95,87,45,45,58,44,56,44,55,41,57,0,2,0,1,[]
178,16,12,63,76,3,96,25,76,18,87,91,54,58,61,56,59,56,57,52,56,0,2,0,1,[]
179,5,96,58,67,66,78,34,68,30,81,92,60,66,68,66,65,66,64,65,61,0,2,0,1,[]
180,10,93,60,63,71,76,39,60,41,70,88,60,71,65,69,63,71,65,71,64,0,2,0,1,[]
181,58,63,63,63,72,76,48,55,54,64,78,64,70,67,71,66,72,65,75,66,0,2,0,1,[]
182,69,64,67,64,60,71,59,60,65,65,67,69,67,67,69,65,71,68,74,66,0,2,0,1,[]
183,66,60,63,60,61,62,62,59,65,65,62,60,64,63,68,61,68,65,63,61,0,2,0,1,['15:14 DMOXiaopeng(巨魔之王) 击杀了 RNGKarsa(狂战士)']
184,70,62,63,60,62,60,69,66,66,65,66,57,70,63,70,62,72,64,63,61,0,2,0,1,[]
185,75,60,63,60,69,62,75,62,66,65,71,62,74,65,65,59,76,54,63,61,0,2,0,1,['15:23 RNGUzi(虚空之女) 击杀了 DMONatural(武器大师)']
186,77,48,63,60,63,52,79,52,66,65,71,62,74,65,65,59,81,45,63,61,0,2,0,1,[]
187,66,50,63,60,53,48,83,61,66,65,71,62,74,65,65,59,81,45,95,4,0,2,0,1,[]
188,59,44,63,60,56,43,87,66,4,93,71,62,74,65,65,59,81,45,95,4,0,2,0,1,[]
189,58,44,3,95,56,42,88,77,12,82,71,62,74,65,65,59,81,45,81,12,0,2,0,1,[]
190,57,44,11,83,55,43,89,73,23,71,71,62,74,65,65,59,81,45,72,23,0,2,0,1,[]
191,58,42,17,71,56,45,88,60,35,63,71,62,74,65,65,59,81,45,63,34,0,2,0,1,[]
192,52,42,18,57,52,49,89,63,44,50,95,7,93,5,90,4,95,5,58,34,0,3,0,1,[]
193,40,39,24,55,39,50,89,65,40,36,94,21,84,15,77,6,89,14,53,31,0,3,0,1,[]
194,32,38,22,54,23,50,2,96,48,46,93,34,74,23,64,7,80,22,50,34,0,3,0,1,[]
195,31,38,24,46,21,46,7,93,45,50,90,48,66,33,52,7,70,30,49,34,0,3,0,1,[]
196,31,38,15,43,22,42,17,86,45,50,89,54,70,41,43,8,61,37,50,46,0,3,0,1,[]
197,9,96,22,43,33,39,25,76,39,52,91,55,74,42,46,8,51,48,50,44,0,3,0,1,[]
198,23,94,31,37,46,44,36,66,48,47,87,71,70,41,41,16,54,46,52,43,0,3,0,1,[]
199,38,92,46,40,54,48,46,57,57,46,83,84,59,41,45,16,56,45,59,39,0,3,0,1,[]
