,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,V5Mole, ,V5Ben4, ,V5Windy, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
202,85,81,18,54,9,39,46,54,45,52,23,39,72,54,64,50,57,46,66,54,0,2,0,1,[]
203,84,83,23,40,21,36,42,44,35,39,25,36,95,4,78,49,51,48,54,47,0,2,0,1,[]
204,78,83,22,41,23,41,45,52,39,42,30,20,91,5,88,54,49,49,51,45,0,2,0,1,[]
205,68,81,21,49,13,47,49,53,47,49,27,23,81,13,91,65,56,47,56,45,0,2,0,1,[]
206,71,78,32,45,10,37,45,52,43,43,18,19,73,22,89,75,61,39,60,36,0,2,0,1,[]
207,77,86,30,32,8,30,53,45,41,34,15,10,64,31,89,73,59,38,58,35,0,2,0,1,[]
208,78,85,21,26,9,27,50,48,41,31,16,10,59,35,89,69,58,42,57,42,0,2,0,1,[]
209,71,88,28,21,18,17,45,52,41,34,95,5,52,44,95,4,52,49,53,48,0,2,0,1,[]
210,71,88,29,33,26,11,45,55,44,51,95,17,52,43,82,5,51,50,53,45,0,2,0,1,[]
211,75,87,34,39,23,10,46,54,45,52,94,29,58,49,69,6,59,49,58,44,0,2,0,1,[]
212,78,84,34,38,23,13,41,51,44,52,93,41,68,49,55,7,60,49,59,44,0,2,0,1,[]
213,81,83,34,38,20,14,36,49,42,52,93,53,76,52,43,10,60,40,94,4,0,2,0,1,[]
214,75,88,35,38,2,96,36,49,2,96,91,65,77,52,41,9,60,40,82,13,0,2,0,1,[]
215,75,88,34,39,7,94,8,95,17,86,92,61,75,49,37,9,56,46,72,23,0,2,0,1,[]
216,7,88,31,38,16,93,19,86,31,80,93,60,67,42,36,13,51,49,63,35,0,2,0,1,[]
217,9,73,27,36,30,92,27,74,42,69,88,56,55,42,49,17,50,49,54,45,0,2,0,1,[]
218,10,58,32,45,45,89,36,62,56,61,78,50,46,35,48,22,47,39,44,37,0,2,0,1,[]
219,11,42,38,49,59,89,45,57,62,53,67,47,47,37,44,23,46,32,46,32,0,2,0,1,[]
220,11,26,48,60,73,87,54,56,61,57,69,48,53,47,53,27,53,28,57,34,0,2,0,1,[]
221,12,24,47,65,82,82,51,59,62,62,65,51,57,48,59,37,58,34,54,45,0,2,0,1,[]
222,17,34,52,65,88,75,48,52,64,61,65,50,52,46,55,42,53,43,54,44,0,2,0,1,[]
223,29,38,59,57,86,76,51,52,66,58,67,47,53,38,49,35,53,44,50,41,0,2,0,1,[]
224,32,44,71,62,86,75,55,49,75,56,66,40,52,33,51,24,55,42,58,42,0,2,0,1,[]
225,43,53,77,52,87,67,51,53,77,51,75,34,53,33,44,16,59,36,61,36,0,2,0,1,[]
226,59,57,75,47,81,56,53,49,72,42,86,37,64,37,43,16,59,39,61,38,0,2,0,1,[]
227,66,55,76,47,85,51,52,49,66,48,91,45,67,42,44,16,57,41,61,41,0,2,0,1,[]
228,66,52,81,49,89,53,54,51,64,50,90,42,68,36,48,18,55,42,61,42,0,2,0,1,[]
229,69,48,79,50,84,51,58,47,68,47,88,43,70,34,54,30,57,41,63,40,0,2,0,1,[]
230,64,57,66,55,76,52,56,55,63,51,90,46,66,41,60,40,56,42,61,39,0,2,0,1,[]
231,60,59,79,55,77,52,50,67,66,56,91,46,60,40,66,36,59,37,60,36,0,2,0,1,[]
