,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
78,26,12,52,62,51,49,41,86,49,79,28,8,39,37,49,44,88,82,76,73,0,0,0,0,[]
79,24,12,58,69,47,52,49,79,59,74,28,9,39,41,51,47,81,87,78,83,0,0,0,0,[]
80,23,11,57,59,44,51,58,85,58,68,25,8,42,45,45,50,79,86,78,88,0,0,0,0,[]
81,21,13,50,50,40,55,67,88,54,63,24,9,42,45,46,45,78,84,76,78,0,0,0,0,[]
82,21,14,48,54,39,59,69,90,52,63,24,9,44,48,48,50,72,78,68,78,0,0,0,0,[]
83,20,14,42,60,39,60,69,90,51,64,24,8,47,57,49,54,62,75,60,72,0,0,0,0,[]
84,22,13,42,68,40,65,70,90,42,67,23,9,49,67,50,61,52,76,51,75,0,0,0,0,[]
85,19,17,42,76,39,65,68,88,42,77,21,10,57,72,48,52,56,76,55,77,0,0,0,0,[]
86,17,16,49,78,4,96,59,84,50,79,18,11,52,77,50,48,57,75,55,77,0,0,0,0,[]
87,17,14,54,76,12,91,54,77,53,77,17,10,58,72,52,50,62,74,61,74,0,0,0,0,[]
88,15,18,50,79,20,83,52,84,59,77,17,14,63,61,53,50,70,69,71,69,0,0,0,0,[]
89,14,20,55,76,27,75,62,86,69,82,13,21,65,56,95,4,78,76,79,77,0,0,0,0,[]
90,9,29,64,77,33,66,72,87,77,87,11,25,68,44,90,13,84,82,84,83,0,0,0,0,[]
91,9,29,73,78,42,58,80,84,86,81,13,20,75,44,83,21,86,78,88,83,0,0,0,0,[]
92,9,29,78,75,44,55,85,79,89,82,12,21,74,43,74,28,91,72,91,75,0,0,0,0,[]
93,9,29,70,68,49,59,81,81,81,83,11,20,73,42,66,36,88,75,89,78,0,0,0,0,[]
94,2,96,70,68,60,62,85,82,84,81,14,17,77,51,58,43,90,72,88,73,0,0,0,0,[]
95,4,81,71,68,59,63,81,77,80,76,14,16,76,52,59,47,91,69,84,65,0,0,0,0,[]
96,5,69,70,68,57,59,74,71,75,70,94,4,76,56,66,54,91,69,84,65,0,0,0,0,[]
97,6,58,68,68,61,62,72,71,70,68,89,6,72,63,67,60,88,72,77,62,0,0,0,0,[]
98,6,42,68,68,68,65,68,69,71,66,75,7,72,70,75,66,83,78,72,68,0,0,0,0,[]
99,7,31,69,68,73,67,69,66,75,70,63,8,73,71,79,66,78,73,78,72,0,0,0,0,[]
100,7,26,78,75,81,77,76,74,80,76,50,9,73,71,80,65,86,76,86,65,0,0,0,0,[]
101,10,25,80,76,87,74,85,78,87,75,38,11,73,71,84,66,91,69,88,73,0,0,0,0,[]
102,9,23,77,76,87,76,88,76,88,79,26,13,88,5,89,69,93,62,92,66,0,0,0,0,[]
103,9,23,79,78,88,76,87,76,88,79,15,18,75,13,92,71,93,62,93,67,0,0,0,0,[]
104,13,19,79,78,89,82,86,81,86,79,15,15,66,20,89,68,94,9,93,67,0,0,0,0,[]
105,14,18,6,89,89,83,87,81,83,83,14,15,54,28,87,75,94,9,90,71,0,0,0,0,[]
106,14,19,12,78,2,96,85,83,83,84,17,15,51,33,88,76,92,20,89,73,0,0,0,0,[]
107,15,17,17,66,7,95,85,87,84,87,17,13,53,32,88,73,89,30,90,73,0,0,0,0,[]
108,18,18,18,53,27,74,2,96,3,96,20,11,52,27,87,69,89,41,90,72,0,0,0,0,[]
109,23,22,22,40,38,62,12,96,8,95,21,10,46,23,82,60,89,54,90,68,0,0,0,0,[]
110,21,13,31,37,48,53,23,94,16,93,20,10,45,23,77,50,88,65,90,68,0,0,0,0,[]
111,20,14,31,38,43,52,33,93,28,89,21,10,38,24,65,49,86,76,93,9,0,0,0,0,[]
112,16,16,22,30,32,45,44,92,39,90,17,16,25,22,53,49,86,79,87,17,0,0,0,0,[]
113,14,14,19,18,26,32,55,91,50,90,21,13,20,16,50,42,86,78,76,27,0,0,0,0,[]
114,20,16,19,19,31,38,65,89,61,89,27,11,34,11,51,49,86,80,66,38,0,0,0,0,[]
115,24,26,19,25,38,50,75,87,72,88,22,11,40,16,49,51,86,80,66,52,0,0,0,0,[]
116,25,31,23,34,44,52,81,83,81,82,18,12,40,15,52,53,88,77,59,62,0,0,0,0,[]
117,18,22,24,25,34,49,80,84,81,83,18,12,41,17,57,61,88,77,57,72,0,0,0,0,[]
118,21,10,27,20,24,43,77,86,77,86,17,13,39,15,64,64,87,81,68,80,0,0,0,0,[]
119,21,10,23,9,22,41,75,87,79,86,19,11,27,14,56,57,84,82,71,78,0,0,0,0,[]
120,20,10,16,12,22,31,79,89,82,90,18,11,19,12,50,51,84,84,80,81,0,0,0,0,[]
121,20,10,21,9,26,23,82,86,87,85,18,11,24,8,49,50,87,78,84,79,0,0,0,0,[]
122,20,10,19,20,27,33,84,88,84,86,18,11,28,6,51,53,85,79,84,80,0,0,0,0,[]
123,20,10,24,31,32,45,82,84,83,83,18,11,24,6,54,58,88,78,88,81,0,0,0,0,[]
124,20,10,22,42,39,52,79,87,81,84,18,11,24,6,57,65,83,80,86,83,0,0,0,0,[]
