,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,DMONatural, ,DMOAitong, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
239,18,79,6,29,56,82,9,77,18,79,91,60,56,34,40,6,58,35,52,32,0,3,0,0,[]
240,27,70,6,29,57,83,9,62,27,70,90,66,56,34,86,7,59,37,41,31,0,3,0,0,[]
241,36,61,15,95,58,83,10,48,36,61,85,81,82,12,73,10,58,37,30,21,0,3,0,0,[]
242,46,53,33,93,3,94,15,43,39,51,83,85,73,25,60,11,54,42,34,24,0,3,0,0,[]
243,46,53,47,92,6,88,11,31,46,53,86,77,66,36,55,22,59,41,45,34,0,3,0,0,[]
244,49,60,63,92,14,76,14,15,49,60,86,76,69,47,47,22,57,45,53,46,0,3,0,0,[]
245,48,68,73,91,26,69,25,10,48,68,95,4,75,48,41,15,54,43,59,48,0,3,0,0,[]
246,47,69,76,89,29,60,34,9,49,61,94,14,70,39,42,15,59,35,58,34,0,3,0,0,[]
247,47,73,82,84,23,53,29,11,43,53,92,31,58,33,45,13,57,33,58,34,0,3,0,0,[]
248,45,71,85,82,32,45,27,23,39,49,91,46,57,27,46,6,58,38,90,4,0,3,0,0,[]
249,43,68,78,72,38,43,27,33,37,44,92,60,56,29,40,7,53,44,76,16,0,3,0,0,[]
250,39,61,78,63,44,47,32,46,41,36,91,68,55,34,43,9,58,35,63,23,0,3,0,0,[]
251,39,59,85,65,42,42,34,43,42,42,92,64,56,35,45,11,53,32,50,32,0,3,0,0,[]
252,39,59,90,65,42,36,46,50,42,36,83,52,95,4,52,18,54,32,50,34,0,3,0,0,[]
253,7,88,89,66,34,35,46,45,34,35,75,52,77,14,58,30,59,36,53,32,0,3,0,0,[]
254,18,76,78,63,29,39,32,35,37,37,75,52,64,21,66,41,59,36,52,27,0,3,0,0,[]
255,27,68,78,63,41,32,24,27,41,35,91,55,54,31,60,36,57,34,50,32,0,3,0,0,[]
256,39,58,85,64,41,33,14,13,41,33,92,56,47,27,49,34,51,32,47,24,0,3,0,0,[]
