,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
80,15,18,59,69,52,62,75,76,62,75,66,61,66,66,44,48,69,67,69,64,0,0,0,0,[]
81,15,15,58,71,44,58,73,72,71,76,69,66,69,66,49,52,71,65,72,64,0,0,0,0,[]
82,16,18,60,75,41,57,79,81,73,72,68,66,66,69,54,52,69,65,68,63,0,0,0,0,[]
83,22,13,60,74,39,58,77,86,72,71,66,67,66,69,49,44,68,67,64,68,0,0,0,0,[]
84,26,10,55,76,44,51,75,89,72,75,65,67,67,68,44,36,71,66,66,66,0,0,0,0,['6:59 V5 击杀了水龙']
85,25,9,54,76,46,50,74,88,72,84,69,62,72,65,39,25,77,74,75,69,0,0,0,0,[]
86,25,11,52,76,43,52,75,88,80,91,64,52,72,68,30,16,81,83,80,79,0,0,0,0,[]
87,18,10,46,72,41,54,74,88,77,91,54,48,68,71,23,10,80,84,83,86,0,0,0,0,[]
88,18,14,39,65,36,57,76,88,77,90,51,49,72,63,23,9,80,85,81,85,0,0,0,0,[]
89,19,13,27,58,36,57,76,87,76,90,54,46,78,74,20,9,81,86,82,89,0,0,0,0,[]
90,17,11,23,55,44,53,75,88,76,91,50,50,70,79,25,10,83,83,84,87,0,0,0,0,[]
91,19,15,22,53,44,51,77,88,80,91,51,49,70,79,24,8,87,79,87,85,0,0,0,0,[]
92,17,16,29,50,44,53,80,86,82,88,50,50,70,80,21,9,84,79,87,85,0,0,0,0,[]
93,16,16,35,39,44,52,74,89,78,89,57,47,75,88,22,9,80,85,80,90,0,0,0,0,[]
94,15,15,40,30,40,55,73,90,65,94,49,40,78,88,20,11,78,86,78,87,0,0,0,0,[]
95,16,18,46,24,40,55,77,87,64,94,46,39,84,79,20,10,85,83,85,85,0,0,0,0,[]
96,16,17,45,23,7,95,73,88,3,96,49,49,87,68,20,8,84,85,82,90,0,0,0,0,[]
97,17,16,47,23,18,86,73,89,6,95,48,49,83,59,24,8,81,87,80,85,0,0,0,0,[]
98,17,15,41,22,32,67,74,91,15,95,47,40,83,56,22,8,81,87,78,83,0,0,0,0,[]
99,17,13,46,24,40,57,73,90,27,94,41,32,75,54,32,11,80,84,76,79,0,0,0,0,[]
100,17,14,45,28,44,49,75,89,39,93,41,31,74,54,35,12,79,76,79,75,0,0,0,0,[]
101,23,14,42,33,42,33,75,90,49,91,44,35,77,50,36,12,79,75,79,75,0,0,0,0,[]
102,30,18,44,38,42,38,73,91,50,81,45,36,73,43,30,9,77,80,77,80,0,0,0,0,"['8:27 OMGicon(英勇投弹手) 击杀了 V5Windy(解脱者),获得一血']"
