,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGHope, ,EDGMeiko, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
94,23,22,49,73,39,51,84,85,81,84,24,10,82,22,65,62,89,60,87,64,0,0,0,0,[]
95,21,14,48,73,46,58,81,86,81,84,25,10,81,34,63,52,87,72,86,75,0,0,0,0,[]
96,20,13,48,73,47,54,80,85,83,87,24,8,80,46,53,49,86,79,89,80,0,0,0,0,[]
97,22,9,40,66,45,52,82,87,79,85,26,8,82,55,52,50,86,81,87,82,0,0,0,0,[]
98,19,15,31,58,45,53,81,87,79,85,26,10,80,55,55,49,83,82,83,80,0,0,0,0,[]
99,20,14,24,51,49,51,80,88,80,88,32,7,75,53,66,51,83,80,80,79,0,0,0,0,[]
100,23,12,22,43,48,49,81,88,78,86,28,9,74,52,69,50,85,81,82,79,0,0,0,0,[]
101,24,11,16,34,45,48,81,87,79,86,27,7,72,53,66,50,85,83,83,81,0,0,0,0,[]
102,22,10,11,26,48,49,76,89,79,86,27,7,61,57,55,50,80,86,78,89,0,0,0,0,[]
103,22,11,11,15,42,54,68,88,72,87,29,9,57,66,51,51,73,87,73,88,0,0,0,0,['8:34 WEMystic(ÄæÓð) »÷É±ÁË EDGHope(Õ½ÕùÅ®Éñ)']
104,21,13,12,12,41,56,68,88,75,89,31,7,65,79,50,53,78,87,75,89,0,0,0,0,['8:39 EDGMeiko(Éîº£Ì©Ì¹) »÷É±ÁË WEMystic(ÄæÓð)']
105,25,13,13,11,40,57,68,88,74,91,95,4,74,87,49,49,78,87,76,89,0,0,0,0,['8:44 WEbeishang(ÁÝ¶¬Ö®Å­) »÷É±ÁË EDGMeiko(Éîº£Ì©Ì¹)']
106,29,8,17,10,39,59,2,96,74,91,81,5,69,90,45,55,78,87,71,92,0,0,0,0,[]
107,30,9,17,10,38,55,12,95,74,91,68,6,70,91,49,52,95,4,71,92,0,0,0,0,[]
108,28,9,12,95,43,52,23,94,2,96,59,12,70,90,51,51,93,16,81,90,0,0,0,0,[]
109,29,9,23,94,46,54,35,93,17,95,49,19,70,80,53,52,92,28,81,90,0,0,0,0,[]
110,27,9,35,92,44,53,46,93,31,93,42,16,70,80,57,49,91,40,95,4,0,0,0,0,[]
111,25,7,46,91,39,58,56,91,45,91,31,10,91,5,52,52,89,53,93,10,0,0,0,0,[]
112,20,15,54,83,39,58,65,92,57,85,28,8,78,11,50,52,88,65,88,24,0,0,0,0,[]
113,19,23,54,84,6,94,74,88,69,79,26,10,68,18,47,54,88,77,89,39,0,0,0,0,[]
114,19,23,59,83,14,86,77,85,79,74,25,12,58,23,50,53,88,83,89,53,0,0,0,0,[]
115,4,91,61,83,24,77,79,83,78,79,25,12,48,25,51,51,89,81,87,68,0,0,0,0,[]
116,5,75,67,82,35,67,83,87,80,85,16,16,47,24,54,49,85,79,85,79,0,0,0,0,[]
117,7,62,75,75,41,58,81,83,83,85,14,18,43,18,54,49,89,81,86,79,0,0,0,0,[]
118,8,48,78,73,45,55,82,81,85,80,17,16,42,17,89,7,89,74,90,74,0,0,0,0,[]
119,7,36,74,65,51,49,79,74,77,73,17,16,43,17,79,17,90,75,92,74,0,0,0,0,[]
120,10,28,68,63,49,48,77,74,67,64,88,4,49,22,71,26,89,73,87,73,0,0,0,0,[]
121,11,27,61,61,51,47,74,74,75,72,76,5,52,34,64,37,87,76,85,77,0,0,0,0,[]
122,10,23,54,61,49,50,79,82,77,73,62,7,52,35,55,43,88,75,86,74,0,0,0,0,[]
123,14,15,44,55,35,49,79,83,83,79,50,8,59,35,55,45,89,76,87,76,0,0,0,0,[]
124,18,17,35,48,34,41,80,86,84,88,38,9,55,45,50,51,85,81,84,79,0,0,0,0,[]
125,30,22,30,37,35,48,83,87,80,84,27,8,54,54,46,53,88,80,83,79,0,0,0,0,[]
126,42,24,27,36,43,54,73,85,73,85,25,10,62,62,50,52,86,77,79,75,0,0,0,0,[]
127,45,23,33,30,41,55,70,81,69,78,21,12,61,62,49,59,80,76,78,74,0,0,0,0,[]
128,39,16,30,32,44,53,72,85,69,80,24,10,63,70,48,66,83,80,80,79,0,0,0,0,[]
129,31,16,28,32,36,49,65,89,59,83,23,9,64,70,53,64,82,85,84,85,0,0,0,0,[]
130,19,13,30,32,33,37,67,93,60,85,27,9,66,71,53,57,73,92,74,89,0,0,0,0,[]
