,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
28,14,15,22,54,39,56,77,89,79,88,19,12,57,84,44,56,82,84,85,85,3529,0,4150,0,[]
29,16,13,30,49,40,55,76,88,77,89,20,11,61,84,45,55,82,81,84,89,3643,0,4248,0,[]
30,16,12,38,38,43,54,74,90,74,87,25,9,70,79,50,53,81,82,81,90,3708,0,4313,0,[]
31,20,12,41,28,41,52,76,89,76,89,24,10,74,68,48,55,82,84,84,88,3784,0,4436,0,[]
32,19,13,43,23,43,53,75,88,78,91,22,10,68,60,49,53,81,83,82,90,3855,0,4594,0,[]
33,19,12,46,23,43,53,75,90,76,91,23,9,69,50,48,54,79,85,81,91,3922,0,4640,0,[]
34,19,12,47,24,42,53,72,86,74,87,23,9,73,43,49,54,81,83,82,90,4154,0,4800,0,[]
35,20,10,51,29,42,53,73,88,73,87,25,9,74,43,52,54,84,85,82,90,4265,0,5112,0,[]
36,23,13,51,35,46,52,69,91,72,87,27,8,77,49,50,54,78,87,80,91,4366,0,5214,0,[]
37,20,14,47,35,46,53,68,93,69,89,26,8,75,52,47,50,76,88,76,90,4683,0,5375,0,[]
38,21,12,47,39,45,54,70,90,70,89,26,9,77,53,49,49,76,87,77,90,4796,0,5482,0,[]
39,22,13,52,49,50,53,71,92,69,89,25,8,80,55,51,52,76,86,77,90,5290,0,5700,0,[]
40,22,12,53,49,54,49,68,94,66,91,25,8,82,56,57,47,74,87,76,89,5418,0,5807,0,['3:19 WEbeishang(虚空遁地兽) 击杀了 RNGXiaohu(天启者)']
41,18,15,52,54,54,50,67,93,68,91,22,10,83,56,57,47,71,87,74,92,5531,0,5966,0,[]
42,17,18,40,51,53,46,68,91,70,94,22,10,76,57,95,4,70,88,76,90,5606,0,6061,0,[]
43,23,22,31,44,51,48,70,94,71,93,22,10,70,62,95,4,74,90,74,92,5783,0,6131,0,[]
44,16,17,35,39,49,50,72,89,74,92,17,13,62,60,54,46,77,92,79,88,5834,0,6250,0,[]
45,13,18,40,44,44,43,70,91,68,89,16,14,59,61,55,46,78,91,77,87,5983,0,6441,0,[]
46,12,20,41,39,44,43,70,90,70,89,15,14,62,62,55,53,77,91,77,87,6055,0,6562,0,[]
47,11,20,41,39,2,96,69,91,68,89,17,16,62,62,55,52,75,90,74,88,6109,0,6685,0,[]
48,10,19,5,95,2,96,69,94,68,88,16,21,92,9,55,45,74,90,75,91,6194,0,6910,0,[]
49,8,22,17,87,47,50,72,92,72,87,11,19,85,18,54,46,77,90,80,89,6287,0,7010,0,[]
50,11,22,28,82,49,48,76,93,78,91,15,18,76,26,56,46,82,90,81,87,6423,0,7114,0,[]
51,10,22,37,74,49,47,69,94,74,91,14,16,69,35,56,48,81,88,83,89,6494,0,7238,0,[]
52,9,21,45,67,49,48,69,94,71,85,13,20,66,45,55,47,80,88,82,89,6579,0,7474,0,[]
53,9,21,46,66,43,51,7,96,71,88,12,19,65,57,50,50,82,89,74,88,6749,0,7668,0,[]
54,9,26,49,65,40,52,13,95,68,91,12,20,55,63,44,54,72,90,72,90,6888,0,7770,0,[]
55,6,26,46,67,42,52,24,94,68,92,9,22,59,69,46,52,75,91,73,89,7037,0,7819,0,[]
56,9,25,51,68,43,53,35,93,68,92,11,18,51,77,49,52,72,87,74,89,7102,0,7962,0,[]
57,8,24,51,60,46,53,46,92,68,93,12,19,55,84,48,55,73,91,73,89,7228,0,8040,0,[]
58,8,24,44,53,45,51,57,92,69,94,15,19,62,88,39,50,67,90,71,90,7352,0,8256,0,[]
59,10,23,35,48,38,43,49,93,68,89,14,16,52,93,32,40,65,89,67,88,7730,0,8323,0,[]
60,15,22,37,41,40,37,53,93,67,89,19,17,59,94,42,37,64,90,64,88,7810,0,8824,0,['4:57 WEMissing(深海泰坦) 击杀了 RNGMing(堕落天使)']
61,10,21,48,40,46,39,63,91,70,94,26,13,69,94,53,42,71,89,64,88,8213,0,8979,0,"['5:4 RNGKarsa(狂战士) 击杀了 WEMissing(深海泰坦)', '5:5 WEMystic(虚空之女) 击杀了 RNGKarsa(狂战士)']"
62,13,15,50,50,49,49,71,89,70,94,25,14,69,94,55,43,77,88,95,5,8341,0,9086,0,[]
63,13,14,54,64,53,48,72,88,70,94,20,13,69,94,53,43,78,88,93,13,8434,0,9200,0,[]
64,15,14,61,74,50,50,72,92,13,95,22,11,88,6,54,46,76,90,92,24,8556,0,9280,0,[]
65,15,12,72,78,52,52,68,92,28,94,22,12,77,7,54,44,78,84,88,33,8672,0,9331,0,[]
66,16,15,84,82,53,53,76,88,42,92,22,10,65,8,53,45,87,82,81,41,8770,0,9414,0,[]
67,19,11,91,77,51,49,84,82,56,90,24,11,54,11,55,47,92,76,84,51,9246,0,9491,0,[]
68,23,12,91,79,53,49,87,78,71,88,26,12,44,14,57,43,93,73,87,60,9420,0,9556,0,['5:37 WEbeishang(虚空遁地兽) 击杀了 RNGUzi(战争女神)']
69,19,11,90,80,54,46,87,77,83,81,24,10,40,17,59,42,93,73,88,67,9670,0,9643,0,[]
70,22,10,80,86,53,46,89,81,86,76,26,8,42,18,59,41,95,6,92,68,9750,0,9905,0,[]
71,28,12,68,88,54,45,85,88,77,73,27,7,39,17,57,42,94,17,91,75,9804,0,10013,0,[]
72,35,16,57,84,48,48,85,88,68,64,27,8,47,16,53,45,93,29,91,71,9854,0,10175,0,[]
73,34,21,59,83,50,46,7,96,61,57,26,9,51,26,56,47,93,41,90,73,10027,0,10277,0,[]
74,40,26,59,83,51,47,10,95,57,54,28,8,56,33,54,44,91,53,89,78,10140,0,10346,0,[]
75,49,32,58,83,52,47,21,94,57,55,22,9,66,39,56,43,89,65,86,81,10261,0,10465,0,[]
76,58,34,64,83,61,41,32,93,60,44,21,11,68,41,61,40,89,73,79,75,10767,0,10541,0,[]
77,63,39,64,77,61,41,43,92,62,41,21,11,62,40,62,42,86,76,72,67,10875,0,11078,0,"['6:23 WExiye(解脱者) 击杀了 RNGXiaohu(天启者)', '6:24 RNGKarsa(狂战士) 击杀了 WExiye(解脱者)']"
78,56,50,57,67,61,41,54,91,66,40,67,44,65,39,62,42,86,76,64,59,10927,0,11622,0,[]
79,45,53,56,67,61,41,65,89,66,40,57,44,71,41,62,42,83,79,64,60,10979,0,11720,0,['6:31 RNGKarsa(狂战士) 击杀了 WEMissing(深海泰坦)']
80,41,56,56,67,61,41,70,89,66,40,57,43,73,42,95,4,84,79,68,65,11029,0,11935,0,[]
81,41,56,7,93,8,86,68,92,66,40,50,41,78,51,89,6,85,79,72,67,11080,0,12007,0,[]
82,3,93,7,93,16,78,72,92,15,94,46,39,74,61,81,13,87,81,78,75,11133,0,12104,0,[]
83,5,84,21,86,25,71,71,87,31,92,46,39,68,63,73,23,84,81,84,82,11184,0,12281,0,[]
84,6,73,32,79,33,63,75,88,43,91,89,4,73,62,65,34,82,83,85,84,11236,0,12346,0,[]
85,7,62,46,74,43,57,71,87,57,90,77,5,74,61,56,43,78,88,79,89,11301,0,12434,0,[]
86,8,50,49,74,44,54,71,90,71,88,65,7,95,4,51,50,80,89,77,91,11416,0,12604,0,[]
87,8,37,47,73,44,54,72,91,72,88,53,8,89,14,54,49,79,89,77,86,11686,0,12742,0,[]
88,11,26,52,76,48,57,71,89,70,92,41,10,84,25,53,50,78,82,77,80,11935,0,12793,0,[]
89,9,24,60,70,55,66,69,90,68,89,28,12,81,36,54,44,75,90,70,79,12067,0,12872,0,[]
90,10,25,52,66,55,59,69,92,71,93,19,18,80,47,54,45,74,88,78,82,12138,0,13007,0,[]
91,10,21,46,64,49,50,70,91,72,94,17,21,69,50,54,48,76,89,78,90,12319,0,13101,0,[]
92,9,23,48,65,48,48,72,88,75,91,14,19,62,57,53,48,81,86,81,86,12448,0,13245,0,[]
93,7,25,53,61,50,53,76,89,79,90,12,22,54,57,55,51,81,85,84,88,12689,0,13388,0,[]
94,9,23,56,65,53,54,85,87,83,87,8,23,57,62,61,59,84,80,89,78,12854,0,13989,0,[]
95,8,24,55,65,56,65,81,88,82,89,15,17,55,64,57,62,82,84,88,81,12941,0,14556,0,['7:53 RNGKarsa(狂战士) 击杀了 WEbeishang(虚空遁地兽)']
96,17,19,55,65,56,65,81,89,83,90,24,11,63,63,54,58,83,83,88,79,13027,0,14646,0,['7:56 RNGKarsa(狂战士) 击杀了 WExiye(解脱者)']
97,21,12,55,65,56,65,82,86,87,85,25,9,67,60,49,54,85,78,88,76,13079,0,14813,0,[]
98,23,10,4,95,56,65,80,85,85,86,25,9,66,64,48,57,85,80,87,73,13152,0,14899,0,[]
99,19,13,15,84,56,65,79,87,83,88,22,13,66,65,56,67,84,82,85,78,13303,0,14992,0,[]
100,21,12,18,71,5,90,82,88,78,86,23,8,67,65,60,72,83,80,84,82,13381,0,15245,0,[]
101,27,14,23,58,14,81,78,89,70,91,27,8,68,64,63,76,82,81,81,79,13443,0,15361,0,['8:21 RNG 击杀了火龙']
102,24,25,22,54,23,73,74,92,75,89,24,8,68,64,54,64,78,75,79,74,13600,0,15446,0,[]
103,25,29,22,53,32,65,76,89,77,87,30,9,92,4,48,55,78,75,79,74,13762,0,15552,0,[]
104,23,26,15,44,42,54,79,84,82,85,22,13,81,9,48,52,76,67,94,8,13876,0,15606,0,[]
105,17,17,15,43,43,52,82,82,84,85,19,12,69,17,51,50,80,65,92,15,14246,0,15750,0,[]
106,16,14,18,44,44,52,88,84,83,88,22,12,58,23,53,49,88,69,86,25,14420,0,15819,0,[]
107,14,16,24,47,34,49,87,85,83,88,24,12,53,29,54,47,91,69,81,35,14491,0,15947,0,[]
108,14,14,21,48,24,48,4,96,6,96,24,14,52,27,52,51,88,69,80,47,14658,0,16247,0,[]
109,14,15,28,56,26,50,13,95,13,94,21,12,53,35,50,49,91,73,75,57,14795,0,16488,0,[]
110,15,15,38,64,37,50,27,93,27,93,25,12,51,30,56,46,85,78,76,68,14887,0,16581,0,[]
111,16,14,48,74,42,54,39,92,42,92,22,10,50,19,56,46,85,80,77,76,14982,0,16699,0,[]
112,15,14,56,83,48,50,52,91,56,89,23,11,40,15,91,6,85,80,69,68,15167,0,16750,0,[]
113,18,11,56,83,53,45,64,91,70,91,23,11,40,16,84,10,94,6,67,56,15290,0,16902,0,[]
114,16,12,57,83,50,49,72,89,71,86,24,11,39,14,75,20,94,9,66,50,15573,0,16994,0,[]
115,23,11,63,83,53,48,78,86,69,79,24,11,37,15,68,30,93,19,65,53,15635,0,17106,0,[]
116,17,11,72,76,56,46,79,83,74,70,20,12,29,19,59,39,92,32,59,50,15710,0,17239,0,[]
117,8,17,76,63,44,52,82,81,80,64,12,13,18,22,52,46,91,45,52,48,15819,0,17318,0,[]
118,5,25,83,65,46,53,81,82,84,64,7,23,7,25,59,48,89,56,63,50,15902,0,17839,0,[]
119,7,27,83,64,51,51,84,78,83,65,13,19,14,21,70,50,92,59,75,50,15953,0,17890,0,['9:52 RNGKarsa(狂战士) 击杀了 WEPoss(荒漠屠夫)']
120,7,27,84,66,51,49,88,72,82,65,23,12,19,26,80,54,93,67,81,57,16233,0,18056,0,[]
121,7,27,83,60,53,47,83,61,83,61,25,10,26,33,82,57,87,65,83,60,16772,0,18149,0,['10:4 WEMissing(深海泰坦) 击杀了 RNGMing(堕落天使)']
122,7,27,77,56,59,49,82,60,82,62,17,14,29,37,80,51,86,64,83,60,16822,0,18803,0,[]
123,7,27,74,62,71,51,78,67,81,66,16,15,33,38,80,52,87,75,83,60,16873,0,18904,0,['10:12 RNGUzi(战争女神) 击杀了 WEMissing(深海泰坦)']
124,3,95,77,59,76,59,79,71,81,66,17,13,27,33,77,48,88,76,83,60,16955,0,19061,0,[]
125,5,81,74,57,74,59,80,83,81,66,16,16,18,23,89,55,89,79,94,13,17028,0,19262,0,[]
126,5,68,74,58,74,57,80,85,81,66,13,23,11,23,94,59,87,81,93,25,17181,0,19408,0,[]
127,7,55,79,65,72,64,80,86,7,96,10,24,14,22,92,73,88,83,92,36,17231,0,19536,0,[]
128,7,40,87,74,79,74,79,83,21,94,16,22,18,24,89,84,88,80,91,48,17359,0,20057,0,[]
129,7,28,89,77,82,78,82,81,35,92,16,22,18,24,86,79,86,77,90,60,17529,0,20135,0,['10:42 RNGUzi(战争女神) 击杀了 WEbeishang(虚空遁地兽)']
130,8,28,89,77,70,78,74,89,50,91,92,4,90,14,78,79,81,86,87,71,17635,0,20233,0,[]
131,8,25,89,77,57,70,71,90,64,90,87,5,82,23,71,69,76,89,82,78,17837,0,20288,0,[]
132,18,23,89,77,50,61,71,91,72,93,74,6,72,31,60,59,75,89,78,83,17904,0,20353,0,[]
133,26,33,5,95,43,54,71,93,72,93,62,7,62,37,50,53,75,89,78,91,18077,0,20538,0,[]
134,22,25,19,85,41,53,63,89,64,89,50,7,54,45,47,53,71,83,74,87,18165,0,20814,0,[]
135,17,14,32,89,42,53,66,93,67,90,38,10,54,56,46,52,74,92,72,92,18365,0,20930,0,[]
136,15,18,43,83,47,52,69,91,68,89,26,12,57,68,54,54,75,89,75,91,18463,0,21020,0,[]
137,12,13,47,72,51,48,69,94,67,90,22,13,65,78,57,47,76,87,80,87,18513,0,21120,0,[]
138,17,9,46,66,47,48,68,88,71,88,25,11,68,82,52,49,79,87,85,80,18702,0,21234,0,[]
139,20,11,48,66,49,47,65,89,62,86,20,10,70,79,54,47,76,88,79,87,18870,0,21328,0,[]
140,13,14,56,68,53,54,68,90,63,84,17,12,72,76,57,45,79,86,78,84,18941,0,21463,0,[]
141,16,13,61,62,61,61,73,90,69,81,22,12,74,63,57,43,79,85,79,83,19178,0,21759,0,[]
142,18,13,54,66,59,57,71,91,73,89,24,11,78,54,59,41,86,76,86,75,19430,0,21810,0,[]
143,18,12,40,66,53,49,74,88,78,87,25,12,82,55,59,41,86,76,87,73,19570,0,21947,0,[]
144,17,13,28,58,50,48,75,90,80,83,25,10,76,46,95,4,93,7,95,4,19736,0,22078,0,[]
145,22,11,25,56,46,44,75,90,79,75,23,12,72,42,95,4,94,12,87,16,19952,0,22145,0,[]
146,17,10,27,59,46,44,7,96,73,72,22,11,62,35,55,46,93,25,76,26,20023,0,22301,0,[]
147,21,9,39,66,4,94,13,95,69,78,25,10,52,34,49,40,91,37,67,37,20106,0,22516,0,[]
148,15,14,48,73,10,84,25,93,69,78,26,9,47,37,52,49,89,52,63,51,20167,0,22597,0,[]
149,16,14,51,75,23,73,40,92,13,94,26,10,49,42,44,54,88,65,64,57,20318,0,22728,0,[]
150,16,14,56,82,32,65,53,90,27,93,24,11,55,54,47,55,85,77,63,59,20389,0,22865,0,[]
151,19,14,57,83,40,57,65,89,42,91,22,12,54,59,55,59,82,80,63,62,20596,0,22972,0,[]
152,13,15,57,83,45,53,77,88,56,89,18,14,59,62,57,70,83,80,55,66,20737,0,23121,0,[]
153,12,17,58,83,46,54,75,89,70,89,18,15,60,73,50,79,78,82,59,77,20964,0,23677,0,[]
154,12,23,59,83,47,54,70,92,68,90,21,12,60,85,58,85,74,88,68,81,21059,0,23771,0,['12:49 RNGKarsa(狂战士) 击杀了 WEbeishang(虚空遁地兽)']
155,10,29,59,83,52,48,67,91,68,88,23,13,68,82,68,81,78,88,69,78,21215,0,23852,0,[]
156,11,21,59,83,53,47,57,89,57,84,19,23,65,83,71,69,74,88,66,84,21421,0,24001,0,[]
157,15,10,59,83,57,44,63,90,61,84,17,13,68,81,66,57,76,88,68,83,21631,0,24152,0,[]
158,16,15,59,83,54,42,67,92,65,88,19,14,69,83,58,47,79,90,67,84,21754,0,24472,0,[]
159,13,13,59,83,43,39,68,92,71,93,15,12,71,87,55,45,73,89,73,88,21848,0,24566,0,[]
160,19,14,6,94,42,45,68,92,71,93,27,10,71,84,49,51,72,89,74,89,22229,0,24799,0,[]
161,20,25,18,87,46,49,72,93,68,89,26,8,71,78,49,54,72,88,76,87,22282,0,24981,0,[]
162,27,36,27,76,46,48,67,93,62,86,23,11,70,68,51,50,74,88,76,87,22438,0,25158,0,[]
163,26,34,36,66,48,51,64,89,57,83,19,14,70,67,53,49,78,87,81,90,22521,0,25273,0,[]
164,18,24,48,66,56,57,66,92,52,77,15,16,68,67,59,50,76,89,77,90,22593,0,25431,0,[]
165,12,19,61,63,65,64,66,92,67,78,16,15,70,68,65,56,74,92,73,92,22750,0,26435,0,['13:45 RNG 击杀了风龙']
166,13,17,57,66,59,63,62,88,64,77,25,13,63,63,61,60,71,84,70,82,22841,0,26494,1,"['13:47 RNGUzi(战争女神) 击破了防御塔,获得一塔']"
167,8,17,54,76,58,70,51,83,53,77,56,68,58,69,57,68,60,74,58,75,22896,0,27084,1,[]
168,59,83,51,84,58,70,55,88,55,85,58,69,61,77,59,73,64,78,60,75,22974,0,27191,1,['13:56 RNGUzi(战争女神) 击杀了 WExiye(解脱者)']
169,60,85,40,77,58,70,63,91,66,89,50,55,56,64,56,60,72,71,56,63,23025,0,27327,1,[]
170,60,85,43,69,58,70,75,87,76,87,45,48,50,54,47,54,69,65,47,55,23212,0,27400,1,[]
171,12,90,45,64,58,70,79,87,82,89,35,39,43,45,41,54,75,64,44,56,23363,0,27624,1,[]
172,18,79,44,67,58,70,80,88,83,89,28,32,36,39,42,54,85,66,54,57,23444,0,27718,1,[]
173,27,69,34,61,58,70,83,88,3,95,19,24,37,36,47,53,90,71,63,58,23496,0,27923,1,[]
174,31,58,33,48,2,96,83,80,4,95,15,21,41,28,48,53,88,67,64,57,23569,0,28018,1,[]
175,32,45,31,40,46,53,83,81,10,82,11,22,46,23,52,49,88,67,95,4,23726,0,28232,1,[]
176,22,38,25,44,44,51,83,80,16,69,12,21,47,16,52,49,83,62,90,12,24276,0,28416,1,[]
177,11,32,26,48,37,43,81,82,18,53,12,22,42,16,58,45,85,65,86,25,24410,0,28738,1,[]
178,9,23,24,48,29,50,76,89,22,41,21,14,44,17,51,41,88,72,75,33,24647,0,28912,1,[]
179,11,23,30,35,24,41,76,89,31,31,24,14,43,16,46,37,89,68,59,33,24719,0,29049,1,[]
180,18,23,34,31,31,33,2,96,32,30,95,4,43,16,51,49,87,66,46,33,24789,0,29170,1,[]
181,16,21,31,34,32,34,6,89,31,32,95,4,92,7,54,48,87,66,38,32,24926,0,29223,1,[]
182,16,15,31,34,31,35,14,79,29,33,94,6,80,12,57,44,89,4,43,37,25082,0,29275,1,[]
183,20,24,32,32,31,35,24,71,30,33,94,7,68,18,57,44,86,5,39,31,25234,0,29326,1,[]
184,27,34,30,33,34,48,32,64,32,35,93,22,57,28,88,8,72,6,39,25,25299,0,29389,1,[]
185,35,31,22,46,42,56,23,58,37,38,92,35,53,36,77,19,57,7,47,22,25472,0,29542,1,[]
186,26,30,17,45,47,55,24,52,44,46,90,48,62,36,65,30,43,8,38,15,25737,0,29595,1,[]
187,18,23,19,46,48,56,28,51,48,49,88,61,72,43,57,41,29,11,26,23,26029,0,29722,1,[]
188,19,26,32,38,48,51,33,47,45,47,86,75,76,47,55,47,21,10,29,20,26090,0,30121,1,[]
189,19,31,34,39,38,49,27,38,34,40,82,84,73,54,59,50,27,12,26,18,26147,0,30315,1,[]
190,19,31,6,93,39,50,16,34,21,38,80,86,77,51,70,50,30,19,26,18,26192,0,30549,1,[]
191,11,95,14,80,47,51,6,32,10,32,79,76,66,50,61,51,30,19,90,6,26536,0,30620,1,[]
192,26,95,18,67,45,51,8,27,11,30,78,83,55,42,51,50,23,14,76,13,26653,0,30768,1,[]
193,42,92,30,55,39,50,7,26,11,32,69,89,43,39,49,43,18,15,57,11,26708,0,31053,1,[]
194,54,92,33,43,33,43,8,24,3,94,65,91,41,36,43,37,19,19,43,14,26821,0,31147,1,[]
195,59,91,35,48,34,47,7,29,11,83,67,80,34,39,35,37,19,25,29,20,27040,0,31228,1,[]
196,59,91,33,46,40,51,10,35,16,70,58,70,28,37,30,35,22,25,24,33,27114,0,31376,1,[]
197,66,83,36,49,48,49,10,42,18,56,56,58,28,33,38,39,19,20,30,37,27164,0,31428,1,[]
198,78,86,38,50,47,51,8,35,24,44,51,50,17,23,28,36,10,21,21,27,27238,0,31613,1,[]
199,84,81,31,45,49,51,17,34,21,38,54,46,18,24,27,35,12,22,21,29,27458,0,31927,1,[]
200,86,82,31,44,42,45,13,34,23,42,54,48,12,24,24,35,7,25,23,34,27691,0,32068,1,[]
201,87,76,29,36,31,39,8,33,20,35,65,50,11,27,18,23,6,26,15,21,27900,0,32143,1,[]
202,91,70,24,37,23,38,6,34,9,33,78,55,7,29,8,26,6,26,5,29,28083,0,32738,1,[]
203,91,70,22,43,24,37,5,37,15,37,86,65,12,25,15,21,8,31,11,30,28164,0,32971,2,['16:52 RNGMing(堕落天使) 击破了防御塔']
204,81,77,35,43,37,41,6,39,15,37,91,71,21,28,24,33,9,28,12,25,28288,0,33109,2,[]
205,78,77,43,47,47,48,9,37,19,35,87,67,33,36,38,37,19,23,20,28,28388,0,33161,2,[]
206,85,80,38,49,49,49,11,37,22,45,88,76,33,43,50,43,25,34,29,37,28525,0,33327,2,[]
207,86,82,40,60,48,57,7,36,20,49,89,74,40,44,47,46,38,40,42,42,28617,0,33398,2,[]
208,78,75,33,55,39,61,6,34,31,56,88,77,43,35,49,51,46,49,44,43,28733,0,33555,2,[]
209,69,78,34,59,35,58,8,36,39,54,90,69,39,27,46,48,46,52,44,43,28826,0,33813,2,[]
210,70,83,40,65,41,55,8,36,41,54,90,69,43,18,47,41,51,50,88,8,29002,0,33975,2,[]
211,81,85,45,63,41,55,7,93,41,55,95,8,43,17,39,27,64,50,78,19,29222,0,34076,2,[]
212,83,83,46,64,38,56,18,85,40,61,93,23,42,16,27,17,78,50,69,31,29496,0,34127,2,[]
213,78,85,48,74,38,56,26,76,40,61,92,36,95,4,19,14,79,53,66,46,29543,0,34237,2,[]
214,78,85,55,82,6,89,35,67,6,93,91,50,86,14,19,15,78,52,66,46,29664,0,34467,2,[]
215,3,96,58,83,10,71,46,72,15,88,91,63,76,25,22,14,66,50,65,51,29745,0,34650,2,[]
216,18,93,57,84,11,58,45,70,25,78,92,71,65,33,22,14,53,50,55,53,29958,0,34849,2,[]
217,31,92,56,81,10,43,39,61,34,65,82,78,53,33,86,9,49,44,53,53,30085,0,35054,2,[]
218,45,89,44,69,9,32,41,54,43,56,84,80,55,32,73,19,49,44,63,64,30298,0,35169,2,[]
219,56,90,31,60,10,27,45,56,48,49,80,78,67,39,59,23,93,5,65,67,30507,0,35222,2,[]
220,69,89,24,56,11,25,44,51,45,47,69,79,74,44,44,16,82,13,65,67,30762,0,35404,2,[]
221,66,89,20,49,21,24,48,48,40,38,71,78,69,48,30,16,73,24,92,5,30908,0,35470,2,[]
222,68,82,23,36,21,23,48,47,38,39,72,78,64,58,26,12,64,35,81,16,31077,0,35549,2,[]
223,60,83,19,24,16,15,48,46,41,30,69,80,57,55,28,17,56,45,71,27,31157,0,35746,2,[]
224,57,70,33,17,25,14,41,38,36,18,77,80,65,64,35,16,55,53,61,36,31678,0,35917,2,[]
225,45,67,30,18,30,15,41,35,31,18,82,85,64,71,35,17,62,63,53,48,31759,0,36094,2,['18:42 WEbeishang(虚空遁地兽) 击杀了 RNGXiaohu(天启者)']
226,45,71,29,19,19,12,32,44,26,24,71,88,65,71,35,17,66,66,55,56,31902,0,36146,2,[]
227,49,82,32,18,29,11,40,51,32,35,69,89,64,71,35,17,58,57,55,48,31952,0,36239,2,[]
228,60,87,37,26,29,7,42,52,42,45,94,4,66,67,35,17,53,50,55,45,32778,0,36454,2,['18:59 RNG 击杀了土龙']
229,63,91,41,31,33,10,47,47,48,49,81,5,57,57,35,17,58,40,59,35,32933,1,36506,2,['19:1 WExiye(解脱者) 击破了防御塔']
230,62,94,46,39,42,19,48,45,49,47,66,7,52,56,35,17,53,42,54,43,32983,1,36619,2,[]
231,74,89,41,45,42,22,40,45,41,52,52,9,49,47,35,17,51,53,50,43,33120,1,36738,2,[]
232,79,84,45,56,31,22,44,50,47,53,47,10,57,48,35,17,53,48,53,48,33166,1,36870,2,[]
233,87,74,57,61,27,30,49,52,47,51,47,15,66,58,93,15,55,47,54,48,33280,1,36942,2,[]
234,91,71,55,59,35,39,48,55,47,51,51,28,65,56,91,31,53,49,55,48,33332,1,37072,2,[]
235,91,70,57,60,26,33,49,55,47,51,48,40,64,57,90,47,54,49,54,52,34063,1,37243,2,[]
