,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
92,11,23,42,38,45,54,69,91,55,91,83,5,77,11,52,49,76,89,76,91,0,0,0,0,[]
93,10,20,50,42,52,49,68,92,67,90,71,6,66,19,60,43,77,86,82,89,0,0,0,0,[]
94,14,19,50,35,41,55,70,90,72,91,58,7,57,29,61,42,85,78,84,88,0,0,0,0,[]
95,18,24,45,36,44,49,71,88,72,85,46,8,50,33,94,4,87,72,95,4,0,0,0,0,[]
96,18,24,45,34,45,44,76,88,75,77,33,8,57,28,90,5,87,72,93,17,0,0,0,0,[]
97,4,94,41,32,50,48,84,83,86,78,26,8,52,21,79,16,94,9,91,30,0,0,0,0,[]
98,22,25,44,24,48,50,83,79,83,79,20,12,53,27,65,34,93,18,91,43,0,0,0,0,[]
99,35,23,46,24,47,45,84,78,75,70,17,13,52,27,55,44,92,30,89,57,0,0,0,0,[]
100,38,24,53,27,46,34,80,76,66,62,19,16,54,30,52,43,91,42,87,65,0,0,0,0,[]
101,39,26,45,24,40,32,73,70,58,55,25,23,50,33,44,38,90,54,91,70,0,0,0,0,[]
102,41,33,40,29,36,29,65,62,50,50,25,28,44,36,39,37,89,66,91,71,0,0,0,0,[]
103,39,32,46,34,42,25,57,55,47,36,35,30,47,36,38,25,86,76,82,78,0,0,0,0,[]
104,47,23,41,31,45,23,57,64,41,32,38,26,44,34,35,24,83,84,82,84,0,0,0,0,[]
105,41,32,35,23,37,25,61,74,34,23,30,19,44,34,31,17,82,88,77,85,0,0,0,0,[]
106,44,44,27,15,29,20,63,87,29,18,27,16,44,34,28,12,73,92,69,90,0,0,0,0,[]
107,46,51,29,21,24,28,61,92,24,25,28,20,88,16,28,19,72,90,69,94,0,0,0,0,[]
108,51,47,29,21,23,35,65,92,28,35,23,30,78,25,24,25,71,90,71,92,0,0,0,0,[]
109,45,52,29,21,23,34,58,92,34,38,19,24,69,34,31,22,67,89,62,93,0,0,0,0,[]
110,45,52,2,96,35,30,48,91,42,47,11,23,58,43,41,26,54,92,50,92,0,0,0,0,[]
111,3,93,16,95,40,28,52,92,44,49,10,22,55,44,41,24,60,89,57,91,0,0,0,0,[]
112,5,84,27,92,36,38,52,92,39,40,11,20,44,39,39,32,67,84,65,84,0,0,0,0,[]
113,6,72,38,88,36,38,52,92,32,50,10,26,34,39,47,40,75,88,75,88,0,0,0,0,[]
114,7,61,50,88,36,38,6,96,31,51,8,30,26,35,50,48,72,90,71,91,0,0,0,0,[]
115,7,46,55,83,36,38,69,92,3,96,8,31,23,32,50,48,77,88,78,89,0,0,0,0,[]
116,6,35,57,83,36,38,74,88,8,94,9,25,23,42,52,46,81,87,81,88,0,0,0,0,[]
117,5,31,55,84,7,87,70,91,22,93,8,28,23,44,52,46,88,81,87,85,0,0,0,0,[]
118,7,28,51,83,17,80,71,90,34,92,10,25,23,42,94,5,91,72,87,85,0,0,0,0,[]
119,6,27,50,73,26,70,75,87,46,91,11,22,22,31,90,7,91,72,95,5,0,0,0,0,[]
120,5,31,49,74,35,59,84,81,58,90,9,21,23,23,80,17,93,9,93,18,0,0,0,0,[]
121,6,26,47,73,43,52,87,78,69,88,12,22,33,17,74,27,94,15,92,31,0,0,0,0,[]
122,9,21,46,64,46,52,83,81,80,84,14,20,40,16,66,35,92,27,91,45,0,0,0,0,[]
123,10,23,45,64,47,50,82,82,84,80,15,19,40,16,57,42,91,40,90,58,0,0,0,0,[]
124,5,29,38,64,35,48,79,76,77,72,14,21,39,16,53,47,91,53,93,69,0,0,0,0,[]
125,7,28,28,60,33,40,88,75,80,75,11,14,37,15,53,46,91,66,92,68,0,0,0,0,[]
126,10,27,23,55,40,43,88,75,87,83,11,14,37,15,55,45,93,67,91,67,0,0,0,0,[]
127,11,24,21,48,48,50,86,79,89,80,95,4,92,9,54,45,92,72,91,70,0,0,0,0,[]
128,10,22,21,47,47,49,80,84,85,86,83,5,91,10,54,47,88,78,89,80,0,0,0,0,[]
129,13,19,16,44,47,55,77,88,81,87,69,6,85,23,53,46,81,79,82,79,0,0,0,0,[]
130,13,22,20,44,48,51,73,90,75,90,55,8,81,36,47,38,79,82,71,78,0,0,0,0,[]
131,13,22,32,44,49,52,69,91,73,89,41,8,79,50,53,33,74,78,70,79,0,0,0,0,[]
132,4,85,41,39,48,53,69,90,67,88,28,9,81,55,58,34,82,85,81,82,0,0,0,0,[]
133,6,72,47,38,50,48,72,86,73,87,21,12,78,51,58,43,78,90,79,87,0,0,0,0,[]
134,7,60,42,39,50,49,68,91,70,90,16,15,74,43,57,46,77,89,74,87,0,0,0,0,[]
