,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
75,6,64,71,68,53,57,83,80,83,79,12,17,66,59,57,44,89,71,89,71,0,0,0,0,[]
76,7,47,66,62,62,62,85,78,75,71,8,17,68,52,56,43,90,71,90,71,0,0,0,0,[]
77,8,31,72,65,67,66,88,74,69,68,8,17,77,50,57,46,91,69,91,69,0,0,0,0,[]
78,7,28,70,67,61,61,89,74,70,62,92,4,77,53,49,50,91,68,91,68,0,0,0,0,[]
79,9,26,66,69,50,59,88,75,75,70,90,4,76,60,51,48,90,69,90,69,0,0,0,0,[]
80,9,22,67,70,47,52,87,79,82,78,90,14,71,65,57,50,87,74,87,74,0,0,0,0,[]
81,10,19,73,71,53,54,82,78,76,73,89,26,76,66,66,55,88,69,87,66,0,0,0,0,[]
82,10,18,71,70,58,62,74,70,74,66,84,36,75,62,64,57,89,69,80,65,0,0,0,0,[]
83,13,20,70,69,70,68,73,68,74,67,80,48,74,62,66,62,88,69,77,65,0,0,0,0,[]
84,19,24,70,67,70,69,77,73,76,71,73,70,69,67,68,68,80,66,69,67,0,0,0,0,['6:58 JDG 击杀了水龙']
85,74,72,70,68,72,71,73,72,75,71,71,69,69,68,72,66,73,67,71,66,0,0,0,0,['7:1 JDGFlawless(德玛西亚皇子) 击杀了 VGYoudang(狂战士)']
86,65,63,70,68,69,65,69,65,69,64,61,60,64,58,66,59,76,56,66,59,0,0,0,0,[]
87,56,56,70,68,66,56,66,55,67,52,53,51,60,44,64,51,83,51,66,48,0,0,0,0,['7:15 VGPuff(圣枪游侠) 击杀了 JDGYagao(解脱者)']
88,55,42,3,92,65,56,68,48,67,51,56,40,60,36,64,51,83,51,62,34,0,0,0,0,[]
89,48,46,9,81,56,54,66,56,66,60,59,36,56,33,64,51,94,7,63,33,0,0,0,0,[]
90,41,43,15,70,50,50,66,56,66,60,59,36,55,32,64,51,95,8,95,4,0,0,0,0,[]
