,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
91,11,21,21,47,25,51,69,92,64,93,16,16,52,32,48,48,71,87,73,89,0,0,0,0,[]
92,13,21,15,44,26,51,69,91,63,94,19,14,53,29,47,52,74,87,76,88,0,0,0,0,[]
93,13,21,18,45,33,59,64,93,2,96,18,13,50,26,53,55,70,88,70,89,0,0,0,0,[]
94,13,20,21,44,40,55,59,92,6,95,18,13,43,16,57,65,69,89,68,91,0,0,0,0,[]
95,17,20,26,36,43,52,58,93,16,94,22,11,43,15,57,65,69,89,71,91,0,0,0,0,[]
96,24,11,36,30,47,49,65,91,28,93,29,8,39,15,53,54,72,88,72,92,0,0,0,0,[]
97,23,10,41,32,45,47,68,91,39,91,27,9,37,16,50,50,76,86,76,87,0,0,0,0,[]
98,23,10,41,32,45,47,66,91,50,90,26,7,36,16,52,48,77,90,75,88,0,0,0,0,[]
99,23,11,42,38,44,44,68,91,61,89,26,9,36,15,52,43,75,89,78,83,0,0,0,0,[]
100,25,10,44,48,44,44,70,91,72,92,30,8,36,15,54,48,77,80,78,75,0,0,0,0,[]
101,24,11,41,59,4,90,73,90,74,89,27,8,33,16,48,52,77,80,78,75,0,0,0,0,[]
102,18,14,42,67,14,80,81,84,83,87,21,13,22,22,50,49,95,4,94,7,0,0,0,0,[]
103,12,15,54,67,30,66,86,80,86,82,16,17,13,16,52,50,94,16,87,17,0,0,0,0,[]
104,12,15,51,66,41,57,85,80,86,77,16,13,15,15,54,47,93,27,85,26,0,0,0,0,['8:36 RNGLangx(海洋之灾) 击杀了 LNGFlandre(天启者)']
105,12,15,49,65,41,54,88,79,85,77,16,16,12,17,56,44,92,37,89,38,0,0,0,0,[]
106,12,15,47,65,41,55,85,83,79,75,12,20,12,15,57,43,92,51,89,50,0,0,0,0,[]
107,12,15,51,75,52,48,85,87,68,78,8,27,12,15,57,43,91,64,78,53,0,0,0,0,[]
108,4,88,50,74,51,53,3,96,57,69,8,30,92,9,52,45,89,70,75,63,0,0,0,0,[]
109,4,77,51,75,50,53,8,96,57,68,8,29,86,21,55,46,88,71,71,66,0,0,0,0,[]
110,5,65,52,76,55,53,19,95,2,96,10,18,81,34,57,45,86,75,71,68,0,0,0,0,[]
111,6,53,54,84,52,49,30,93,8,86,11,14,80,47,66,41,78,74,75,70,0,0,0,0,[]
112,6,41,56,83,52,47,41,92,19,82,11,14,75,52,72,48,82,78,76,73,0,0,0,0,[]
113,8,31,55,83,48,50,52,92,28,74,87,4,78,49,75,49,84,79,83,82,0,0,0,0,[]
114,12,24,54,85,50,49,62,92,37,66,76,5,74,43,69,45,82,83,79,80,0,0,0,0,[]
115,21,24,54,84,52,51,72,91,46,72,64,6,69,40,59,44,84,87,81,85,0,0,0,0,[]
116,28,21,54,84,54,47,71,91,57,76,53,7,66,50,58,42,81,91,75,87,0,0,0,0,[]
117,22,21,7,88,52,49,68,91,63,88,42,7,72,50,62,40,75,91,73,88,0,0,0,0,[]
118,17,17,12,78,52,48,68,90,69,92,30,9,84,57,62,40,76,91,75,89,0,0,0,0,[]
119,17,17,17,67,52,46,67,91,68,93,27,16,80,54,91,5,75,90,74,89,0,0,0,0,[]
120,24,13,18,56,51,46,68,91,68,89,30,11,78,50,80,13,75,91,76,88,0,0,0,0,[]
121,23,11,21,45,51,46,72,89,69,83,29,9,71,41,72,23,81,89,82,88,0,0,0,0,[]
122,18,15,27,35,45,43,72,88,71,88,24,11,59,34,63,32,82,88,80,86,0,0,0,0,[]
123,18,16,31,32,38,37,70,90,68,90,21,11,61,35,58,42,78,90,76,87,0,0,0,0,[]
124,18,12,28,33,32,36,67,92,70,92,27,8,66,49,56,47,76,91,73,89,0,0,0,0,[]
125,23,13,28,33,32,36,68,90,67,92,30,8,62,62,46,53,75,92,73,88,0,0,0,0,[]
126,25,11,28,34,31,37,67,90,66,93,29,8,57,72,47,56,74,88,75,88,0,0,0,0,[]
127,23,10,29,32,33,47,58,91,54,93,26,7,50,82,51,63,73,86,70,84,0,0,0,0,[]
128,20,10,31,29,39,55,46,94,45,93,30,7,55,92,47,74,57,90,57,90,0,0,0,0,[]
129,23,12,28,23,43,52,44,94,43,93,26,8,53,94,41,84,62,88,61,85,0,0,0,0,[]
130,26,11,30,19,47,50,43,93,32,94,34,9,43,94,39,91,70,84,52,88,0,0,0,0,['10:50 RNGXiaohu(万花通灵) 击杀了 LNGAsura(惩戒之箭)']
131,26,11,35,12,52,45,43,93,28,94,42,7,41,94,41,85,71,88,58,89,0,0,0,0,['10:52 LNGAsura(惩戒之箭) 击杀了 RNGKarsa(德玛西亚皇子)']
132,31,9,30,8,52,43,43,93,28,94,39,9,41,94,47,73,65,92,68,92,0,0,0,0,[]
133,30,9,29,8,55,43,43,93,6,95,45,13,41,94,53,63,65,92,68,92,0,0,0,0,[]
134,31,9,27,11,53,46,43,93,19,91,50,23,41,94,57,56,62,88,71,87,0,0,0,0,[]
135,32,10,31,21,49,52,11,96,32,91,52,30,93,8,52,55,64,91,69,91,0,1,0,0,"['11:13 LNG 击破了防御塔,获得一塔']"
136,32,10,39,29,39,55,23,94,42,87,49,18,86,23,44,54,70,88,72,91,0,1,0,0,[]
137,3,96,50,34,37,56,35,93,50,77,48,10,81,35,51,50,69,79,76,88,0,1,0,1,['11:21 RNGUzi(探险家) 击破了防御塔']
138,13,91,47,36,44,53,47,92,58,68,46,7,79,49,50,51,68,70,77,85,0,1,0,1,[]
139,23,84,55,48,51,52,58,91,56,54,43,8,74,61,58,45,71,67,95,4,0,1,0,1,[]
140,33,78,54,47,50,49,70,89,54,46,29,9,69,67,58,41,73,68,95,4,0,1,0,1,"['11:37 LNGSofM(盲僧) 击杀了 RNGXiaohu(万花通灵)', '11:40 RNGXiaohu(万花通灵) 击杀了 LNGSofM(盲僧)']"
141,43,69,54,47,40,54,76,88,57,59,26,7,69,68,58,41,74,67,59,51,0,1,0,1,[]
142,44,68,54,47,41,58,73,90,60,73,26,9,69,67,58,41,77,66,59,50,0,1,0,1,[]
143,43,68,54,47,39,58,71,89,70,80,21,11,70,65,58,41,94,4,54,45,0,1,0,1,['11:52 RNG 击杀了土龙']
144,33,60,54,47,39,58,71,83,68,79,12,21,73,62,58,41,90,6,52,53,0,1,0,1,[]
145,25,49,54,47,3,94,81,84,78,85,11,25,70,63,58,41,88,8,46,45,0,1,0,1,[]
146,15,38,4,93,10,84,85,79,82,78,11,24,64,61,94,7,78,19,38,40,0,1,0,1,[]
147,10,30,10,81,20,76,85,81,78,73,15,15,67,53,92,16,70,28,32,45,0,1,0,1,[]
148,7,28,15,70,29,67,83,88,69,78,15,11,73,42,90,70,60,38,30,44,0,1,0,1,[]
149,7,28,23,57,38,59,82,90,70,79,15,11,69,40,90,69,52,46,33,43,0,1,0,1,[]
150,16,22,23,55,43,53,2,96,70,79,86,4,61,36,87,69,49,47,95,4,0,1,0,1,[]
151,19,16,20,50,44,55,14,95,6,95,73,5,52,29,83,62,47,48,82,12,0,1,0,1,[]
152,17,18,14,43,39,58,29,94,12,82,60,7,52,26,83,61,40,42,74,21,0,1,0,1,[]
153,22,29,16,44,30,53,40,92,25,70,45,12,53,31,87,69,47,47,66,32,0,1,0,1,[]
154,28,37,23,48,25,51,52,88,31,58,38,8,53,34,87,72,44,44,56,40,0,1,0,1,[]
155,24,29,30,54,30,53,58,85,32,44,44,14,58,34,86,80,47,49,50,43,0,1,0,1,[]
156,19,17,37,63,37,56,62,85,44,44,44,16,58,46,78,77,51,51,50,51,0,1,0,1,[]
157,19,13,46,72,42,54,61,84,43,43,43,14,66,55,78,81,48,48,50,53,0,1,0,1,[]
158,19,14,50,81,40,55,64,82,34,43,45,14,57,65,79,86,44,43,46,48,0,1,0,1,[]
159,19,17,59,84,43,56,63,83,39,53,39,11,53,76,75,87,53,50,51,56,0,1,0,1,[]
160,26,29,65,83,46,58,65,83,39,65,37,13,46,79,71,82,52,56,55,59,0,1,0,1,[]
161,37,36,67,83,51,62,66,84,47,72,41,8,58,84,62,83,65,77,65,77,0,1,0,1,['13:23 RNGXiaohu(万花通灵) 击杀了 LNGAsura(惩戒之箭)']
162,48,43,62,84,52,63,66,84,50,80,39,8,61,88,61,85,61,83,59,83,0,1,0,1,['13:29 RNGUzi(探险家) 击杀了 LNGSofM(盲僧)']
163,49,48,62,84,49,52,66,84,49,68,26,9,56,90,61,92,53,85,51,85,0,1,0,1,[]
164,51,45,62,84,53,48,66,84,48,57,20,11,47,89,61,92,48,90,46,74,0,1,0,1,[]
165,55,43,62,84,56,45,66,84,56,55,16,17,46,88,95,4,42,91,54,66,0,1,0,1,[]
166,55,44,62,84,56,45,66,84,53,49,9,26,46,88,93,5,44,91,53,63,0,1,0,1,[]
167,47,46,62,84,51,47,12,96,52,45,7,29,52,85,81,12,44,90,53,60,0,1,0,2,['13:51 RNG 击破了防御塔']
168,35,38,11,93,46,49,24,94,47,53,9,26,49,74,73,22,52,89,57,70,0,1,0,2,[]
169,22,38,22,86,42,52,29,91,47,55,15,17,57,76,64,32,52,85,55,76,0,1,0,2,[]
170,11,33,32,80,42,52,30,89,49,61,15,16,52,76,58,41,54,77,55,76,0,1,0,2,[]
171,12,21,41,71,10,84,36,91,49,61,20,14,54,77,55,54,54,77,55,76,0,1,0,2,[]
172,18,22,42,67,31,67,42,89,42,59,29,21,57,69,58,61,56,74,57,69,0,1,0,2,[]
173,18,24,51,65,44,67,45,91,44,70,40,29,60,63,56,54,57,73,62,61,0,1,0,2,[]
174,18,16,48,65,52,67,49,90,46,79,40,30,69,62,52,48,95,4,65,56,0,1,0,2,[]
175,20,13,47,63,41,66,58,90,46,73,94,4,74,61,51,47,91,6,65,56,0,1,0,2,[]
176,17,14,54,67,38,56,69,90,46,73,81,5,75,58,64,50,82,12,93,5,0,1,0,2,[]
177,16,17,63,76,42,56,72,89,2,96,67,7,95,4,75,52,75,20,92,6,0,1,0,2,[]
178,16,18,69,79,53,60,72,89,55,68,54,7,84,14,79,55,68,30,85,11,0,1,0,2,[]
179,2,96,59,71,52,51,69,90,59,56,42,8,76,24,84,58,58,40,79,22,0,1,0,2,[]
180,12,90,56,59,50,53,69,90,62,57,40,8,68,35,87,66,52,44,70,31,0,1,0,2,[]
181,22,81,55,50,52,46,5,95,55,51,28,10,73,41,89,71,55,40,61,40,0,1,0,2,[]
182,23,79,60,44,56,46,5,95,59,47,20,11,72,41,83,66,59,37,62,38,0,1,0,2,[]
183,44,45,50,50,42,52,51,50,53,49,19,14,75,47,80,76,56,41,59,41,0,2,0,2,['15:12 LNGAsura(惩戒之箭) 击破了防御塔']
184,30,39,40,51,41,51,51,61,45,52,20,27,67,48,84,79,50,43,52,46,0,2,0,2,[]
185,21,37,40,50,50,61,50,59,49,57,23,26,78,51,78,71,51,46,60,52,0,2,0,2,[]
186,10,30,30,50,46,71,43,57,46,57,14,17,81,55,67,64,49,48,55,50,0,2,0,2,[]
187,15,19,23,55,50,82,45,56,44,53,20,14,79,55,57,57,50,50,49,52,0,2,0,2,[]
188,17,17,25,57,49,83,37,58,38,58,31,12,67,55,53,61,43,53,45,57,0,2,0,2,[]
189,23,29,31,50,45,82,38,58,39,60,35,11,66,48,57,67,42,52,45,56,0,2,0,2,[]
190,31,35,35,42,41,77,37,61,35,59,32,8,63,60,56,67,46,50,48,59,0,2,0,2,[]
191,23,25,40,44,41,67,36,59,35,59,37,8,57,70,59,76,46,55,48,67,0,2,0,2,[]
192,19,14,43,45,40,67,38,59,6,94,39,14,48,78,71,85,45,58,45,68,0,2,0,2,[]
193,21,13,45,51,42,60,38,58,18,86,43,17,52,74,70,88,48,59,51,63,0,2,0,2,[]
194,23,25,44,50,34,69,39,58,27,74,43,16,57,72,61,85,56,59,57,69,0,2,0,2,[]
195,31,35,41,59,33,81,36,57,38,64,45,13,57,70,48,81,53,57,56,67,0,2,0,2,[]
