,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
80,9,24,29,36,44,53,83,86,83,83,50,50,42,16,36,16,87,84,86,82,0,0,0,0,[]
81,9,24,29,37,44,54,83,85,80,83,50,52,41,17,36,16,87,78,85,80,0,0,0,0,[]
82,7,19,24,35,37,58,81,88,73,85,47,54,40,15,95,4,85,81,84,81,0,0,0,0,[]
83,8,24,32,41,40,51,81,87,75,88,51,49,40,15,95,4,84,81,82,79,0,0,0,0,[]
84,8,24,31,53,45,51,84,87,78,78,51,51,94,5,27,9,86,82,85,80,0,0,0,0,[]
85,10,23,36,62,45,53,85,83,80,76,52,50,90,14,17,16,90,74,87,76,0,0,0,0,[]
86,9,23,45,69,44,54,82,85,81,81,49,49,85,24,15,14,93,66,87,67,0,0,0,0,[]
87,9,21,51,75,45,54,83,86,83,79,50,47,81,35,16,16,93,66,78,63,0,0,0,0,[]
88,9,19,53,76,43,53,86,84,85,79,53,48,80,47,16,17,94,6,70,63,0,0,0,0,[]
89,10,20,60,74,42,55,86,83,81,78,50,50,75,53,16,17,94,11,76,62,0,0,0,0,[]
90,12,17,57,68,46,53,89,77,73,74,51,49,75,53,16,16,93,22,86,66,0,0,0,0,[]
91,6,24,57,68,47,54,89,77,68,69,49,48,75,53,10,19,92,33,92,72,0,0,0,0,[]
92,11,22,4,92,46,55,88,78,59,62,51,47,82,58,12,16,91,44,91,72,0,0,0,0,[]
93,8,24,7,86,49,52,87,80,55,58,52,48,79,68,10,17,90,54,88,74,0,0,0,0,[]
94,8,23,15,83,50,60,83,85,62,62,50,51,82,83,17,20,88,65,85,82,0,0,0,0,[]
95,9,23,26,83,47,66,84,89,71,69,59,58,84,88,22,26,87,75,85,85,0,0,0,0,"['7:55 V5Ben4(狂战士) 击杀了 JDGimp(惩戒之箭),获得一血']"
96,14,19,35,77,46,66,84,89,71,78,63,63,81,80,21,21,85,81,84,78,0,0,0,0,[]
97,24,23,43,70,51,63,84,89,73,85,59,58,73,75,26,17,79,86,76,77,0,0,0,0,[]
98,17,19,47,64,47,55,84,89,73,88,51,51,72,70,17,10,81,88,80,84,0,0,0,0,[]
99,19,15,56,68,48,55,2,96,78,87,50,49,69,68,20,9,82,88,80,81,0,0,0,0,[]
100,21,11,61,62,54,57,75,87,73,86,60,51,73,64,21,9,82,83,76,75,0,0,0,0,[]
101,17,15,66,53,65,56,70,83,70,77,65,53,76,58,22,12,79,76,80,77,0,0,0,0,[]
102,18,16,65,53,72,54,71,88,69,78,75,54,76,52,30,8,78,76,77,77,0,0,0,0,['8:29 JDGYagao(英勇投弹手) 击杀了 V5Windy(影流之主)']
103,16,15,63,62,73,63,75,87,74,75,75,54,81,54,30,8,86,77,83,78,0,0,0,0,[]
104,16,15,57,73,61,60,74,87,77,74,75,54,80,53,89,4,86,76,86,75,0,0,0,0,[]
105,17,13,55,83,53,53,74,87,72,78,75,54,80,53,66,5,82,83,81,81,0,0,0,0,[]
106,20,13,56,83,51,51,76,90,74,86,95,4,75,44,54,7,83,88,82,84,0,0,0,0,[]
107,20,13,54,83,45,53,76,90,74,86,82,12,74,44,41,7,83,88,80,84,0,0,0,0,[]
108,3,93,50,80,45,53,75,90,74,87,75,21,66,39,28,6,81,90,80,84,0,0,0,0,[]
109,7,80,46,68,4,92,72,89,72,85,68,30,56,33,26,8,78,90,78,86,0,0,0,0,[]
110,9,67,49,67,7,87,72,88,74,87,60,38,50,26,19,11,79,91,79,86,0,0,0,0,[]
111,11,53,49,65,28,74,72,89,72,89,55,48,49,26,17,9,80,87,81,84,0,0,0,0,[]
112,19,47,52,66,40,62,71,94,72,83,53,46,52,31,17,9,85,79,87,74,0,0,0,0,[]
113,26,37,61,73,47,52,74,89,76,78,54,46,52,35,17,9,87,71,87,67,0,0,0,0,[]
114,33,39,68,78,45,49,77,86,85,77,52,48,50,25,19,9,83,65,87,67,0,0,0,0,[]
115,25,31,68,78,48,49,86,79,89,78,54,45,45,16,17,9,84,66,93,6,0,0,0,0,[]
116,17,21,4,92,43,48,88,80,89,81,57,43,43,17,20,11,85,66,90,13,0,0,0,0,[]
117,15,17,8,81,42,46,85,86,89,81,55,44,43,15,20,10,88,68,83,22,0,0,0,0,[]
118,11,19,15,71,51,49,83,89,6,92,58,48,44,15,17,12,90,68,73,26,0,0,0,0,[]
119,10,21,19,61,52,47,83,89,20,90,57,42,44,15,26,18,90,70,62,25,0,0,0,0,[]
120,12,20,23,55,47,50,11,95,35,89,55,48,93,4,27,18,87,68,53,31,0,0,0,0,[]
121,7,19,22,53,47,51,22,94,49,88,53,46,82,9,25,10,87,73,43,33,0,0,0,0,[]
122,10,18,22,48,42,51,33,92,52,77,55,45,71,15,21,12,82,81,44,36,0,0,0,0,[]
123,12,18,22,48,31,48,44,91,58,70,56,45,62,24,18,10,84,81,48,34,0,0,0,0,[]
124,15,14,19,46,34,49,55,90,59,73,49,43,53,31,22,11,84,81,48,32,0,0,0,0,[]
125,14,18,17,44,42,56,65,89,70,82,49,50,42,38,21,10,86,76,41,38,0,0,0,0,[]
126,14,18,21,44,42,56,73,87,78,73,51,50,43,47,19,11,86,76,35,41,0,0,0,0,[]
127,15,17,24,39,44,54,73,86,65,63,48,48,35,41,19,11,94,5,31,38,0,0,0,0,[]
128,12,16,25,41,44,53,74,87,47,59,41,39,30,34,19,14,93,8,31,32,0,0,0,0,[]
129,13,15,24,41,38,50,72,88,36,49,32,34,31,31,17,15,31,30,30,32,0,0,0,0,[]
130,15,21,23,40,33,47,74,87,32,41,32,31,31,32,19,15,26,33,29,33,0,0,0,0,[]
131,18,18,25,44,31,42,80,86,32,39,34,31,31,31,19,16,26,33,29,32,0,0,0,0,[]
132,15,17,37,43,35,49,88,78,29,38,36,29,28,31,18,14,20,26,25,29,0,0,0,0,[]
133,6,27,44,43,45,50,90,76,24,36,33,28,10,24,10,18,14,21,11,24,0,0,0,0,[]
134,7,31,42,43,51,48,88,80,16,33,49,25,10,17,8,17,13,22,12,21,0,0,0,0,[]
135,6,32,29,37,55,44,88,85,10,34,57,32,11,24,95,4,8,25,11,26,0,0,0,0,[]
136,8,31,18,34,49,49,88,85,9,33,56,42,10,24,94,10,7,24,11,21,0,0,0,0,[]
137,7,27,7,28,50,48,4,92,10,30,54,46,10,23,94,23,8,22,14,21,0,0,0,0,[]
138,7,31,12,34,46,54,5,81,11,32,51,49,20,25,93,36,13,20,20,25,0,0,0,0,[]
139,7,31,12,34,49,51,7,73,11,32,54,45,23,35,92,49,15,18,23,34,0,0,0,0,[]
140,6,96,5,95,50,50,9,62,2,90,58,42,22,38,89,61,15,14,23,38,0,0,0,0,[]
141,14,94,17,91,41,51,11,52,7,70,58,42,34,38,88,74,16,16,34,41,0,0,0,0,[]
142,26,90,29,89,38,48,9,41,17,60,57,44,37,39,87,77,23,22,38,39,0,0,0,0,[]
143,39,90,42,89,44,55,8,32,22,48,54,45,48,42,88,85,34,23,40,35,0,0,0,0,[]
144,53,90,54,86,44,53,9,28,31,38,50,49,53,49,77,91,29,18,40,35,0,0,0,0,[]
145,66,89,65,83,45,52,12,24,41,36,58,44,65,53,73,93,28,11,86,6,0,0,0,0,[]
146,78,88,75,78,45,52,13,21,45,23,62,42,68,61,81,90,24,11,75,10,0,0,0,0,[]
147,77,90,76,89,45,52,14,18,43,33,62,42,74,72,79,92,25,12,67,18,0,0,0,0,[]
148,78,90,75,87,4,91,11,32,29,37,91,6,76,69,81,86,23,9,57,23,0,0,0,0,['12:17 JDGZoom(暗裔剑魔) 击杀了 V5Mole(符文法师)']
149,82,81,66,78,15,79,20,36,33,39,82,17,76,57,81,86,25,12,43,24,0,0,0,0,[]
150,88,75,65,71,24,71,27,37,31,39,80,28,83,56,81,86,25,13,41,36,0,0,0,0,[]
151,89,74,65,71,34,63,24,37,33,38,81,39,79,55,81,86,24,12,37,38,0,0,0,0,[]
152,91,77,64,71,43,54,31,39,34,39,80,51,76,52,81,86,21,11,41,35,0,0,0,0,[]
153,89,81,64,71,43,46,21,38,33,38,81,56,76,45,81,86,21,13,40,34,0,0,0,0,[]
154,90,80,64,71,47,51,11,34,25,36,84,63,74,43,91,11,32,16,34,23,0,0,0,0,[]
155,83,86,65,64,51,48,8,29,17,31,89,72,65,38,82,19,37,15,24,24,0,0,0,0,['12:52 JDG 击杀了水龙']
156,81,91,54,66,51,46,10,28,17,33,91,77,55,32,71,25,39,15,20,29,0,0,0,0,[]
157,82,90,55,79,55,44,12,21,18,31,88,83,52,36,62,33,38,14,21,27,0,0,0,0,[]
158,73,92,55,83,49,49,13,21,11,28,83,88,43,37,57,42,39,15,20,21,0,0,0,0,[]
159,69,90,56,83,50,61,13,16,13,21,77,86,39,43,55,43,38,16,26,30,0,0,0,0,[]
160,73,90,53,84,56,67,13,17,19,25,83,83,35,38,50,49,31,11,28,36,0,0,0,0,[]
161,75,88,51,75,48,66,18,24,21,29,88,84,41,32,47,51,27,9,33,35,0,0,0,0,[]
162,72,89,48,73,40,65,24,32,24,32,88,84,41,32,48,49,29,9,40,32,0,0,0,0,[]
163,72,89,44,70,42,57,17,22,19,24,88,84,91,5,50,43,26,14,32,22,0,0,0,0,[]
164,11,92,33,65,44,55,14,19,19,24,85,84,81,9,53,44,23,13,24,14,0,0,0,0,[]
165,25,90,25,56,38,50,13,18,16,21,83,86,71,16,56,40,19,12,19,14,0,0,0,0,[]
166,38,90,22,55,34,42,11,17,22,27,83,78,61,23,56,41,25,15,26,16,0,0,0,0,[]
167,51,91,21,47,38,50,12,19,18,24,82,78,50,18,56,43,24,14,27,20,0,0,0,0,[]
168,65,90,23,35,44,50,17,15,20,19,72,77,38,17,53,46,24,11,23,13,0,0,0,0,[]
169,71,87,19,24,46,54,13,17,18,21,70,79,26,14,54,46,22,10,21,14,0,0,0,0,[]
170,70,91,19,23,38,50,12,18,16,19,78,79,20,14,53,47,17,11,18,14,0,0,0,0,[]
171,67,92,19,17,32,41,16,14,16,13,80,85,24,13,53,41,25,11,21,10,0,0,0,0,[]
172,37,16,21,9,25,31,21,14,20,9,78,86,25,12,43,34,27,11,24,8,0,0,0,0,[]
173,35,11,29,15,29,19,25,14,27,15,74,88,33,9,40,30,34,6,35,6,0,0,0,0,[]
174,38,8,40,11,41,11,35,10,36,10,70,91,29,6,40,10,42,7,34,6,0,0,0,0,['14:27 JDGZoom(暗裔剑魔) 击杀了 V5Max(河流之王)']
175,41,11,56,8,49,10,36,15,46,12,77,88,19,13,43,8,55,9,34,6,0,0,0,0,"['14:31 JDGYagao(英勇投弹手) 击杀了 V5Mole(符文法师)', '14:34 JDGFlawless(盲僧) 击杀了 V5y4(暴走萝莉)']"
176,30,18,56,17,46,14,27,22,33,17,76,88,11,20,43,8,55,9,34,6,0,0,0,0,[]
177,20,15,46,24,46,14,16,22,28,20,71,91,7,22,43,8,55,9,34,6,0,0,0,0,[]
178,11,22,46,24,9,96,10,22,28,20,71,91,5,26,43,8,55,9,94,5,0,0,0,0,['14:48 JDGimp(惩戒之箭) 击杀了 V5Ben4(狂战士)']
179,14,19,50,31,36,93,14,18,28,20,71,90,5,26,43,8,55,9,92,6,0,0,0,0,[]
180,23,13,42,32,55,92,24,12,5,98,81,83,5,26,43,8,55,9,79,9,0,0,0,0,[]
181,24,13,42,32,70,90,26,13,29,95,89,81,5,26,95,4,93,4,66,11,0,0,0,0,[]
182,22,14,5,94,76,87,19,15,43,92,89,81,5,26,27,6,83,11,54,10,0,0,0,0,[]
183,11,14,8,84,79,87,12,24,57,90,90,72,5,26,24,7,75,21,41,9,0,0,0,0,[]
184,11,14,14,72,83,78,12,24,71,86,90,72,93,5,25,10,67,31,37,15,0,0,0,0,[]
185,8,17,18,60,88,73,2,96,76,73,93,68,82,12,26,10,59,39,34,17,0,0,0,0,[]
186,8,16,17,48,79,75,2,96,75,61,93,70,71,17,25,10,54,44,35,24,0,0,0,0,[]
187,8,17,15,40,73,67,2,96,66,55,92,72,61,23,21,13,54,47,41,36,0,0,0,0,[]
188,11,17,17,34,67,62,46,53,63,52,89,70,50,22,18,14,54,44,39,41,0,0,0,0,[]
189,12,16,20,26,74,72,42,57,64,58,89,70,43,17,18,15,64,41,49,48,0,0,0,0,[]
190,13,16,22,30,80,82,44,57,58,56,94,10,41,18,24,15,67,43,59,50,0,0,0,0,[]
191,12,19,29,39,70,88,47,57,53,56,93,23,44,16,24,15,57,44,52,43,0,0,0,0,[]
192,17,14,25,47,59,85,49,52,46,50,92,35,52,28,94,4,52,45,53,45,0,0,0,0,[]
193,21,11,22,48,60,84,43,58,36,57,91,50,52,32,79,5,53,46,51,46,0,0,0,0,[]
194,15,11,22,50,62,85,42,57,37,57,88,61,56,33,67,7,60,41,60,39,0,0,0,0,[]
195,15,11,38,51,62,85,44,55,5,94,89,72,67,40,55,8,58,41,60,39,0,0,0,0,[]
196,11,95,47,64,3,93,46,55,16,82,87,76,73,42,42,8,58,41,90,7,0,0,0,0,[]
197,25,93,46,64,5,77,48,52,26,71,87,70,77,48,31,9,58,43,82,16,0,0,0,0,[]
198,39,92,51,63,7,64,47,53,31,58,83,60,82,56,20,9,56,44,76,27,0,0,0,0,[]
199,52,92,43,56,8,51,51,52,32,44,76,53,80,56,15,12,57,43,67,36,0,0,0,0,[]
200,65,90,40,51,9,38,49,49,41,37,74,65,71,62,16,16,56,44,66,47,0,0,0,0,[]
201,74,89,47,57,10,26,46,54,44,43,63,61,61,57,26,16,58,42,65,53,0,0,0,0,[]
202,72,90,54,62,16,22,48,56,49,57,66,59,65,58,37,15,60,49,66,54,0,0,0,0,[]
203,75,89,53,61,17,21,51,60,53,62,61,62,61,60,48,19,54,49,59,57,0,0,0,0,[]
204,74,87,48,59,19,12,45,53,47,57,65,61,56,56,51,29,54,50,56,57,0,0,0,0,[]
205,76,88,50,61,17,14,44,52,47,57,75,66,53,49,47,17,51,50,52,52,0,0,0,0,[]
206,84,88,60,62,19,21,48,58,56,61,80,75,56,48,36,12,54,45,58,50,0,0,0,0,[]
207,85,85,71,68,27,20,56,59,56,58,86,81,60,51,30,9,60,50,62,52,0,0,0,0,[]
208,79,77,79,67,20,23,52,55,66,60,89,76,57,43,40,9,56,41,55,43,0,0,0,0,[]
209,80,76,84,65,17,18,48,53,80,66,90,72,51,46,48,17,52,45,56,46,0,0,0,0,[]
210,86,77,84,66,15,18,44,56,85,66,87,71,54,53,52,28,49,48,50,51,0,0,0,0,[]
211,85,81,77,64,15,17,45,55,74,63,85,66,57,57,60,36,57,49,57,55,0,0,0,0,[]
212,84,81,64,71,17,16,41,59,63,72,81,66,67,63,67,45,66,55,67,62,0,0,0,0,[]
213,75,78,57,70,21,12,44,58,57,70,89,68,65,58,65,57,66,55,59,63,0,0,0,0,[]
214,70,78,58,68,24,9,44,58,53,65,90,72,64,63,64,63,95,4,64,63,0,0,0,0,[]
215,70,78,59,69,24,9,47,55,57,68,86,66,68,65,64,63,60,43,67,65,0,0,0,0,[]
216,73,75,59,63,25,9,55,64,58,63,76,62,68,68,66,59,63,52,66,66,0,0,0,0,[]
217,74,73,62,62,25,9,58,63,61,63,69,68,67,68,62,58,64,58,66,63,0,1,0,0,"['18:2 JDGYagao(英勇投弹手) 击破了防御塔,获得一塔']"
218,73,64,59,60,74,64,59,58,59,66,60,63,66,66,64,57,64,61,62,60,0,1,0,0,['18:9 V5 击杀了火龙']
219,66,60,55,59,69,61,57,56,57,58,54,58,68,60,66,56,66,56,68,55,0,1,0,0,['18:12 V5Windy(影流之主) 击杀了 JDGFlawless(盲僧)']
220,68,50,55,59,66,59,62,59,60,60,64,63,67,57,66,56,59,46,75,49,0,1,0,0,"['18:16 JDGYagao(英勇投弹手) 击杀了 V5Mole(符文法师)', '18:18 JDGZoom(暗裔剑魔) 击杀了 V5Ben4(狂战士)', '18:20 JDGLvMao(星界游神) 击杀了 V5Windy(影流之主)']"
221,81,50,55,59,62,51,57,59,67,53,64,64,67,57,66,56,49,40,86,50,0,1,0,0,[]
222,87,54,55,59,52,47,51,53,67,48,64,64,67,57,66,56,51,29,91,46,0,1,0,0,[]
223,85,66,55,59,47,36,57,46,60,43,64,64,67,57,66,56,51,18,91,41,0,1,0,0,[]
224,80,75,55,59,51,25,57,46,58,41,64,64,67,57,66,56,55,11,91,41,0,1,0,0,[]
225,86,80,55,59,50,31,54,48,51,46,64,64,67,57,66,56,49,6,90,6,0,2,0,0,['18:42 JDGimp(惩戒之箭) 击破了防御塔']
226,87,79,7,88,43,34,54,48,51,46,64,64,67,57,66,56,42,6,82,13,0,2,0,0,[]
227,91,71,13,76,30,37,6,96,6,95,64,64,90,7,94,8,44,8,73,23,0,2,0,0,[]
228,91,67,18,64,23,28,16,88,18,87,94,4,79,14,93,20,41,15,64,31,0,2,0,0,[]
229,91,71,23,55,16,19,27,82,31,80,81,12,67,19,93,32,33,11,53,32,0,2,0,0,[]
230,91,76,21,54,16,15,38,76,41,70,71,13,66,31,92,44,42,16,46,36,0,3,0,0,['19:8 JDGZoom(暗裔剑魔) 击破了防御塔']
231,90,81,19,49,12,23,46,73,56,64,59,10,70,41,90,55,49,20,53,33,0,3,0,0,[]
232,2,96,15,44,12,23,49,67,58,60,47,9,73,43,90,55,55,31,60,35,0,3,0,0,[]
233,16,94,20,44,4,91,50,62,56,56,42,8,78,51,93,62,61,36,60,36,0,3,0,0,[]
234,32,92,29,38,4,91,48,58,49,51,34,9,77,52,92,75,60,37,58,37,0,3,0,0,[]
235,47,90,39,37,4,91,50,47,41,40,25,13,77,52,87,84,55,43,57,42,0,3,0,0,[]
236,56,84,41,32,4,91,49,48,46,33,36,16,84,56,84,85,58,42,56,41,0,3,0,0,[]
237,60,86,43,24,4,91,47,50,41,25,38,16,78,50,76,90,61,33,57,31,0,3,0,0,[]
238,70,90,41,29,4,91,43,51,42,23,43,18,70,41,79,88,55,31,56,22,0,3,0,0,[]
239,75,88,41,26,20,75,48,50,41,25,48,17,58,34,86,77,56,23,51,22,0,3,0,0,[]
240,85,79,45,36,36,60,50,51,43,24,56,23,59,26,88,65,58,24,58,24,0,3,0,0,[]
241,87,76,54,45,46,47,56,54,42,36,61,24,59,35,86,53,66,28,59,33,0,3,0,0,[]
242,83,65,68,50,38,40,65,57,49,47,61,24,61,34,87,50,61,37,60,39,0,3,0,0,[]
243,78,53,65,56,32,36,57,55,64,53,88,8,51,27,93,52,68,32,54,30,0,3,0,0,[]
244,77,55,54,62,25,23,51,53,64,57,74,16,47,23,93,50,68,32,49,19,0,3,0,0,[]
245,80,54,47,64,15,15,50,53,64,57,62,23,53,28,91,46,89,6,46,25,0,3,0,0,[]
246,84,66,46,64,21,12,52,51,15,87,48,17,47,36,93,51,78,19,46,24,0,3,0,0,[]
247,87,75,50,61,21,13,48,55,31,89,35,17,53,33,87,53,69,29,46,24,0,3,0,0,[]
248,87,81,47,54,23,22,48,55,44,83,36,10,54,32,93,53,63,34,95,4,0,3,0,0,[]
