,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,30,38,73,74,74,61,72,68,68,66,20,13,73,69,75,70,77,70,75,70,0,0,0,0,"['10:2 BLGMeteor(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË WEbeishang(½âÍÑÕß)', '10:4 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEMystic(³Í½äÖ®¼ý)']"
122,23,29,73,74,74,61,72,68,9,95,24,12,75,57,75,70,83,79,75,70,0,0,0,0,[]
123,18,19,73,74,74,61,72,68,21,94,26,11,74,44,75,70,83,79,89,8,0,0,0,0,[]
124,17,13,73,74,74,61,72,68,33,93,29,11,77,52,75,70,95,4,82,17,0,0,0,0,[]
125,23,9,5,92,74,61,72,68,45,92,27,9,75,55,75,70,94,8,72,23,0,0,0,0,[]
126,24,8,10,81,10,86,12,95,57,90,27,9,79,52,86,9,94,17,61,24,0,0,0,0,[]
127,20,13,15,71,20,78,23,94,69,88,23,9,79,50,77,18,93,31,49,22,0,0,0,0,[]
128,11,18,21,59,28,69,34,93,80,89,18,13,79,50,69,28,92,42,38,27,0,0,0,0,[]
129,12,17,23,55,38,60,45,92,86,82,18,12,94,4,59,38,91,53,47,25,0,0,0,0,[]
130,14,15,21,48,44,54,55,90,85,78,23,13,89,5,49,42,90,65,56,32,0,0,0,0,[]
131,18,13,22,44,42,54,66,88,87,79,25,14,73,6,51,47,90,73,66,39,0,0,0,0,[]
132,16,11,22,47,31,49,77,86,85,79,31,11,60,8,47,53,91,69,76,46,0,0,0,0,[]
133,18,13,21,48,26,50,87,84,89,81,24,10,47,12,47,51,91,72,75,56,0,0,0,0,[]
134,14,14,16,43,32,59,90,82,89,82,21,11,44,15,43,49,88,73,80,65,0,0,0,0,[]
135,15,12,15,42,40,55,89,81,89,82,24,11,42,15,45,53,87,75,87,71,0,0,0,0,[]
136,17,12,11,31,44,53,89,77,89,77,26,10,42,15,51,49,91,73,89,72,0,0,0,0,[]
137,27,15,12,19,43,53,87,79,86,79,28,8,43,14,50,51,91,69,88,68,0,0,0,0,[]
138,38,15,16,9,45,52,86,78,84,78,26,9,43,11,53,48,90,69,84,65,0,0,0,0,[]
139,32,17,20,11,49,49,85,82,84,81,28,16,34,17,45,38,90,74,89,73,0,0,0,0,[]
140,25,15,22,13,50,44,82,83,83,84,25,14,24,13,38,27,90,79,88,78,0,0,0,0,['11:40 BLGADD(ÌúîøÚ¤»ê) »÷É±ÁË WEPoss(»ÄÄ®ÍÀ·ò)']
141,25,15,12,22,57,43,85,82,87,83,17,18,17,16,43,33,91,76,89,75,0,0,0,0,[]
142,25,15,11,32,56,47,88,78,87,79,20,12,24,11,53,42,93,72,91,71,0,0,0,0,[]
143,25,15,11,32,54,55,91,75,89,76,17,17,31,20,57,45,87,69,92,71,0,0,0,0,[]
144,25,15,4,94,49,51,88,78,87,78,11,24,40,30,53,47,88,71,92,71,0,0,0,0,[]
145,25,15,11,83,43,52,86,81,86,79,10,24,48,35,48,52,84,61,84,63,0,0,0,0,[]
146,25,15,20,74,42,53,84,81,85,79,13,19,49,33,46,49,85,65,82,65,0,0,0,0,[]
