,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
230,44,92,24,51,11,18,37,59,38,58,66,78,40,52,42,44,44,56,46,58,0,2,0,1,[]
231,54,91,32,61,10,18,32,62,33,60,60,68,41,52,40,54,42,57,45,56,0,2,0,1,[]
232,58,93,38,64,8,18,30,64,35,59,49,65,45,57,45,52,43,58,41,56,0,2,0,2,['19:18 BLGJinjiao(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ']
233,53,86,43,68,2,96,2,96,37,60,47,65,51,64,51,51,44,57,50,61,0,2,0,2,[]
234,48,76,40,73,14,90,8,93,44,69,57,63,56,66,54,57,47,56,56,68,0,2,0,2,[]
235,48,79,47,79,28,83,18,85,39,65,68,67,62,62,54,57,53,51,57,64,0,2,0,2,[]
236,49,78,48,78,39,76,26,76,37,65,77,76,62,62,92,4,53,51,62,62,0,2,0,2,[]
237,57,84,56,82,35,62,32,67,35,65,82,83,93,9,79,5,94,5,62,62,0,2,0,2,[]
238,68,82,52,84,32,49,39,60,39,61,84,80,88,20,65,7,94,7,91,5,0,2,0,2,[]
239,73,88,48,76,35,49,48,59,48,57,84,79,81,33,51,9,83,17,81,13,0,2,0,2,[]
240,73,89,40,66,32,47,50,52,49,51,94,7,80,47,38,14,75,25,72,26,0,2,0,2,[]
241,78,85,39,54,25,34,45,47,46,44,93,24,80,55,32,11,65,36,63,35,0,2,0,2,[]
242,84,82,32,45,19,24,35,43,43,43,92,38,76,49,37,14,59,40,58,40,0,2,0,2,[]
243,79,78,29,38,19,24,31,53,43,48,92,50,73,42,48,16,55,33,55,32,0,2,0,2,[]
244,86,82,29,36,19,15,37,58,39,61,91,63,64,38,51,21,56,33,53,33,0,2,0,2,[]
245,87,85,34,43,19,21,46,53,46,56,89,72,53,32,41,25,57,39,45,34,0,2,0,2,[]
246,88,84,45,44,30,33,48,50,51,49,87,66,48,35,28,20,55,41,49,41,0,2,0,2,[]
247,89,81,41,44,25,29,49,58,43,51,77,62,46,34,25,10,57,41,58,42,0,2,0,2,[]
248,85,82,31,36,19,16,50,65,42,51,80,69,37,25,24,11,57,43,55,41,0,2,0,2,[]
249,84,88,22,28,17,14,50,65,2,96,89,69,27,18,24,11,53,46,48,41,0,2,0,2,[]
250,84,88,17,19,10,16,10,91,13,88,90,74,25,17,19,14,49,42,40,32,0,2,0,2,[]
251,6,95,11,28,19,25,19,78,21,76,88,69,36,24,32,10,50,48,42,40,0,2,0,2,[]
252,26,93,15,39,19,25,28,69,30,68,78,65,40,36,28,9,51,48,46,50,0,2,0,2,[]
253,39,92,20,52,19,24,36,61,37,61,68,63,37,38,25,15,63,50,46,50,0,2,0,2,[]
254,54,91,26,58,19,24,43,58,43,57,74,69,41,36,19,13,71,52,42,40,0,2,0,2,[]
255,63,83,32,59,11,33,41,60,43,57,82,79,52,42,28,17,67,49,50,43,0,2,0,2,[]
256,71,88,44,58,9,25,43,58,43,57,82,83,48,53,37,26,56,50,53,53,0,2,0,2,[]
257,78,87,40,61,12,34,39,60,42,57,79,78,42,52,41,39,48,53,46,53,0,2,0,2,[]
258,68,83,43,68,24,37,35,63,38,61,80,75,40,53,43,47,45,55,43,55,0,2,0,2,[]
259,79,85,43,68,30,48,33,65,34,61,72,69,47,57,44,48,44,58,42,57,0,2,0,2,[]
260,81,88,40,60,35,61,37,61,37,59,78,79,60,63,51,51,53,64,54,58,0,2,0,2,[]
261,69,94,46,58,47,68,46,58,46,57,72,90,66,67,58,60,59,73,58,68,0,2,0,2,[]
262,57,93,56,67,57,70,54,66,57,62,67,91,67,66,65,68,61,87,61,87,0,2,0,2,[]
263,55,89,53,76,56,64,53,66,52,65,71,87,67,67,68,66,64,83,66,82,0,2,0,2,[]
264,60,85,57,68,50,50,48,55,48,56,72,87,66,71,67,68,69,77,73,73,0,2,0,2,[]
265,62,84,50,66,55,56,55,52,55,53,78,86,65,64,69,65,67,66,63,63,0,2,0,2,['22:3 BLG »÷É±ÁË·çÁú']
266,67,79,57,60,57,60,55,53,58,57,80,81,64,62,67,51,67,51,66,62,0,2,0,2,[]
267,76,74,68,63,69,64,63,61,68,61,79,74,79,64,76,50,68,44,76,58,0,2,0,2,[]
268,75,77,74,67,75,68,68,66,71,65,87,74,87,62,66,41,62,41,81,56,0,2,0,2,[]
269,63,83,66,63,63,63,58,60,61,61,82,66,88,60,55,31,60,41,81,56,0,2,0,2,[]
270,54,91,51,64,56,56,49,53,51,52,72,63,95,4,48,19,58,41,95,4,0,2,0,2,[]
271,67,89,50,65,56,56,50,52,46,53,74,67,75,7,36,12,55,44,83,18,0,2,0,2,[]
272,73,88,50,65,3,93,41,59,39,58,79,79,59,9,30,9,54,44,72,28,0,2,0,2,[]
273,74,88,4,92,14,75,41,59,39,58,82,85,45,12,30,7,52,32,62,36,0,2,0,2,[]
274,68,84,8,85,18,58,6,94,2,96,82,85,42,15,25,12,53,30,53,43,0,2,0,2,[]
275,56,82,17,76,22,42,17,82,13,87,83,83,46,16,24,23,52,44,50,46,0,2,0,2,[]
276,55,83,27,68,21,27,25,72,22,75,83,90,46,22,16,21,46,49,46,52,0,2,0,2,[]
277,54,84,32,60,21,27,33,64,30,67,81,87,32,22,20,24,43,54,41,45,0,2,0,2,[]
278,56,82,27,59,22,38,39,56,40,58,79,87,24,31,22,31,41,46,30,39,0,2,0,2,[]
279,2,96,21,49,18,44,35,48,35,48,76,78,25,37,23,38,34,41,26,37,0,2,0,2,[]
280,23,30,25,37,24,34,32,48,32,45,74,73,35,32,34,37,36,38,36,40,0,2,0,2,[]
281,21,44,18,44,15,34,32,59,31,56,42,44,49,34,37,39,43,45,42,46,0,2,0,2,[]
282,22,53,17,45,9,27,34,63,35,61,42,55,51,35,44,50,46,52,46,53,0,2,0,2,[]
283,26,56,23,56,16,38,29,67,32,65,36,59,46,50,39,62,39,59,37,50,0,2,0,2,[]
284,27,60,28,60,23,51,28,68,32,69,34,63,36,62,39,67,38,64,39,62,0,2,0,2,[]
285,31,67,31,59,31,55,31,66,33,66,37,58,39,57,40,65,38,61,38,60,0,2,0,2,[]
286,31,67,30,66,26,52,29,68,26,66,35,59,33,49,38,59,38,60,32,59,0,2,0,2,[]
287,33,69,19,62,20,52,25,71,26,66,32,58,31,52,31,55,34,61,29,58,0,2,0,2,[]
288,30,67,19,60,21,53,25,71,11,91,38,61,26,51,31,60,37,60,33,59,0,2,0,2,[]
289,27,71,22,65,27,52,15,88,19,78,36,65,31,54,34,66,32,64,33,65,0,2,0,2,[]
290,31,70,26,67,18,49,24,77,29,70,33,60,23,51,32,58,27,59,29,53,0,2,0,3,['24:9 BLG »÷ÆÆÁË·ÀÓùËþ']
291,29,59,18,61,11,55,20,69,23,65,13,49,9,48,22,52,15,51,14,49,0,2,0,3,[]
292,23,52,18,53,9,50,18,57,18,56,16,44,17,44,23,44,18,45,22,44,0,2,0,3,[]
293,28,59,22,50,4,46,22,52,28,51,18,33,20,35,21,42,23,40,23,40,0,2,0,3,[]
294,38,56,31,55,4,46,30,54,31,52,29,38,25,46,26,48,26,47,20,50,0,2,0,3,[]
295,41,54,36,58,12,82,36,59,33,60,35,49,32,50,23,54,31,52,32,54,0,2,0,3,[]
296,44,54,45,54,26,69,43,58,43,55,41,51,34,42,32,45,39,50,38,51,0,2,0,3,[]
297,44,57,50,51,37,57,45,56,46,54,43,51,42,46,41,45,40,51,39,52,0,2,0,3,[]
298,44,53,47,56,39,57,43,55,44,53,43,52,47,56,44,52,38,51,40,50,0,2,0,3,[]
299,47,51,45,57,48,58,45,54,47,57,45,51,47,55,46,51,48,48,44,51,0,2,0,3,"['24:51 BLGMeteor(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË WEbeishang(½âÍÑÕß)', '24:53 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGADD(ÌúîøÚ¤»ê)', '24:54 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ)']"
300,41,52,45,57,45,48,48,50,50,52,45,51,47,55,45,50,53,44,45,50,0,2,0,3,"['24:57 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGXinMo(ºÓÁ÷Ö®Íõ)', '24:58 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']"
301,42,46,45,57,45,47,46,48,48,47,45,51,47,55,45,50,57,48,45,50,0,2,0,3,[]
302,43,49,45,57,39,39,42,45,43,41,45,51,47,55,45,50,53,48,45,50,0,2,0,3,['25:6 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEPoss(»ÄÄ®ÍÀ·ò)']
303,43,49,45,57,27,32,41,45,36,38,45,51,47,55,45,50,50,49,45,50,0,2,0,3,[]
304,43,49,45,57,24,26,2,96,35,39,45,51,47,55,45,50,50,50,45,50,0,2,0,3,[]
305,43,49,45,57,30,19,18,87,2,96,45,51,47,55,45,50,49,50,45,50,0,2,0,3,[]
306,43,49,4,94,38,16,30,80,16,87,45,51,47,55,45,50,47,52,45,50,0,2,0,3,[]
307,43,49,19,84,37,17,41,77,25,76,45,51,93,4,45,50,47,58,85,10,0,2,0,3,[]
308,43,49,28,74,27,18,45,73,32,69,95,4,72,6,92,5,56,65,74,23,0,2,0,3,[]
309,43,49,32,67,27,20,40,66,37,66,92,19,56,8,73,6,66,64,63,32,0,2,0,3,[]
310,43,49,43,67,3,95,36,65,36,62,91,35,45,16,58,7,74,66,50,32,0,2,0,3,[]
311,2,96,43,69,18,80,42,55,42,55,90,48,36,17,44,10,74,66,41,32,0,2,0,3,[]
312,16,84,39,65,30,68,44,53,34,49,90,62,21,25,38,9,95,4,43,33,0,2,0,3,[]
313,25,72,31,56,39,56,44,51,31,40,89,72,30,22,28,11,88,15,46,33,0,2,0,3,[]
314,37,66,32,51,32,42,43,44,36,39,88,76,44,27,23,12,75,26,50,33,0,2,0,3,[]
315,47,74,32,44,23,29,44,43,32,34,87,75,52,33,29,9,66,34,60,33,0,2,0,3,[]
316,51,83,36,36,20,27,34,43,31,31,86,65,53,32,31,9,59,41,60,38,0,2,0,3,[]
317,64,83,32,44,16,17,37,50,31,43,82,58,46,34,36,16,62,50,57,46,0,2,0,3,[]
318,72,90,41,52,16,19,43,53,40,51,77,56,45,33,30,21,71,52,56,40,0,2,0,3,[]
319,79,85,35,48,14,15,49,51,49,49,67,64,46,34,35,24,60,49,58,38,0,2,0,3,[]
320,81,84,34,43,17,15,39,55,43,51,66,63,53,43,45,35,54,47,51,42,0,2,0,3,[]
321,85,77,22,45,17,23,38,58,40,56,77,60,47,41,51,27,48,49,51,51,0,2,0,3,[]
322,74,87,17,45,20,27,34,63,39,58,88,68,45,44,46,14,47,53,50,49,0,2,0,3,[]
323,76,88,24,50,2,96,43,57,42,56,90,69,52,46,41,9,50,50,50,50,0,2,0,3,[]
324,81,81,37,50,21,88,45,54,46,51,79,65,63,53,45,13,53,49,53,48,0,2,0,3,[]
325,86,79,47,56,35,77,46,54,48,47,83,66,62,60,51,25,55,49,56,48,0,2,0,3,[]
326,78,77,53,66,50,77,38,64,47,57,87,73,58,58,59,36,52,49,53,52,0,2,0,3,[]
327,73,70,52,64,54,76,39,64,56,64,87,75,67,52,60,49,56,57,55,58,0,2,0,3,[]
328,69,81,46,67,41,67,7,93,49,65,89,70,66,53,63,60,54,58,54,57,0,2,0,3,[]
329,69,84,35,62,40,58,19,81,46,66,78,64,62,62,54,58,49,54,47,51,0,2,0,3,[]
330,71,86,25,56,39,59,28,71,2,96,68,66,66,65,54,58,47,54,51,54,0,2,0,3,[]
331,71,85,25,57,31,59,34,63,17,82,65,64,68,67,46,49,43,51,43,52,0,2,0,3,[]
332,58,83,26,52,30,50,31,66,25,71,56,58,66,57,37,40,42,39,41,46,0,2,0,3,['27:38 BLG »÷É±ÁË·çÁú']
333,53,84,32,44,34,43,34,61,35,62,49,50,68,43,33,32,34,35,41,46,0,2,0,3,[]
334,47,74,34,40,34,35,42,53,42,53,48,42,68,40,40,33,40,36,85,8,0,2,0,3,[]
335,54,64,33,49,26,34,47,50,45,44,46,41,58,34,51,30,48,28,73,20,0,2,0,3,[]
336,67,65,33,49,32,47,52,48,50,47,54,41,44,32,51,30,52,33,64,32,0,2,0,3,[]
337,76,73,6,94,46,50,49,52,50,52,55,43,48,42,48,35,51,43,56,44,0,2,0,3,[]
338,85,82,18,85,33,48,40,60,40,54,63,52,44,39,48,35,48,47,50,48,0,2,0,3,[]
339,87,74,27,74,26,35,42,60,40,59,76,52,38,40,92,5,44,44,44,44,0,2,0,3,[]
340,91,70,35,64,22,43,43,55,45,53,84,63,30,35,74,6,34,38,33,37,0,2,0,3,[]
341,91,68,42,54,34,49,51,51,52,49,91,60,40,25,57,8,41,38,35,38,0,3,0,3,['28:23 WE »÷ÆÆÁË·ÀÓùËþ']
342,90,67,49,49,49,52,52,50,53,49,91,60,42,17,43,9,51,41,49,35,0,3,0,3,[]
343,90,66,50,45,62,58,56,54,52,48,91,59,42,17,38,11,59,40,59,38,0,3,0,3,[]
344,84,63,41,41,66,65,45,50,41,40,91,57,42,18,30,10,56,43,54,45,0,3,0,3,[]
345,88,60,38,39,63,60,42,47,40,37,90,52,45,30,27,15,43,38,44,38,0,3,0,3,[]
346,86,51,37,41,55,53,41,42,37,41,92,45,40,36,25,29,38,38,42,36,0,3,0,3,[]
347,77,49,41,36,43,41,41,36,39,39,90,44,41,35,35,36,41,34,42,35,0,3,0,3,['28:55 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEMystic(³Í½äÖ®¼ý)']
348,64,50,41,33,52,49,41,36,41,52,80,36,43,42,41,45,42,34,42,39,0,3,0,3,"['28:56 WEbeishang(½âÍÑÕß) »÷É±ÁË BLGJinjiao(Ì½ÏÕ¼Ò)', '28:56 BLGXinMo(ºÓÁ÷Ö®Íõ) »÷É±ÁË WEbeishang(½âÍÑÕß)']"
349,55,50,41,33,52,53,41,36,49,58,67,36,45,45,45,52,42,34,46,49,0,3,0,3,[]
350,50,49,41,33,47,50,41,36,48,49,56,42,46,38,40,41,42,34,42,39,0,3,0,3,[]
351,49,59,41,33,55,61,41,36,39,58,54,44,51,35,44,37,42,34,52,45,0,3,0,3,[]
352,50,59,41,33,46,62,41,36,31,67,47,38,50,35,36,25,42,34,46,38,0,3,0,3,[]
353,50,51,41,33,47,64,41,36,31,67,56,43,50,35,26,15,42,34,46,37,0,3,0,3,[]
354,46,51,41,33,2,96,41,36,6,94,53,48,85,6,15,17,42,34,95,4,0,3,0,3,[]
355,43,59,41,33,5,77,41,36,20,82,52,48,65,11,15,16,42,34,91,5,0,3,0,3,[]
356,55,66,41,33,6,58,2,96,28,72,53,46,53,19,15,18,42,34,76,18,0,3,0,3,[]
357,62,78,8,85,6,41,17,85,36,62,54,43,41,28,17,17,42,34,66,29,0,3,0,3,[]
358,74,87,16,70,9,28,27,74,40,56,95,4,36,40,94,4,83,15,56,40,0,3,0,3,[]
359,81,84,18,58,10,35,35,66,35,47,87,17,39,42,75,10,70,25,44,45,0,3,0,3,[]
360,90,71,23,46,17,44,41,57,34,48,76,27,39,38,59,10,60,35,42,45,0,3,0,3,[]
361,90,70,22,44,27,50,43,58,40,52,73,34,29,38,45,11,51,46,40,39,0,3,0,3,[]
362,89,79,19,47,37,58,42,57,44,55,86,38,40,34,30,12,50,46,44,44,0,3,0,3,[]
363,89,79,17,46,36,57,42,56,45,54,90,50,40,34,16,16,50,44,48,43,0,3,0,3,[]
364,17,94,22,54,42,56,41,58,46,55,91,49,90,6,20,14,52,46,47,41,0,3,0,3,[]
365,34,92,30,50,49,54,48,53,48,50,83,50,72,17,26,22,53,44,50,41,0,3,0,3,[]
366,49,91,43,51,45,53,48,53,49,50,80,54,59,27,12,23,54,44,55,43,0,3,0,3,[]
367,61,89,44,43,38,42,44,46,43,42,79,53,46,36,13,23,55,45,53,46,0,3,0,3,[]
368,76,86,34,41,29,39,35,43,35,41,67,50,38,33,21,28,45,40,45,39,0,3,0,3,[]
369,86,78,31,51,32,53,31,53,31,51,53,50,25,37,18,23,40,45,37,43,0,3,0,3,[]
370,88,69,31,51,41,57,37,63,35,58,44,48,35,39,11,25,37,38,35,42,0,3,0,3,[]
371,90,59,5,95,50,60,44,70,42,58,47,51,35,48,19,25,45,48,40,45,0,3,0,3,[]
372,87,53,18,80,51,59,43,68,47,57,60,50,32,37,9,28,45,48,28,39,0,3,0,3,[]
373,75,53,28,67,50,54,42,56,47,52,66,43,32,31,11,25,37,40,33,31,0,3,0,3,[]
374,59,48,31,53,46,44,45,46,43,44,52,41,36,37,12,23,35,39,36,39,0,3,0,3,[]
375,49,41,33,42,40,43,39,42,37,42,42,37,41,34,23,28,37,36,32,34,0,3,0,3,[]
376,45,39,36,40,42,42,37,41,42,41,42,36,47,35,31,35,41,33,35,36,0,3,0,3,[]
377,41,30,39,41,46,45,41,42,43,42,42,37,46,37,37,37,41,29,41,34,0,3,0,4,"['31:21 BLG »÷ÆÆÁË·ÀÓùËþ', '31:23 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGADD(ÌúîøÚ¤»ê)']"
378,39,38,36,38,36,40,35,39,39,37,42,37,40,32,37,39,41,29,41,32,0,3,0,4,[]
379,32,33,27,35,28,37,31,35,28,37,42,37,38,25,37,39,41,30,41,30,0,3,0,4,['31:31 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']
380,29,33,29,36,37,41,32,36,36,38,42,37,39,26,37,39,41,30,40,28,0,3,0,4,[]
381,40,39,42,41,52,46,43,43,46,46,42,37,42,17,37,39,95,4,44,24,0,3,0,4,[]
382,54,41,56,42,58,42,54,44,58,41,42,37,42,16,37,39,95,4,56,24,0,3,0,4,[]
383,57,41,57,42,52,43,57,41,53,41,42,37,43,24,37,39,65,38,64,25,0,3,0,4,[]
384,49,51,47,50,43,52,49,49,43,51,42,37,52,32,37,39,60,41,55,30,0,3,0,4,[]
385,51,62,39,58,39,51,49,60,33,59,42,37,47,35,37,39,54,43,55,30,0,3,0,4,[]
386,51,62,39,58,24,49,50,66,33,59,42,37,41,40,37,39,46,38,86,8,0,3,0,4,[]
387,51,62,7,89,22,47,48,75,4,95,42,37,39,43,37,39,45,43,72,20,0,3,0,4,[]
388,8,94,19,76,2,96,52,85,17,81,89,14,33,36,37,39,47,52,64,32,0,3,0,4,[]
389,27,85,28,67,17,80,53,87,26,70,88,31,39,39,85,12,48,51,54,42,0,3,0,4,[]
390,39,76,37,61,30,68,52,88,37,60,89,45,52,45,74,27,59,49,60,40,0,3,0,4,[]
391,49,68,35,58,40,59,52,88,39,58,89,59,67,41,63,37,71,52,47,38,0,3,0,4,[]
392,58,72,39,49,31,58,9,92,47,52,90,70,69,41,50,41,68,47,49,42,0,3,0,4,[]
393,62,85,44,52,31,46,21,79,46,50,90,68,57,33,48,42,61,42,54,45,0,3,0,4,[]
394,72,88,38,51,33,41,30,69,43,52,89,59,47,39,50,41,51,47,50,43,0,3,0,4,[]
395,79,87,40,54,39,51,40,60,51,60,80,51,42,45,42,42,48,48,49,49,0,3,0,4,[]
396,87,79,42,56,41,56,45,56,47,55,69,50,42,37,35,40,45,48,43,46,0,3,0,4,[]
397,87,79,50,51,51,51,53,52,52,49,59,45,51,28,45,37,48,35,45,36,0,3,0,4,[]
398,80,76,51,49,50,50,54,49,55,46,64,40,44,36,46,41,50,35,48,38,0,3,0,4,[]
399,69,66,51,50,48,51,52,52,56,49,64,41,45,44,46,41,56,44,53,41,0,3,0,4,[]
400,67,68,49,52,47,52,51,53,51,53,65,41,48,47,50,44,56,46,54,45,0,3,0,4,[]
401,66,70,46,54,42,53,47,55,45,54,59,51,42,44,55,46,51,48,52,45,0,3,0,4,[]
402,66,71,50,58,50,59,46,54,46,55,53,48,32,47,58,50,48,47,50,46,0,3,0,4,[]
403,66,69,55,62,56,61,38,61,41,61,46,55,39,56,53,53,44,56,43,53,0,3,0,4,[]
404,68,67,47,69,45,70,38,64,36,61,46,54,41,55,50,54,48,60,43,56,0,3,0,4,['33:37 WE »÷É±ÁË·çÁú']
405,68,67,35,65,44,67,34,64,34,62,45,55,34,49,48,55,41,57,43,56,0,3,0,4,[]
406,8,86,35,63,39,66,34,64,32,59,37,56,31,52,47,58,41,56,37,50,0,3,0,4,[]
407,21,74,40,66,45,66,35,64,32,67,46,54,32,46,49,49,43,54,44,52,0,3,0,4,[]
408,31,64,36,65,41,67,35,63,31,68,44,58,29,58,46,59,41,59,41,57,0,3,0,4,[]
409,26,67,32,70,32,73,29,69,28,68,35,66,30,63,38,62,33,62,32,61,0,3,0,4,[]
410,25,71,25,76,21,70,24,72,26,72,32,66,28,66,33,65,32,69,32,66,0,3,0,4,['34:10 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEMissing(¸¥À×¶û×¿µÂÖ®ÐÄ)']
411,29,70,24,72,11,61,18,66,25,72,31,56,30,56,31,54,32,63,31,63,0,3,0,4,[]
412,31,62,32,67,16,49,25,65,25,72,32,61,30,65,31,63,35,62,32,62,0,3,0,4,[]
413,31,67,32,63,30,59,27,68,25,72,28,66,30,65,32,62,31,59,32,63,0,3,0,4,"['34:23 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGXinMo(ºÓÁ÷Ö®Íõ)', '34:24 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEbeishang(½âÍÑÕß)']"
414,33,62,32,63,36,60,25,68,25,72,25,68,31,65,35,61,39,59,32,63,0,3,0,4,"['34:27 WEPoss(»ÄÄ®ÍÀ·ò) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ)', '34:27 BLGADD(ÌúîøÚ¤»ê) »÷É±ÁË WEMystic(³Í½äÖ®¼ý)', '34:29 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WExiye(ÔªËØÅ®»Ê)']"
415,29,64,32,63,36,60,25,68,25,72,27,68,31,65,32,64,36,63,32,63,0,3,0,4,['34:33 BLGADD(ÌúîøÚ¤»ê) »÷É±ÁË WEPoss(»ÄÄ®ÍÀ·ò)']
416,29,64,32,63,36,60,25,68,25,72,22,74,31,65,25,74,26,74,32,63,0,3,0,4,[]
417,29,64,32,63,36,60,25,68,25,72,19,78,31,65,20,77,24,79,32,63,0,3,0,5,['34:42 BLGADD(ÌúîøÚ¤»ê) »÷ÆÆÁË·ÀÓùËþ']
418,29,64,32,63,36,60,25,68,25,72,12,82,31,65,12,83,14,81,32,63,0,3,0,5,[]
419,29,64,32,63,36,60,25,68,25,72,13,88,31,65,12,90,15,86,32,63,0,3,0,7,"['34:52 BLGJinjiao(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ', '34:55 BLGJinjiao(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ']"
420,29,64,32,63,36,60,25,68,2,96,13,88,31,65,8,92,12,86,32,63,0,3,0,7,[]
421,29,64,32,63,36,60,25,68,2,96,13,88,31,65,10,94,12,86,32,63,0,3,0,7,[]
422,29,64,32,63,36,60,25,68,2,96,13,88,31,65,10,94,12,86,32,63,0,3,0,7,['35:10 BLG »ñÊ¤']
